"","MIR34","MIR340","MIR190","MIR1199","HAS2","GRHL2","CD44s","CD24","MIR200","TGFB","ZEB1","HA","SNAIL1","ESRP1"
"GRHL2",0.396237432312589,0.367330627463505,0.367330627463505,0.367330627463505,0.367330627463505,0.367330627463505,0.362560462675994,0.462560462675994,0.239573373609855,0.0440609043049659,-0.370293831631528,-0.362560462675994,-0.279619404583259,-0.367330627463505
"MIR340",0.279892296458488,0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.253896764366263,0.253896764366263,0.134328518385617,0.0414182836057245,-0.26060842048301,-0.253896764366263,-0.255982811235823,-0.25813205848391
"MIR1199",0.279892296458488,0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.253896764366263,0.253896764366263,0.134328518385617,0.0414182836057245,-0.26060842048301,-0.253896764366263,-0.255982811235823,-0.25813205848391
"CD44s",0.279892296458488,0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.253896764366263,0.253896764366263,0.134328518385617,0.0414182836057245,-0.26060842048301,-0.253896764366263,-0.255982811235823,-0.25813205848391
"CD24",0.279892296458488,0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.25813205848391,0.253896764366263,0.253896764366263,0.134328518385617,0.0414182836057245,-0.26060842048301,-0.253896764366263,-0.255982811235823,-0.25813205848391
"HAS2",0.274027863861382,0.253896764366263,0.253896764366263,0.253896764366263,0.253896764366263,0.253896764366263,0.247626137303557,0.247626137303557,0.134709325697117,0.0385977707852117,-0.25813205848391,-0.347626137303557,-0.250467223705847,-0.253896764366263
"SNAIL1",-0.104835650921107,0.184481951932277,0.184481951932277,0.184481951932277,0.184481951932277,0.184481951932277,0.182394665404763,0.182394665404763,0.306797879054363,-0.171280887345731,-0.185658756129073,-0.182394665404763,0.209159288810265,-0.184481951932277
"TGFB",-0.107485784643451,0.182394665404763,0.182394665404763,0.182394665404763,0.182394665404763,0.182394665404763,0.17953752254762,0.17953752254762,0.306773565900947,-0.172235541283679,-0.184481951932277,-0.17953752254762,0.311486046523973,-0.182394665404763
"MIR190",-0.110875615151926,0.17953752254762,0.17953752254762,0.17953752254762,0.17953752254762,0.17953752254762,0.174360410830999,0.174360410830999,0.306512809707988,-0.0737217408590505,-0.182394665404763,-0.174360410830999,0.315139632450901,-0.17953752254762
"ZEB1",-0.283463725029917,-0.26060842048301,-0.26060842048301,-0.26060842048301,-0.26060842048301,-0.26060842048301,-0.25813205848391,-0.25813205848391,-0.133925292579165,-0.043313799093473,0.162285325679755,0.25813205848391,0.259690945207115,0.26060842048301
"MIR34",0.107485784643451,-0.182394665404763,-0.182394665404763,-0.182394665404763,-0.182394665404763,-0.182394665404763,-0.17953752254762,-0.17953752254762,-0.306773565900947,0.172235541283679,0.184481951932277,0.17953752254762,-0.311486046523973,0.182394665404763
"ESRP1",-0.274027863861382,-0.253896764366263,-0.253896764366263,-0.253896764366263,-0.253896764366263,-0.253896764366263,-0.347626137303557,-0.247626137303557,-0.134709325697117,-0.0385977707852117,0.25813205848391,0.247626137303557,0.250467223705847,0.253896764366263
"MIR200",-0.117109428337668,-0.256817879642683,-0.256817879642683,-0.256817879642683,-0.256817879642683,-0.256817879642683,-0.25229856986454,-0.25229856986454,-0.287432904930193,-0.00686227916186086,0.259410819349024,0.25229856986454,-0.0464524347468876,0.256817879642683
"HA",-0.279892296458488,-0.25813205848391,-0.25813205848391,-0.25813205848391,-0.25813205848391,-0.25813205848391,-0.253896764366263,-0.253896764366263,-0.134328518385617,-0.0414182836057245,0.26060842048301,0.253896764366263,0.255982811235823,0.25813205848391
