"","CD44s","MIR340","MIR190","HAS2","GRHL2","ESRP1","ZEB1","SNAIL1","MIR1199","HA","CD24","TGFB","MIR200","MIR34"
"TGFB",0.258787147920022,0.262460617307777,0.262460617307777,0.262460617307777,0.262460617307777,0.262460617307777,-0.26568642375939,-0.587391366501463,-0.262460617307777,-0.258787147920022,-0.258787147920022,0.0531765348494003,0.170578138983596,-0.447425707746137
"MIR200",0.138287255429289,0.140834502758787,0.140834502758787,0.140834502758787,0.140834502758787,0.140834502758787,-0.141615508694432,-0.306054314858935,-0.140834502758787,-0.138287255429289,-0.138287255429289,0.112000626587805,0.0444478447387158,-0.288630597937553
"ESRP1",0.160984284532672,0.0619743835425726,0.0619743835425726,0.0619743835425726,0.0619743835425726,0.0619743835425726,-0.063621442366102,-0.0498017498501598,-0.0619743835425726,-0.0609842845326716,-0.0609842845326716,-0.0643377934823935,-0.0669568204640347,-0.0711417168353905
"MIR1199",0.0619743835425726,0.063621442366102,0.063621442366102,0.063621442366102,0.063621442366102,0.063621442366102,-0.0631261699662821,-0.0505211743105914,-0.063621442366102,-0.0619743835425726,-0.0619743835425726,-0.065876255020855,-0.0685562111723363,-0.0716748470714911
"HA",0.0619743835425726,0.063621442366102,0.063621442366102,0.063621442366102,0.063621442366102,0.063621442366102,-0.0631261699662821,-0.0505211743105914,-0.063621442366102,-0.0619743835425726,-0.0619743835425726,-0.065876255020855,-0.0685562111723363,-0.0716748470714911
"CD44s",0.0619743835425726,0.063621442366102,0.063621442366102,0.063621442366102,0.063621442366102,0.063621442366102,-0.0631261699662821,-0.0505211743105914,-0.063621442366102,-0.0619743835425726,-0.0619743835425726,-0.065876255020855,-0.0685562111723363,-0.0716748470714911
"CD24",0.0619743835425726,0.063621442366102,0.063621442366102,0.063621442366102,0.063621442366102,0.063621442366102,-0.0631261699662821,-0.0505211743105914,-0.063621442366102,-0.0619743835425726,-0.0619743835425726,-0.065876255020855,-0.0685562111723363,-0.0716748470714911
"ZEB1",-0.063621442366102,-0.0631261699662821,-0.0631261699662821,-0.0631261699662821,-0.0631261699662821,-0.0631261699662821,-0.0373553176644667,0.0506407915354718,0.0631261699662821,0.063621442366102,0.063621442366102,0.0674943779982013,0.0679801743059768,0.0716172433848551
"GRHL2",-0.0185262757199492,-0.017572242762447,-0.017572242762447,-0.017572242762447,-0.017572242762447,-0.017572242762447,0.0183863098415743,-0.0515375508855644,0.017572242762447,0.0185262757199492,-0.0814737242800509,0.0204251829789899,0.0217886230168387,0.0140676084903183
"MIR340",-0.0619743835425726,-0.063621442366102,-0.063621442366102,-0.063621442366102,-0.063621442366102,-0.063621442366102,0.0631261699662821,0.0505211743105914,0.063621442366102,0.0619743835425726,0.0619743835425726,0.065876255020855,0.0685562111723363,0.0716748470714911
"HAS2",-0.0609842845326716,-0.0619743835425726,-0.0619743835425726,-0.0619743835425726,-0.0619743835425726,-0.0619743835425726,0.063621442366102,0.0498017498501598,0.0619743835425726,-0.0390157154673284,0.0609842845326716,0.0643377934823935,0.0669568204640347,0.0711417168353905
"MIR190",-0.254154995331466,-0.258787147920022,-0.258787147920022,-0.258787147920022,-0.258787147920022,-0.258787147920022,0.262460617307777,0.577513152699028,0.258787147920022,0.254154995331466,0.254154995331466,-0.151478021048976,-0.167449064668081,0.439603021957349
"MIR34",-0.258787147920022,-0.262460617307777,-0.262460617307777,-0.262460617307777,-0.262460617307777,-0.262460617307777,0.26568642375939,0.587391366501463,0.262460617307777,0.258787147920022,0.258787147920022,-0.0531765348494003,-0.170578138983596,0.447425707746137
"SNAIL1",-0.262460617307777,-0.26568642375939,-0.26568642375939,-0.26568642375939,-0.26568642375939,-0.26568642375939,0.267685573057561,0.494523384710871,0.26568642375939,0.262460617307777,0.262460617307777,-0.053653861818374,-0.172061241341972,0.453042046185232
