"","HA","CD44s","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR200","SNAIL1","TGFB","ZEB1","MIR34","ESRP1"
"HAS2",0.27550041356493,0.17550041356493,0.17550041356493,0.173190182541827,0.173190182541827,0.173190182541827,0.173190182541827,0.173190182541827,0.143531653942309,0.112844676859349,0.00929433353776081,-0.176719594306533,-0.169625348138112,-0.173190182541827
"MIR1199",0.173190182541827,0.173190182541827,0.173190182541827,0.176719594306533,0.176719594306533,0.176719594306533,0.176719594306533,0.176719594306533,0.141475294460207,0.104451391487646,0.00596100020442748,-0.175143727579834,-0.176251395358218,-0.176719594306533
"HA",0.173190182541827,0.173190182541827,0.173190182541827,0.176719594306533,0.176719594306533,0.176719594306533,0.176719594306533,0.176719594306533,0.141475294460207,0.104451391487646,0.00596100020442748,-0.175143727579834,-0.176251395358218,-0.176719594306533
"CD44s",0.173190182541827,0.173190182541827,0.173190182541827,0.176719594306533,0.176719594306533,0.176719594306533,0.176719594306533,0.176719594306533,0.141475294460207,0.104451391487646,0.00596100020442748,-0.175143727579834,-0.176251395358218,-0.176719594306533
"TGFB",0.149691808906427,0.149691808906427,0.149691808906427,0.144793849722753,0.144793849722753,0.144793849722753,0.144793849722753,0.144793849722753,0.151413315400974,-0.0214855571987454,-0.0789514172973643,-0.149082274770192,-0.00171965972076165,-0.144793849722753
"MIR34",0.149691808906427,0.149691808906427,0.149691808906427,0.144793849722753,0.144793849722753,0.144793849722753,0.144793849722753,0.144793849722753,0.151413315400974,-0.0214855571987454,-0.0789514172973643,-0.149082274770192,-0.00171965972076165,-0.144793849722753
"MIR190",0.141244942421413,0.141244942421413,0.141244942421413,0.149691808906427,0.149691808906427,0.149691808906427,0.149691808906427,0.149691808906427,0.146067813445302,-0.0392122148442123,0.013829899050831,-0.144793849722753,-0.0133233103074631,-0.149691808906427
"MIR200",0.126942760249177,0.126942760249177,0.126942760249177,0.126860590980483,0.126860590980483,0.126860590980483,0.126860590980483,0.126860590980483,0.0107075813071146,0.117149937119559,0.00566596577293428,-0.127266714067019,-0.226812463754365,-0.126860590980483
"GRHL2",0.0359592920161466,0.0359592920161466,0.135959292016147,0.0391683119641084,0.0391683119641084,0.0391683119641084,0.0391683119641084,0.0391683119641084,0.0196819880664533,0.0746211504829543,0.0042457463133565,-0.0370517375583774,-0.0466664067529249,-0.0391683119641084
"ZEB1",-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.175143727579834,-0.175143727579834,-0.175143727579834,-0.175143727579834,-0.175143727579834,-0.143491423492465,-0.110970530243627,-0.00859622905324856,0.0768206327765794,0.172219137293702,0.175143727579834
"SNAIL1",-0.144793849722753,-0.144793849722753,-0.144793849722753,-0.149082274770192,-0.149082274770192,-0.149082274770192,-0.149082274770192,-0.149082274770192,-0.14779065554199,-0.0656666936864341,0.0841224594612466,0.146289137098279,0.0108370922517609,0.149082274770192
"MIR340",-0.173190182541827,-0.173190182541827,-0.173190182541827,-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.141475294460207,-0.104451391487646,-0.00596100020442748,0.175143727579834,0.176251395358218,0.176719594306533
"CD24",-0.173190182541827,-0.173190182541827,-0.173190182541827,-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.141475294460207,-0.104451391487646,-0.00596100020442748,0.175143727579834,0.176251395358218,0.176719594306533
"ESRP1",-0.17550041356493,-0.27550041356493,-0.17550041356493,-0.173190182541827,-0.173190182541827,-0.173190182541827,-0.173190182541827,-0.173190182541827,-0.143531653942309,-0.112844676859349,-0.00929433353776081,0.176719594306533,0.169625348138112,0.173190182541827
