"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","TGFB","ZEB1","SNAIL1","MIR200","HA","CD44s","HAS2"
"MIR340",0.146598915241108,0.146598915241108,0.146598915241108,0.146598915241108,0.146598915241108,0.147069503476402,0.136426616012335,0.00467789408540307,-0.147004138113688,-0.0864289700074517,-0.136426616012335,-0.147069503476402,-0.147069503476402,-0.146598915241108
"MIR1199",0.146598915241108,0.146598915241108,0.146598915241108,0.146598915241108,0.146598915241108,0.147069503476402,0.136426616012335,0.00467789408540307,-0.147004138113688,-0.0864289700074517,-0.136426616012335,-0.147069503476402,-0.147069503476402,-0.146598915241108
"CD44s",0.146598915241108,0.146598915241108,0.146598915241108,0.146598915241108,0.146598915241108,0.147069503476402,0.136426616012335,0.00467789408540307,-0.147004138113688,-0.0864289700074517,-0.136426616012335,-0.147069503476402,-0.147069503476402,-0.146598915241108
"CD24",0.146598915241108,0.146598915241108,0.146598915241108,0.146598915241108,0.146598915241108,0.147069503476402,0.136426616012335,0.00467789408540307,-0.147004138113688,-0.0864289700074517,-0.136426616012335,-0.147069503476402,-0.147069503476402,-0.146598915241108
"MIR200",0.123325546324799,0.123325546324799,0.123325546324799,0.123325546324799,0.123325546324799,0.122750361443945,0.224596609994117,0.00548881785442233,-0.123044384187967,-0.116179925203158,-0.224596609994117,-0.122750361443945,-0.122750361443945,-0.123325546324799
"MIR34",0.026414197528845,0.026414197528845,0.026414197528845,0.026414197528845,0.026414197528845,0.0282509322227226,0.0994390286005426,0.0890910020899013,-0.0275147667888071,-0.0596656823454374,-0.0994390286005426,-0.0282509322227226,-0.0282509322227226,-0.026414197528845
"MIR190",0.0282509322227226,0.0282509322227226,0.0282509322227226,0.0282509322227226,0.0282509322227226,0.0252536570183629,0.099178272407583,-0.00942279833472715,-0.026414197528845,-0.0619660882994293,-0.099178272407583,-0.0252536570183629,-0.0252536570183629,-0.0282509322227226
"GRHL2",-0.0143042732472499,-0.0143042732472499,-0.0143042732472499,-0.0143042732472499,-0.0143042732472499,0.0850886148707033,-0.018164017109632,-0.00409823076128285,0.0147275881283961,0.0682429367664345,0.018164017109632,0.0149113851292967,0.0149113851292967,0.0143042732472499
"SNAIL1",-0.0275147667888071,-0.0275147667888071,-0.0275147667888071,-0.0275147667888071,-0.0275147667888071,-0.026414197528845,-0.0993174628334626,-0.0899661015330198,0.0268767404170504,-0.0390191937294235,0.0993174628334626,0.026414197528845,0.026414197528845,0.0275147667888071
"TGFB",-0.026414197528845,-0.026414197528845,-0.026414197528845,-0.026414197528845,-0.026414197528845,-0.0282509322227226,-0.0994390286005426,-0.0890910020899013,0.0275147667888071,0.0596656823454374,0.0994390286005426,0.0282509322227226,0.0282509322227226,0.026414197528845
"ZEB1",-0.147004138113688,-0.147004138113688,-0.147004138113688,-0.147004138113688,-0.147004138113688,-0.146598915241108,-0.136369012325699,-0.00500151868087232,0.0467550927874387,0.0869672475194134,0.136369012325699,0.146598915241108,0.146598915241108,0.147004138113688
"HAS2",-0.147069503476402,-0.147069503476402,-0.147069503476402,-0.147069503476402,-0.147069503476402,-0.146079404466501,-0.136198131625435,-0.00519071459822358,0.146598915241108,0.0873082665702015,0.136198131625435,0.246079404466501,0.146079404466501,0.147069503476402
"ESRP1",-0.147069503476402,-0.147069503476402,-0.147069503476402,-0.147069503476402,-0.147069503476402,-0.146079404466501,-0.136198131625435,-0.00519071459822358,0.146598915241108,0.0873082665702015,0.136198131625435,0.146079404466501,0.0460794044665012,0.147069503476402
"HA",-0.146598915241108,-0.146598915241108,-0.146598915241108,-0.146598915241108,-0.146598915241108,-0.147069503476402,-0.136426616012335,-0.00467789408540307,0.147004138113688,0.0864289700074517,0.136426616012335,0.147069503476402,0.147069503476402,0.146598915241108
