"","MIR200","MIR340","MIR190","MIR1199","HAS2","ESRP1","CD44s","CD24","TGFB","ZEB1","SNAIL1","HA","GRHL2","MIR34"
"TGFB",0.536073382891805,0.443038640827206,0.443038640827206,0.443038640827206,0.443038640827206,0.443038640827206,0.424263130623124,0.424263130623124,-0.216730543075401,-0.457497843863259,-0.541295770154686,-0.424263130623124,-0.443038640827206,-0.536073382891805
"MIR190",0.517038180805755,0.424263130623124,0.424263130623124,0.424263130623124,0.424263130623124,0.424263130623124,0.400012449424214,0.400012449424214,-0.111210373224021,-0.443038640827206,-0.526140154457798,-0.400012449424214,-0.424263130623124,-0.517038180805755
"MIR340",0.314968046535722,0.305731584076522,0.305731584076522,0.305731584076522,0.305731584076522,0.305731584076522,0.293731584076522,0.293731584076522,-0.0428306011916755,-0.31523180920034,-0.271241891462731,-0.293731584076522,-0.305731584076522,-0.314968046535722
"MIR1199",0.314968046535722,0.305731584076522,0.305731584076522,0.305731584076522,0.305731584076522,0.305731584076522,0.293731584076522,0.293731584076522,-0.0428306011916755,-0.31523180920034,-0.271241891462731,-0.293731584076522,-0.305731584076522,-0.314968046535722
"HA",0.314968046535722,0.305731584076522,0.305731584076522,0.305731584076522,0.305731584076522,0.305731584076522,0.293731584076522,0.293731584076522,-0.0428306011916755,-0.31523180920034,-0.271241891462731,-0.293731584076522,-0.305731584076522,-0.314968046535722
"CD44s",0.314968046535722,0.305731584076522,0.305731584076522,0.305731584076522,0.305731584076522,0.305731584076522,0.293731584076522,0.293731584076522,-0.0428306011916755,-0.31523180920034,-0.271241891462731,-0.293731584076522,-0.305731584076522,-0.314968046535722
"CD24",0.314968046535722,0.305731584076522,0.305731584076522,0.305731584076522,0.305731584076522,0.305731584076522,0.293731584076522,0.293731584076522,-0.0428306011916755,-0.31523180920034,-0.271241891462731,-0.293731584076522,-0.305731584076522,-0.314968046535722
"ESRP1",0.302553728180809,0.293731584076522,0.293731584076522,0.293731584076522,0.293731584076522,0.293731584076522,0.377559966914806,0.277559966914806,-0.0392408576019319,-0.305731584076522,-0.261409757170165,-0.277559966914806,-0.293731584076522,-0.302553728180809
"MIR200",0.0159765944220518,0.129610438889616,0.129610438889616,0.129610438889616,0.129610438889616,0.129610438889616,0.1285422383966,0.1285422383966,0.00344689284704116,-0.130453925300113,0.105723808505193,-0.1285422383966,-0.129610438889616,-0.0159765944220518
"GRHL2",0.107019668532316,0.0935682082471038,0.0935682082471038,0.0935682082471038,0.0935682082471038,0.0935682082471038,0.0889715039973206,-0.0110284960026794,-0.0208999343319901,-0.0971175407120989,-0.158150590223331,-0.0889715039973206,-0.0935682082471038,-0.107019668532316
"ZEB1",-0.324587862203924,-0.31523180920034,-0.31523180920034,-0.31523180920034,-0.31523180920034,-0.31523180920034,-0.305731584076522,-0.305731584076522,0.0456507583807648,0.222487329705072,0.278957202467516,0.305731584076522,0.31523180920034,0.324587862203924
"HAS2",-0.302553728180809,-0.293731584076522,-0.293731584076522,-0.293731584076522,-0.293731584076522,-0.293731584076522,-0.277559966914806,-0.277559966914806,0.0392408576019319,0.305731584076522,0.261409757170165,0.177559966914806,0.293731584076522,0.302553728180809
"MIR34",-0.536073382891805,-0.443038640827206,-0.443038640827206,-0.443038640827206,-0.443038640827206,-0.443038640827206,-0.424263130623124,-0.424263130623124,0.216730543075401,0.457497843863259,0.541295770154686,0.424263130623124,0.443038640827206,0.536073382891805
"SNAIL1",-0.550782840708483,-0.457497843863259,-0.457497843863259,-0.457497843863259,-0.457497843863259,-0.457497843863259,-0.443038640827206,-0.443038640827206,0.221026485796165,0.468684572914726,0.453030722102081,0.443038640827206,0.457497843863259,0.550782840708483
