"","MIR340","MIR1199","HAS2","GRHL2","TGFB","MIR200","SNAIL1","MIR34","ZEB1","HA","CD44s","CD24","MIR190","ESRP1"
"GRHL2",0.494439451580816,0.494439451580816,0.494439451580816,0.494439451580816,0.396525529024496,0.347150522650489,0.229708284308793,-0.347150522650489,-0.50144042846131,-0.478394351841006,-0.478394351841006,-0.578394351841006,-0.494439451580816,-0.494439451580816
"MIR340",0.336138090702954,0.336138090702954,0.336138090702954,0.336138090702954,0.250539877760892,0.216570087495022,0.205422308462904,-0.216570087495022,-0.337804006956894,-0.315196914232366,-0.315196914232366,-0.315196914232366,-0.336138090702954,-0.336138090702954
"MIR1199",0.336138090702954,0.336138090702954,0.336138090702954,0.336138090702954,0.250539877760892,0.216570087495022,0.205422308462904,-0.216570087495022,-0.337804006956894,-0.315196914232366,-0.315196914232366,-0.315196914232366,-0.336138090702954,-0.336138090702954
"CD44s",0.336138090702954,0.336138090702954,0.336138090702954,0.336138090702954,0.250539877760892,0.216570087495022,0.205422308462904,-0.216570087495022,-0.337804006956894,-0.315196914232366,-0.315196914232366,-0.315196914232366,-0.336138090702954,-0.336138090702954
"HAS2",0.315196914232366,0.315196914232366,0.315196914232366,0.315196914232366,0.250796288017302,0.204917383763111,0.200706081444519,-0.204917383763111,-0.336138090702954,-0.412886683209264,-0.312886683209264,-0.312886683209264,-0.315196914232366,-0.315196914232366
"ESRP1",0.315196914232366,0.315196914232366,0.315196914232366,0.315196914232366,0.250796288017302,0.204917383763111,0.200706081444519,-0.204917383763111,-0.336138090702954,-0.312886683209264,-0.212886683209264,-0.312886683209264,-0.315196914232366,-0.315196914232366
"MIR200",0.237572232353464,0.237572232353464,0.237572232353464,0.237572232353464,0.190517578653064,0.0735699020801638,0.154753575561606,-0.0735699020801638,-0.238540679713664,-0.226150704005066,-0.226150704005066,-0.226150704005066,-0.237572232353464,-0.237572232353464
"MIR34",0.176405458944098,0.176405458944098,0.176405458944098,0.176405458944098,0.182157417109154,0.132191194483869,0.0368679953605983,-0.132191194483869,-0.181680601259089,-0.175793214046139,-0.175793214046139,-0.175793214046139,-0.176405458944098,-0.176405458944098
"MIR190",0.175793214046139,0.175793214046139,0.175793214046139,0.175793214046139,0.0745141050072433,0.132582328773308,0.0355148153876619,-0.132582328773308,-0.176405458944098,-0.165166511048864,-0.165166511048864,-0.165166511048864,-0.175793214046139,-0.175793214046139
"TGFB",-0.176405458944098,-0.176405458944098,-0.176405458944098,-0.176405458944098,-0.182157417109154,-0.132191194483869,-0.0368679953605983,0.132191194483869,0.181680601259089,0.175793214046139,0.175793214046139,0.175793214046139,0.176405458944098,0.176405458944098
"SNAIL1",-0.181680601259089,-0.181680601259089,-0.181680601259089,-0.181680601259089,-0.182157417109154,-0.135084459740372,-0.138031374217452,0.135084459740372,0.18212013053741,0.176405458944098,0.176405458944098,0.176405458944098,0.181680601259089,0.181680601259089
"ZEB1",-0.337804006956894,-0.337804006956894,-0.337804006956894,-0.337804006956894,-0.265842697918081,-0.215936446942027,-0.208173504635153,0.215936446942027,0.248346925768118,0.336138090702954,0.336138090702954,0.336138090702954,0.337804006956894,0.337804006956894
"HA",-0.336138090702954,-0.336138090702954,-0.336138090702954,-0.336138090702954,-0.250539877760892,-0.216570087495022,-0.205422308462904,0.216570087495022,0.337804006956894,0.315196914232366,0.315196914232366,0.315196914232366,0.336138090702954,0.336138090702954
"CD24",-0.336138090702954,-0.336138090702954,-0.336138090702954,-0.336138090702954,-0.250539877760892,-0.216570087495022,-0.205422308462904,0.216570087495022,0.337804006956894,0.315196914232366,0.315196914232366,0.315196914232366,0.336138090702954,0.336138090702954
