"","MIR200","CD44s","MIR340","MIR190","HAS2","GRHL2","ESRP1","ZEB1","SNAIL1","MIR1199","HA","CD24","TGFB","MIR34"
"GRHL2",0.206947664782773,0.214011995087089,0.214966028044591,0.214966028044591,0.214966028044591,0.214966028044591,0.214966028044591,-0.213891459500143,-0.050062710538117,-0.214966028044591,-0.214011995087089,-0.314011995087089,-0.21080537930242,-0.206947664782773
"ESRP1",0.124476395475286,0.207179487179487,0.11014978420919,0.11014978420919,0.11014978420919,0.11014978420919,0.11014978420919,-0.110385078326837,-0.0282238701692042,-0.11014978420919,-0.107179487179487,-0.107179487179487,-0.117861540504344,-0.124476395475286
"HA",0.122724681842384,0.11014978420919,0.110385078326837,0.110385078326837,0.110385078326837,0.110385078326837,0.110385078326837,-0.108809211600138,-0.0275044457087725,-0.110385078326837,-0.11014978420919,-0.11014978420919,-0.121451284094087,-0.122724681842384
"CD44s",0.122724681842384,0.11014978420919,0.110385078326837,0.110385078326837,0.110385078326837,0.110385078326837,0.110385078326837,-0.108809211600138,-0.0275044457087725,-0.110385078326837,-0.11014978420919,-0.11014978420919,-0.121451284094087,-0.122724681842384
"MIR190",0.0723021355365931,0.0167693744164332,0.0214015270049891,0.0214015270049891,0.0214015270049891,0.0214015270049891,0.0214015270049891,-0.0214015270049891,0.0198188266972255,-0.0214015270049891,-0.0167693744164332,-0.0167693744164332,-0.184228520310936,-0.0723021355365931
"SNAIL1",0.0699705136337068,0.0214015270049891,0.0201491550884806,0.0201491550884806,0.0201491550884806,0.0201491550884806,0.0201491550884806,-0.0203334738180992,-0.0795616673880023,-0.0201491550884806,-0.0214015270049891,-0.0214015270049891,-0.0880506830784192,-0.0699705136337068
"MIR34",0.0712591107647547,0.0214015270049891,0.0214015270049891,0.0214015270049891,0.0214015270049891,0.0214015270049891,0.0214015270049891,-0.0201491550884806,0.0184656467242891,-0.0214015270049891,-0.0214015270049891,-0.0214015270049891,-0.0886871190370509,-0.0712591107647547
"ZEB1",-0.121975833916117,-0.110385078326837,-0.108809211600138,-0.108809211600138,-0.108809211600138,-0.108809211600138,-0.108809211600138,0.00952314153538574,0.0262484648475285,0.108809211600138,0.110385078326837,0.110385078326837,0.120480410307679,0.121975833916117
"TGFB",-0.0712591107647547,-0.0214015270049891,-0.0214015270049891,-0.0214015270049891,-0.0214015270049891,-0.0214015270049891,-0.0214015270049891,0.0201491550884806,-0.0184656467242891,0.0214015270049891,0.0214015270049891,0.0214015270049891,0.0886871190370509,0.0712591107647547
"MIR340",-0.122724681842384,-0.11014978420919,-0.110385078326837,-0.110385078326837,-0.110385078326837,-0.110385078326837,-0.110385078326837,0.108809211600138,0.0275044457087725,0.110385078326837,0.11014978420919,0.11014978420919,0.121451284094087,0.122724681842384
"MIR1199",-0.122724681842384,-0.11014978420919,-0.110385078326837,-0.110385078326837,-0.110385078326837,-0.110385078326837,-0.110385078326837,0.108809211600138,0.0275044457087725,0.110385078326837,0.11014978420919,0.11014978420919,0.121451284094087,0.122724681842384
"CD24",-0.122724681842384,-0.11014978420919,-0.110385078326837,-0.110385078326837,-0.110385078326837,-0.110385078326837,-0.110385078326837,0.108809211600138,0.0275044457087725,0.110385078326837,0.11014978420919,0.11014978420919,0.121451284094087,0.122724681842384
"HAS2",-0.124476395475286,-0.107179487179487,-0.11014978420919,-0.11014978420919,-0.11014978420919,-0.11014978420919,-0.11014978420919,0.110385078326837,0.0282238701692042,0.11014978420919,0.00717948717948718,0.107179487179487,0.117861540504344,0.124476395475286
"MIR200",-0.0243151870446046,-0.116844760302583,-0.11561222127218,-0.11561222127218,-0.11561222127218,-0.11561222127218,-0.11561222127218,0.114518812962277,0.0647072976834374,0.11561222127218,0.116844760302583,0.116844760302583,-0.0766236624811,0.0243151870446046
