"","MIR190","MIR1199","HAS2","GRHL2","HA","CD44s","CD24","SNAIL1","MIR200","TGFB","ZEB1","MIR340","ESRP1","MIR34"
"SNAIL1",0.368283149928494,0.368283149928494,0.368283149928494,0.368283149928494,0.361034573078399,0.361034573078399,0.361034573078399,0.420398569051035,-0.0797301285592291,0.215818445208274,-0.373826890180868,-0.368283149928494,-0.368283149928494,-0.485703122525286
"GRHL2",0.31195704404285,0.31195704404285,0.31195704404285,0.31195704404285,0.307186879255339,0.307186879255339,0.407186879255339,0.244881216770437,0.207551030495609,0.0374526271765937,-0.316808883834449,-0.31195704404285,-0.31195704404285,-0.341285010432793
"HA",0.244752033019679,0.244752033019679,0.244752033019679,0.244752033019679,0.240752033019679,0.240752033019679,0.240752033019679,0.220593491479465,0.124645001754264,0.0351962125363865,-0.249929880835978,-0.244752033019679,-0.244752033019679,-0.248824621555471
"CD44s",0.244752033019679,0.244752033019679,0.244752033019679,0.244752033019679,0.240752033019679,0.240752033019679,0.240752033019679,0.220593491479465,0.124645001754264,0.0351962125363865,-0.249929880835978,-0.244752033019679,-0.244752033019679,-0.248824621555471
"CD24",0.244752033019679,0.244752033019679,0.244752033019679,0.244752033019679,0.240752033019679,0.240752033019679,0.240752033019679,0.220593491479465,0.124645001754264,0.0351962125363865,-0.249929880835978,-0.244752033019679,-0.244752033019679,-0.248824621555471
"HAS2",0.240752033019679,0.240752033019679,0.240752033019679,0.240752033019679,0.333821339950372,0.233821339950372,0.233821339950372,0.215237776051807,0.125025809065765,0.0331449304851045,-0.244752033019679,-0.240752033019679,-0.240752033019679,-0.243264834807565
"MIR200",-0.101076046010515,-0.101076046010515,-0.101076046010515,-0.101076046010515,-0.102801600653079,-0.102801600653079,-0.102801600653079,0.131391507349513,-0.208934870637532,0.00804349368520071,0.101357208147347,0.101076046010515,0.101076046010515,-0.0165463264072869
"ZEB1",-0.249929880835978,-0.249929880835978,-0.249929880835978,-0.249929880835978,-0.244752033019679,-0.244752033019679,-0.244752033019679,-0.224301625450757,-0.126027490233527,-0.036999263854001,0.152735791511721,0.249929880835978,0.249929880835978,0.254066557039342
"ESRP1",-0.240752033019679,-0.240752033019679,-0.240752033019679,-0.240752033019679,-0.233821339950372,-0.333821339950372,-0.233821339950372,-0.215237776051807,-0.125025809065765,-0.0331449304851045,0.244752033019679,0.240752033019679,0.240752033019679,0.243264834807565
"MIR340",-0.244752033019679,-0.244752033019679,-0.244752033019679,-0.244752033019679,-0.240752033019679,-0.240752033019679,-0.240752033019679,-0.220593491479465,-0.124645001754264,-0.0351962125363865,0.249929880835978,0.244752033019679,0.244752033019679,0.248824621555471
"MIR1199",-0.244752033019679,-0.244752033019679,-0.244752033019679,-0.244752033019679,-0.240752033019679,-0.240752033019679,-0.240752033019679,-0.220593491479465,-0.124645001754264,-0.0351962125363865,0.249929880835978,0.244752033019679,0.244752033019679,0.248824621555471
"MIR190",-0.350218246547786,-0.350218246547786,-0.350218246547786,-0.350218246547786,-0.335231870525988,-0.335231870525988,-0.335231870525988,-0.502864792597462,0.0826826392964819,-0.108549089903712,0.361034573078399,0.350218246547786,0.350218246547786,0.465547930430769
"TGFB",-0.361034573078399,-0.361034573078399,-0.361034573078399,-0.361034573078399,-0.350218246547786,-0.350218246547786,-0.350218246547786,-0.513013642394485,0.080726967849285,-0.212795374404774,0.368283149928494,0.361034573078399,0.361034573078399,0.47741233721043
"MIR34",-0.361034573078399,-0.361034573078399,-0.361034573078399,-0.361034573078399,-0.350218246547786,-0.350218246547786,-0.350218246547786,-0.513013642394485,0.080726967849285,-0.212795374404774,0.368283149928494,0.361034573078399,0.361034573078399,0.47741233721043
