"","HA","CD44s","MIR200","ZEB1","MIR190","MIR1199","HAS2","GRHL2","SNAIL1","MIR340","ESRP1","MIR34","CD24","TGFB"
"HAS2",0.109760132340777,0.0097601323407775,0.0613681607577279,-0.0788729259730819,0.0259317495024937,0.0259317495024937,0.0259317495024937,0.0259317495024937,-0.000962996851877471,-0.0259317495024937,-0.0259317495024937,-0.0613681607577279,-0.0097601323407775,-0.027899264061076
"ZEB1",-0.0788729259730819,-0.0788729259730819,-0.0771813598550215,-0.0713679673517184,-0.063249332996945,-0.063249332996945,-0.063249332996945,-0.063249332996945,0.0260048294145355,0.063249332996945,0.063249332996945,0.0771813598550215,0.0788729259730819,0.0910423345827873
"MIR340",0.0259317495024937,0.0259317495024937,0.096478594878063,-0.063249332996945,0.0788729259730819,0.0788729259730819,0.0788729259730819,0.0788729259730819,-0.026782341376258,-0.0788729259730819,-0.0788729259730819,-0.096478594878063,-0.0259317495024937,-0.0489249050867171
"HA",0.0259317495024937,0.0259317495024937,0.096478594878063,-0.063249332996945,0.0788729259730819,0.0788729259730819,0.0788729259730819,0.0788729259730819,-0.026782341376258,-0.0788729259730819,-0.0788729259730819,-0.096478594878063,-0.0259317495024937,-0.0489249050867171
"CD44s",0.0259317495024937,0.0259317495024937,0.096478594878063,-0.063249332996945,0.0788729259730819,0.0788729259730819,0.0788729259730819,0.0788729259730819,-0.026782341376258,-0.0788729259730819,-0.0788729259730819,-0.096478594878063,-0.0259317495024937,-0.0489249050867171
"CD24",0.0259317495024937,0.0259317495024937,0.096478594878063,-0.063249332996945,0.0788729259730819,0.0788729259730819,0.0788729259730819,0.0788729259730819,-0.026782341376258,-0.0788729259730819,-0.0788729259730819,-0.096478594878063,-0.0259317495024937,-0.0489249050867171
"MIR34",-0.0137458774003092,-0.0137458774003092,0.0699513648449477,-0.0171389926767539,0.0115602450486704,0.0115602450486704,0.0115602450486704,0.0115602450486704,0.0197119253810584,-0.0115602450486704,-0.0115602450486704,-0.0699513648449477,0.0137458774003092,-0.0618583040430169
"MIR190",-0.0020292561469032,-0.0020292561469032,0.050394650372979,-0.0115602450486704,-0.0137458774003092,-0.0137458774003092,-0.0137458774003092,-0.0137458774003092,0.0297254571807878,0.0137458774003092,0.0137458774003092,-0.050394650372979,0.0020292561469032,-0.168015416569556
"SNAIL1",0.0115602450486704,0.0115602450486704,0.0699270516915317,0.000371286637013307,0.0171389926767539,0.0171389926767539,0.0171389926767539,0.0171389926767539,-0.0855991520089264,-0.0171389926767539,-0.0171389926767539,-0.0699270516915317,-0.0115602450486704,-0.0836562356261514
"TGFB",0.0137458774003092,0.0137458774003092,-0.0699513648449477,0.0171389926767539,-0.0115602450486704,-0.0115602450486704,-0.0115602450486704,-0.0115602450486704,-0.0197119253810584,0.0115602450486704,0.0115602450486704,0.0699513648449477,-0.0137458774003092,0.0618583040430169
"MIR1199",-0.0259317495024937,-0.0259317495024937,-0.096478594878063,0.063249332996945,-0.0788729259730819,-0.0788729259730819,-0.0788729259730819,-0.0788729259730819,0.026782341376258,0.0788729259730819,0.0788729259730819,0.096478594878063,0.0259317495024937,0.0489249050867171
"MIR200",-0.0534343011257215,-0.0534343011257215,-0.0112210482879639,0.0753558093232676,-0.0939437505916212,-0.0939437505916212,-0.0939437505916212,-0.0939437505916212,0.0699112644370801,0.0939437505916212,0.0939437505916212,0.0112210482879639,0.0534343011257215,-0.126849168262002
"ESRP1",-0.0097601323407775,-0.109760132340777,-0.0613681607577279,0.0788729259730819,-0.0259317495024937,-0.0259317495024937,-0.0259317495024937,-0.0259317495024937,0.000962996851877471,0.0259317495024937,0.0259317495024937,0.0613681607577279,0.0097601323407775,0.027899264061076
"GRHL2",-0.0857868462017195,-0.0857868462017195,-0.144345812743268,0.132419206730777,-0.129065250364772,-0.129065250364772,-0.129065250364772,-0.129065250364772,0.0442612601318132,0.129065250364772,0.129065250364772,0.144345812743268,-0.0142131537982805,0.101735542619229
