"","SNAIL1","MIR34","MIR200","MIR190","MIR1199","HAS2","GRHL2","CD44s","CD24","ZEB1","HA","MIR340","ESRP1","TGFB"
"MIR200",0.14370727371821,0.206436547938445,0.206436547938445,0.0784760444952876,0.0784760444952876,0.0784760444952876,0.0784760444952876,0.0803659376752383,0.0803659376752383,-0.0791320894812295,-0.0803659376752383,-0.0784760444952876,-0.0784760444952876,-0.298084386507897
"MIR340",0.131101627544744,0.107396557099088,0.107396557099088,0.0542259283292218,0.0542259283292218,0.0542259283292218,0.0542259283292218,0.05516710479981,0.05516710479981,-0.0544510521473217,-0.05516710479981,-0.0542259283292218,-0.0542259283292218,-0.0874027628425207
"MIR1199",0.131101627544744,0.107396557099088,0.107396557099088,0.0542259283292218,0.0542259283292218,0.0542259283292218,0.0542259283292218,0.05516710479981,0.05516710479981,-0.0544510521473217,-0.05516710479981,-0.0542259283292218,-0.0542259283292218,-0.0874027628425207
"HA",0.131101627544744,0.107396557099088,0.107396557099088,0.0542259283292218,0.0542259283292218,0.0542259283292218,0.0542259283292218,0.05516710479981,0.05516710479981,-0.0544510521473217,-0.05516710479981,-0.0542259283292218,-0.0542259283292218,-0.0874027628425207
"CD44s",0.131101627544744,0.107396557099088,0.107396557099088,0.0542259283292218,0.0542259283292218,0.0542259283292218,0.0542259283292218,0.05516710479981,0.05516710479981,-0.0544510521473217,-0.05516710479981,-0.0542259283292218,-0.0542259283292218,-0.0874027628425207
"ZEB1",-0.130742775870103,-0.107857386592175,-0.107857386592175,-0.0544510521473217,-0.0544510521473217,-0.0544510521473217,-0.0544510521473217,-0.0542259283292218,-0.0542259283292218,-0.0458311992224276,0.0542259283292218,0.0544510521473217,0.0544510521473217,0.086524353226247
"TGFB",-0.0655927797829178,-0.072586332971051,-0.072586332971051,0.0214772605984568,0.0214772605984568,0.0214772605984568,0.0214772605984568,0.0231099136596813,0.0231099136596813,-0.0218188165756864,-0.0231099136596813,-0.0214772605984568,-0.0214772605984568,0.0736376076979996
"MIR190",0.0646455538018624,0.0718040643921722,0.0718040643921722,-0.0231099136596813,-0.0231099136596813,-0.0231099136596813,-0.0231099136596813,-0.0190227201991908,-0.0190227201991908,0.0214772605984568,0.0190227201991908,0.0231099136596813,0.0231099136596813,-0.177034635298849
"MIR34",0.0655927797829178,0.072586332971051,0.072586332971051,-0.0214772605984568,-0.0214772605984568,-0.0214772605984568,-0.0214772605984568,-0.0231099136596813,-0.0231099136596813,0.0218188165756864,0.0231099136596813,0.0214772605984568,0.0214772605984568,-0.0736376076979996
"SNAIL1",-0.0352671089373654,0.0727078987381309,0.0727078987381309,-0.0218188165756864,-0.0218188165756864,-0.0218188165756864,-0.0218188165756864,-0.0214772605984568,-0.0214772605984568,0.0218613516671368,0.0214772605984568,0.0218188165756864,0.0218188165756864,-0.074751370625605
"HAS2",-0.130222330981994,-0.108234333184389,-0.108234333184389,-0.05516710479981,-0.05516710479981,-0.05516710479981,-0.05516710479981,-0.054177005789909,-0.054177005789909,0.0542259283292218,-0.045822994210091,0.05516710479981,0.05516710479981,0.0861207115604695
"ESRP1",-0.130222330981994,-0.108234333184389,-0.108234333184389,-0.05516710479981,-0.05516710479981,-0.05516710479981,-0.05516710479981,-0.154177005789909,-0.054177005789909,0.0542259283292218,0.054177005789909,0.05516710479981,0.05516710479981,0.0861207115604695
"CD24",-0.131101627544744,-0.107396557099088,-0.107396557099088,-0.0542259283292218,-0.0542259283292218,-0.0542259283292218,-0.0542259283292218,-0.05516710479981,-0.05516710479981,0.0544510521473217,0.05516710479981,0.0542259283292218,0.0542259283292218,0.0874027628425207
"GRHL2",-0.156688304485791,-0.218921909012439,-0.218921909012439,-0.170939381561484,-0.170939381561484,-0.170939381561484,-0.170939381561484,-0.171373032905804,-0.0713730329058036,0.170841693511989,0.171373032905804,0.170939381561484,0.170939381561484,0.199094340246106
