"","MIR34","MIR340","MIR190","MIR1199","ESRP1","CD24","ZEB1","MIR200","TGFB","HA","CD44s","HAS2","GRHL2","SNAIL1"
"SNAIL1",-0.044261750758428,0.242539731664252,0.242539731664252,0.242539731664252,0.242539731664252,0.246145044757231,-0.241249500556921,-0.292196440621767,0.314368119111624,-0.246145044757231,-0.246145044757231,-0.242539731664252,-0.242539731664252,0.114748016424769
"MIR1199",0.149886748721707,0.0496963368793455,0.0496963368793455,0.0496963368793455,0.0496963368793455,0.0496963368793455,-0.0513622531332852,0.0168263204337533,0.0075615380353417,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,-0.259388725387775
"CD44s",0.149886748721707,0.0496963368793455,0.0496963368793455,0.0496963368793455,0.0496963368793455,0.0496963368793455,-0.0513622531332852,0.0168263204337533,0.0075615380353417,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,-0.259388725387775
"CD24",0.149886748721707,0.0496963368793455,0.0496963368793455,0.0496963368793455,0.0496963368793455,0.0496963368793455,-0.0513622531332852,0.0168263204337533,0.0075615380353417,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,-0.259388725387775
"ZEB1",-0.14856186392908,-0.0513622531332852,-0.0513622531332852,-0.0513622531332852,-0.0513622531332852,-0.0496963368793455,-0.0468612235394693,-0.0133700992355966,-0.00927212518282205,0.0496963368793455,0.0496963368793455,0.0513622531332852,0.0513622531332852,0.255321739741842
"MIR200",-0.214418210435499,0.00337355237602929,0.00337355237602929,0.00337355237602929,0.00337355237602929,0.00575646116814104,-0.000280768870874655,-0.144303853076949,0.033137707625752,-0.00575646116814104,-0.00575646116814104,-0.00337355237602929,-0.00337355237602929,0.310380065350852
"GRHL2",0.0214045755370922,-0.0231669858441069,-0.0231669858441069,-0.0231669858441069,-0.0231669858441069,-0.124294479339337,0.0219621665669984,0.0527062254789925,-0.0417834607854959,0.0242944793393367,0.0242944793393367,0.0231669858441069,0.0231669858441069,-0.149485002006892
"HAS2",-0.152704722826809,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,-0.0539867659222498,0.0496963368793455,-0.0196442945388561,-0.00961282008662375,0.15398676592225,0.0539867659222498,0.0496963368793455,0.0496963368793455,0.266023417633978
"ESRP1",-0.152704722826809,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,-0.0539867659222498,0.0496963368793455,-0.0196442945388561,-0.00961282008662375,0.0539867659222498,-0.0460132340777502,0.0496963368793455,0.0496963368793455,0.266023417633978
"MIR340",-0.149886748721707,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,0.0513622531332852,-0.0168263204337533,-0.0075615380353417,0.0496963368793455,0.0496963368793455,0.0496963368793455,0.0496963368793455,0.259388725387775
"HA",-0.149886748721707,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,-0.0496963368793455,0.0513622531332852,-0.0168263204337533,-0.0075615380353417,0.0496963368793455,0.0496963368793455,0.0496963368793455,0.0496963368793455,0.259388725387775
"TGFB",0.0423410116385642,-0.246145044757231,-0.246145044757231,-0.246145044757231,-0.246145044757231,-0.252471575369476,0.242539731664252,0.294895200650943,-0.321130251172086,0.252471575369476,0.252471575369476,0.246145044757231,0.246145044757231,-0.212269513642776
"MIR34",0.0423410116385642,-0.246145044757231,-0.246145044757231,-0.246145044757231,-0.246145044757231,-0.252471575369476,0.242539731664252,0.294895200650943,-0.321130251172086,0.252471575369476,0.252471575369476,0.246145044757231,0.246145044757231,-0.212269513642776
"MIR190",0.0412979868667259,-0.252471575369476,-0.252471575369476,-0.252471575369476,-0.252471575369476,-0.260373482726424,0.246145044757231,0.301935617860852,-0.231533648199686,0.260373482726424,0.260373482726424,0.252471575369476,0.252471575369476,-0.213352057621125
