"","MIR340","MIR1199","ESRP1","HA","CD24","MIR200","SNAIL1","TGFB","ZEB1","MIR34","CD44s","MIR190","HAS2","GRHL2"
"MIR340",0.209727979775061,0.209727979775061,0.209727979775061,0.210669156245649,0.210669156245649,0.175046728831632,0.0802144129848214,0.00472073016616236,-0.212564539883121,-0.152377385559658,-0.210669156245649,-0.209727979775061,-0.209727979775061,-0.209727979775061
"HA",0.209727979775061,0.209727979775061,0.209727979775061,0.210669156245649,0.210669156245649,0.175046728831632,0.0802144129848214,0.00472073016616236,-0.212564539883121,-0.152377385559658,-0.210669156245649,-0.209727979775061,-0.209727979775061,-0.209727979775061
"CD24",0.209727979775061,0.209727979775061,0.209727979775061,0.210669156245649,0.210669156245649,0.175046728831632,0.0802144129848214,0.00472073016616236,-0.212564539883121,-0.152377385559658,-0.210669156245649,-0.209727979775061,-0.209727979775061,-0.209727979775061
"ESRP1",0.210669156245649,0.210669156245649,0.210669156245649,0.210339123242349,0.210339123242349,0.174361275670932,0.0810937095475712,0.00497714042257261,-0.209727979775061,-0.15428142211716,-0.310339123242349,-0.210669156245649,-0.210669156245649,-0.210669156245649
"MIR200",0.149649838950985,0.149649838950985,0.149649838950985,0.151539732130936,0.151539732130936,0.0453504711311831,-0.0178686774927492,0.0111126917296207,-0.151430532484256,-0.203546887628871,-0.151539732130936,-0.149649838950985,-0.149649838950985,-0.149649838950985
"SNAIL1",0.110020161629837,0.110020161629837,0.110020161629837,0.110893026904979,0.110893026904979,0.114238069230236,-0.0812654250983433,0.071396360093159,-0.110828328367396,0.00156057579793805,-0.110893026904979,-0.110020161629837,-0.110020161629837,-0.110020161629837
"GRHL2",0.0377744129500214,0.0377744129500214,0.0377744129500214,0.0385549853697959,-0.0614450146302041,0.0338421668748787,0.0653159989609115,0.00386943680619208,-0.040086363454743,-0.0158458958555075,-0.0385549853697959,-0.0377744129500214,-0.0377744129500214,-0.0377744129500214
"TGFB",-0.110893026904979,-0.110893026904979,-0.110893026904979,-0.11028078200702,-0.11028078200702,-0.114359634997316,-0.0188357382805135,-0.0716350235776459,0.110020161629837,-0.000563736507882128,0.11028078200702,0.110893026904979,0.110893026904979,0.110893026904979
"MIR34",-0.110893026904979,-0.110893026904979,-0.110893026904979,-0.11028078200702,-0.11028078200702,-0.114359634997316,-0.0188357382805135,-0.0716350235776459,0.110020161629837,-0.000563736507882128,0.11028078200702,0.110893026904979,0.110893026904979,0.110893026904979
"MIR190",-0.11028078200702,-0.11028078200702,-0.11028078200702,-0.10619358854653,-0.10619358854653,-0.114359634997316,-0.0176178763048708,0.028152662197301,0.110893026904979,-0.00134600508676088,0.10619358854653,0.11028078200702,0.11028078200702,0.11028078200702
"ZEB1",-0.212564539883121,-0.212564539883121,-0.212564539883121,-0.209727979775061,-0.209727979775061,-0.176544424684167,-0.0798555613101802,-0.00550667561230198,0.11271396707887,0.154508721965188,0.209727979775061,0.212564539883121,0.212564539883121,0.212564539883121
"HAS2",-0.210669156245649,-0.210669156245649,-0.210669156245649,-0.310339123242349,-0.210339123242349,-0.174361275670932,-0.0810937095475712,-0.00497714042257261,0.209727979775061,0.15428142211716,0.210339123242349,0.210669156245649,0.210669156245649,0.210669156245649
"MIR1199",-0.209727979775061,-0.209727979775061,-0.209727979775061,-0.210669156245649,-0.210669156245649,-0.175046728831632,-0.0802144129848214,-0.00472073016616236,0.212564539883121,0.152377385559658,0.210669156245649,0.209727979775061,0.209727979775061,0.209727979775061
"CD44s",-0.209727979775061,-0.209727979775061,-0.209727979775061,-0.210669156245649,-0.210669156245649,-0.175046728831632,-0.0802144129848214,-0.00472073016616236,0.212564539883121,0.152377385559658,0.210669156245649,0.209727979775061,0.209727979775061,0.209727979775061
