"","MIR340","MIR190","MIR1199","ESRP1","HA","CD24","MIR200","SNAIL1","MIR34","ZEB1","TGFB","CD44s","HAS2","GRHL2"
"MIR1199",0.204577279797751,0.204577279797751,0.204577279797751,0.204577279797751,0.208106691562456,0.208106691562456,0.198928823167348,0.141088048817455,0.122234480976363,-0.20939492950509,-0.20092438733114,-0.208106691562456,-0.204577279797751,-0.204577279797751
"HA",0.204577279797751,0.204577279797751,0.204577279797751,0.204577279797751,0.208106691562456,0.208106691562456,0.198928823167348,0.141088048817455,0.122234480976363,-0.20939492950509,-0.20092438733114,-0.208106691562456,-0.204577279797751,-0.204577279797751
"CD24",0.204577279797751,0.204577279797751,0.204577279797751,0.204577279797751,0.208106691562456,0.208106691562456,0.198928823167348,0.141088048817455,0.122234480976363,-0.20939492950509,-0.20092438733114,-0.208106691562456,-0.204577279797751,-0.204577279797751
"ESRP1",0.208106691562456,0.208106691562456,0.208106691562456,0.208106691562456,0.208436724565757,0.208436724565757,0.198852661705048,0.138769903333842,0.126880330176668,-0.204577279797751,-0.203232079638832,-0.308436724565757,-0.208106691562456,-0.208106691562456
"SNAIL1",0.0287284570347628,0.0287284570347628,0.0287284570347628,0.0287284570347628,0.0281591970727134,0.0281591970727134,0.0813534936778614,-0.0673507992572989,-0.0484224707596247,-0.0320603725317144,-0.0950641888008529,-0.0281591970727134,-0.0287284570347628,-0.0287284570347628
"MIR34",0.0281591970727134,0.0281591970727134,0.0281591970727134,0.0281591970727134,0.0359142991135298,0.0359142991135298,0.0784602284213576,0.0353300302824077,-0.0462586001056009,-0.0287284570347628,-0.101905875356143,-0.0359142991135298,-0.0281591970727134,-0.0281591970727134
"MIR190",0.0359142991135298,0.0359142991135298,0.0359142991135298,0.0359142991135298,0.0258325552443199,0.0258325552443199,0.0847183770523876,0.0282934944231384,-0.0426080134041667,-0.0281591970727134,-0.19617339127971,-0.0258325552443199,-0.0359142991135298,-0.0359142991135298
"TGFB",-0.0281591970727134,-0.0281591970727134,-0.0281591970727134,-0.0281591970727134,-0.0359142991135298,-0.0359142991135298,-0.0784602284213576,-0.0353300302824077,0.0462586001056009,0.0287284570347628,0.101905875356143,0.0359142991135298,0.0281591970727134,0.0281591970727134
"ZEB1",-0.20939492950509,-0.20939492950509,-0.20939492950509,-0.20939492950509,-0.204577279797751,-0.204577279797751,-0.202845873858592,-0.137858383745684,-0.124481024755165,0.10931191439634,0.199583656864196,0.204577279797751,0.20939492950509,0.20939492950509
"MIR200",-0.172488761453065,-0.172488761453065,-0.172488761453065,-0.172488761453065,-0.17799410245553,-0.17799410245553,-0.072431268035204,-0.0141149203414294,-0.199526168215649,0.178205724901987,-0.0268177791538477,0.17799410245553,0.172488761453065,0.172488761453065
"HAS2",-0.208106691562456,-0.208106691562456,-0.208106691562456,-0.208106691562456,-0.308436724565757,-0.208436724565757,-0.198852661705048,-0.138769903333842,-0.126880330176668,0.204577279797751,0.203232079638832,0.208436724565757,0.208106691562456,0.208106691562456
"MIR340",-0.204577279797751,-0.204577279797751,-0.204577279797751,-0.204577279797751,-0.208106691562456,-0.208106691562456,-0.198928823167348,-0.141088048817455,-0.122234480976363,0.20939492950509,0.20092438733114,0.208106691562456,0.204577279797751,0.204577279797751
"CD44s",-0.204577279797751,-0.204577279797751,-0.204577279797751,-0.204577279797751,-0.208106691562456,-0.208106691562456,-0.198928823167348,-0.141088048817455,-0.122234480976363,0.20939492950509,0.20092438733114,0.208106691562456,0.204577279797751,0.204577279797751
"GRHL2",-0.27377237913388,-0.27377237913388,-0.27377237913388,-0.27377237913388,-0.276461017468659,-0.376461017468659,-0.291181294198835,-0.167266790358686,-0.207608313146995,0.276279705737593,0.285012862101865,0.276461017468659,0.27377237913388,0.27377237913388
