"","MIR200","HA","MIR190","MIR1199","GRHL2","ESRP1","SNAIL1","ZEB1","MIR34","MIR340","HAS2","CD44s","CD24","TGFB"
"ESRP1",0.119489872564234,0.100727874276261,0.105018303319166,0.105018303319166,0.105018303319166,0.105018303319166,0.0982732317375201,-0.108077126848577,-0.0672459812970357,-0.105018303319166,-0.105018303319166,-0.200727874276261,-0.100727874276261,-0.111003691157843
"MIR200",0.198780385197259,0.107286191124691,0.107532698930772,0.107532698930772,0.107532698930772,0.107532698930772,0.107580418446762,-0.105876966347204,0.00820640506423782,-0.107532698930772,-0.107532698930772,-0.107286191124691,-0.107286191124691,-0.301655957827357
"MIR340",0.120479971574135,0.105018303319166,0.108077126848577,0.108077126848577,0.108077126848577,0.108077126848577,0.101070993528088,-0.105780863903958,-0.0702162783267387,-0.108077126848577,-0.108077126848577,-0.105018303319166,-0.105018303319166,-0.112542152696304
"HA",0.120479971574135,0.105018303319166,0.108077126848577,0.108077126848577,0.108077126848577,0.108077126848577,0.101070993528088,-0.105780863903958,-0.0702162783267387,-0.108077126848577,-0.108077126848577,-0.105018303319166,-0.105018303319166,-0.112542152696304
"TGFB",-0.0479246873598442,0.0145521217872556,0.0147562034199087,0.0147562034199087,0.0147562034199087,0.0147562034199087,-0.0133760844193452,-0.0138833381447664,-0.0652877857704108,-0.0147562034199087,-0.0147562034199087,-0.0145521217872556,-0.0145521217872556,0.0581000997927214
"MIR34",-0.0479246873598442,0.0145521217872556,0.0147562034199087,0.0147562034199087,0.0147562034199087,0.0147562034199087,-0.0133760844193452,-0.0138833381447664,-0.0652877857704108,-0.0147562034199087,-0.0147562034199087,-0.0145521217872556,-0.0145521217872556,0.0581000997927214
"GRHL2",-0.00404491473167518,0.00384336196546303,0.00271586847023319,0.00271586847023319,0.00271586847023319,0.00271586847023319,-0.0760492115406394,-0.00522319507394534,-0.0203520812453571,-0.00271586847023319,-0.00271586847023319,-0.00384336196546303,-0.103843361965463,-0.000743652852711557
"ZEB1",-0.120019142081048,-0.108077126848577,-0.105780863903958,-0.105780863903958,-0.105780863903958,-0.105780863903958,-0.101549462427609,0.00476807957721042,0.0677393198013931,0.105780863903958,0.105780863903958,0.108077126848577,0.108077126848577,0.114345204013919
"SNAIL1",0.0472682322176122,-0.0147562034199087,-0.0138833381447664,-0.0138833381447664,-0.0138833381447664,-0.0138833381447664,-0.0879896211952223,0.0134154521388115,0.0635129255710429,0.0138833381447664,0.0138833381447664,0.0147562034199087,0.0147562034199087,-0.0598502986789585
"MIR190",0.044925991140809,-0.00828509181450358,-0.0145521217872556,-0.0145521217872556,-0.0145521217872556,-0.0145521217872556,0.0167590343516862,0.0147562034199087,0.062028333358416,0.0145521217872556,0.0145521217872556,0.00828509181450358,0.00828509181450358,-0.163832583869155
"MIR1199",-0.120479971574135,-0.105018303319166,-0.108077126848577,-0.108077126848577,-0.108077126848577,-0.108077126848577,-0.101070993528088,0.105780863903958,0.0702162783267387,0.108077126848577,0.108077126848577,0.105018303319166,0.105018303319166,0.112542152696304
"CD44s",-0.120479971574135,-0.105018303319166,-0.108077126848577,-0.108077126848577,-0.108077126848577,-0.108077126848577,-0.101070993528088,0.105780863903958,0.0702162783267387,0.108077126848577,0.108077126848577,0.105018303319166,0.105018303319166,0.112542152696304
"CD24",-0.120479971574135,-0.105018303319166,-0.108077126848577,-0.108077126848577,-0.108077126848577,-0.108077126848577,-0.101070993528088,0.105780863903958,0.0702162783267387,0.108077126848577,0.108077126848577,0.105018303319166,0.105018303319166,0.112542152696304
"HAS2",-0.119489872564234,-0.200727874276261,-0.105018303319166,-0.105018303319166,-0.105018303319166,-0.105018303319166,-0.0982732317375201,0.108077126848577,0.0672459812970357,0.105018303319166,0.105018303319166,0.100727874276261,0.100727874276261,0.111003691157843
