"","TGFB","MIR34","MIR200","MIR340","MIR1199","GRHL2","ESRP1","SNAIL1","ZEB1","MIR190","HAS2","HA","CD44s","CD24"
"HAS2",0.194093216064561,0.168504339414439,0.1134207942754,0.109604943124585,0.109604943124585,0.109604943124585,0.109604943124585,0.0698750503900575,-0.193840237242232,-0.109604943124585,-0.109604943124585,-0.0970636889991729,-0.197063688999173,-0.197063688999173
"MIR200",0.121661115144,0.266248902248024,0.0945299079172074,0.18751087613364,0.18751087613364,0.18751087613364,0.18751087613364,-0.0611160094876251,-0.114939804593496,-0.18751087613364,-0.18751087613364,-0.11117562551737,-0.11117562551737,-0.11117562551737
"MIR340",0.112298344269689,0.202396190137973,0.188592157565575,0.193840237242232,0.193840237242232,0.193840237242232,0.193840237242232,0.0141596227321838,-0.113651133235028,-0.193840237242232,-0.193840237242232,-0.109604943124585,-0.109604943124585,-0.109604943124585
"MIR1199",0.112298344269689,0.202396190137973,0.188592157565575,0.193840237242232,0.193840237242232,0.193840237242232,0.193840237242232,0.0141596227321838,-0.113651133235028,-0.193840237242232,-0.193840237242232,-0.109604943124585,-0.109604943124585,-0.109604943124585
"HA",0.112298344269689,0.202396190137973,0.188592157565575,0.193840237242232,0.193840237242232,0.193840237242232,0.193840237242232,0.0141596227321838,-0.113651133235028,-0.193840237242232,-0.193840237242232,-0.109604943124585,-0.109604943124585,-0.109604943124585
"CD44s",0.112298344269689,0.202396190137973,0.188592157565575,0.193840237242232,0.193840237242232,0.193840237242232,0.193840237242232,0.0141596227321838,-0.113651133235028,-0.193840237242232,-0.193840237242232,-0.109604943124585,-0.109604943124585,-0.109604943124585
"CD24",0.112298344269689,0.202396190137973,0.188592157565575,0.193840237242232,0.193840237242232,0.193840237242232,0.193840237242232,0.0141596227321838,-0.113651133235028,-0.193840237242232,-0.193840237242232,-0.109604943124585,-0.109604943124585,-0.109604943124585
"TGFB",-0.0133973616840834,0.0641091068996725,-0.0534423573131094,0.0107183303233495,0.0107183303233495,0.0107183303233495,0.0107183303233495,0.0142917280512272,-0.0635836054656645,-0.0107183303233495,-0.0107183303233495,-0.066024452772329,-0.066024452772329,-0.066024452772329
"GRHL2",0.00973370352040208,0.0676550017616047,0.0871321088146557,0.092351478872306,0.092351478872306,0.092351478872306,0.092351478872306,0.018737790750629,-0.0110424590090693,-0.092351478872306,-0.092351478872306,-0.00726908511688538,-0.00726908511688538,-0.107269085116885
"MIR190",-0.0328871393774878,-0.0856214928188381,0.00428981494022804,-0.066024452772329,-0.066024452772329,-0.066024452772329,-0.066024452772329,0.0223794492153492,0.0107183303233495,0.066024452772329,0.066024452772329,0.00798630563336447,0.00798630563336447,0.00798630563336447
"SNAIL1",0.0649486743332481,-0.0847996004566868,0.00639640545315316,-0.0635836054656645,-0.0635836054656645,-0.0635836054656645,-0.0635836054656645,-0.0794409440350411,0.0130944519139843,0.0635836054656645,0.0635836054656645,0.0107183303233495,0.0107183303233495,0.0107183303233495
"MIR34",0.0133973616840834,-0.0641091068996725,0.0534423573131094,-0.0107183303233495,-0.0107183303233495,-0.0107183303233495,-0.0107183303233495,-0.0142917280512272,0.0635836054656645,0.0107183303233495,0.0107183303233495,0.066024452772329,0.066024452772329,0.066024452772329
"ZEB1",-0.191031585138852,-0.171174991981291,-0.11722118982364,-0.113651133235028,-0.113651133235028,-0.113651133235028,-0.113651133235028,-0.0673892878039541,0.0904733148720865,0.113651133235028,0.113651133235028,0.193840237242232,0.193840237242232,0.193840237242232
"ESRP1",-0.194093216064561,-0.168504339414439,-0.1134207942754,-0.109604943124585,-0.109604943124585,-0.109604943124585,-0.109604943124585,-0.0698750503900575,0.193840237242232,0.109604943124585,0.109604943124585,0.197063688999173,0.0970636889991729,0.197063688999173
