"","SNAIL1","CD24","MIR190","HAS2","GRHL2","ESRP1","MIR34","TGFB","ZEB1","MIR340","MIR1199","HA","CD44s","MIR200"
"GRHL2",0.188061187305072,0.354208343895962,0.255509297928919,0.255509297928919,0.255509297928919,0.255509297928919,0.194834320103177,0.0283472414873866,-0.254630105483462,-0.255509297928919,-0.255509297928919,-0.254208343895962,-0.254208343895962,-0.292965979012126
"MIR1199",0.162738267397126,0.104798008336814,0.109033302454461,0.109033302454461,0.109033302454461,0.109033302454461,0.0762128912943739,0.025076906837357,-0.106196742346401,-0.109033302454461,-0.109033302454461,-0.104798008336814,-0.104798008336814,-0.16250627634997
"HA",0.162738267397126,0.104798008336814,0.109033302454461,0.109033302454461,0.109033302454461,0.109033302454461,0.0762128912943739,0.025076906837357,-0.106196742346401,-0.109033302454461,-0.109033302454461,-0.104798008336814,-0.104798008336814,-0.16250627634997
"CD44s",0.162738267397126,0.104798008336814,0.109033302454461,0.109033302454461,0.109033302454461,0.109033302454461,0.0762128912943739,0.025076906837357,-0.106196742346401,-0.109033302454461,-0.109033302454461,-0.104798008336814,-0.104798008336814,-0.16250627634997
"CD24",0.162738267397126,0.104798008336814,0.109033302454461,0.109033302454461,0.109033302454461,0.109033302454461,0.0762128912943739,0.025076906837357,-0.106196742346401,-0.109033302454461,-0.109033302454461,-0.104798008336814,-0.104798008336814,-0.16250627634997
"MIR190",-0.180665295153597,0.105353252412076,0.10780556848837,0.10780556848837,0.10780556848837,0.10780556848837,0.19638526946288,-0.228356708389886,-0.106172915427146,-0.10780556848837,-0.10780556848837,-0.105353252412076,-0.105353252412076,0.0871869911357924
"ZEB1",-0.163276544909088,-0.109033302454461,-0.106196742346401,-0.106196742346401,-0.106196742346401,-0.106196742346401,-0.0746575917552034,-0.0254005314328263,0.00800647171714693,0.106196742346401,0.106196742346401,0.109033302454461,0.109033302454461,0.160432543631076
"MIR200",-0.230880202075437,-0.0904957370595438,-0.0927143073142686,-0.0927143073142686,-0.0927143073142686,-0.0927143073142686,0.0407014924413672,-0.224630183864954,0.0912460161552558,0.0927143073142686,0.0927143073142686,0.0904957370595438,0.0904957370595438,0.242102214269828
"MIR340",-0.162738267397126,-0.104798008336814,-0.109033302454461,-0.109033302454461,-0.109033302454461,-0.109033302454461,-0.0762128912943739,-0.025076906837357,0.106196742346401,0.109033302454461,0.109033302454461,0.104798008336814,0.104798008336814,0.16250627634997
"SNAIL1",0.080596985916723,-0.106172915427146,-0.107197583358835,-0.107197583358835,-0.107197583358835,-0.107197583358835,-0.19603182531609,0.128223948659662,0.106531200259444,0.107197583358835,0.107197583358835,0.106172915427146,0.106172915427146,-0.0876066862482146
"TGFB",0.180394659159009,-0.10780556848837,-0.106172915427146,-0.106172915427146,-0.106172915427146,-0.106172915427146,-0.195472622787522,0.128144394164833,0.107197583358835,0.106172915427146,0.106172915427146,0.10780556848837,0.10780556848837,-0.0883603940041106
"MIR34",0.180394659159009,-0.10780556848837,-0.106172915427146,-0.106172915427146,-0.106172915427146,-0.106172915427146,-0.195472622787522,0.128144394164833,0.107197583358835,0.106172915427146,0.106172915427146,0.10780556848837,0.10780556848837,-0.0883603940041106
"HAS2",-0.163457691857558,-0.111728701406121,-0.104798008336814,-0.104798008336814,-0.104798008336814,-0.104798008336814,-0.0740042088876717,-0.0253333170937673,0.109033302454461,0.104798008336814,0.104798008336814,0.0117287014061208,0.111728701406121,0.159231333471067
"ESRP1",-0.163457691857558,-0.111728701406121,-0.104798008336814,-0.104798008336814,-0.104798008336814,-0.104798008336814,-0.0740042088876717,-0.0253333170937673,0.109033302454461,0.104798008336814,0.104798008336814,0.111728701406121,0.0117287014061208,0.159231333471067
