"","MIR200","MIR34","CD24","MIR340","MIR190","HAS2","GRHL2","ESRP1","ZEB1","SNAIL1","MIR1199","HA","CD44s","TGFB"
"SNAIL1",0.144223809590831,-0.0337970097131882,0.108062560173933,0.108783622792529,0.108783622792529,0.108783622792529,0.108783622792529,0.108783622792529,-0.108315736786574,-0.0235457528213111,-0.108783622792529,-0.108062560173933,-0.108062560173933,-0.166633313768522
"MIR190",0.143492608143834,-0.0324251709382415,0.106834733893557,0.109287049969852,0.109287049969852,0.109287049969852,0.109287049969852,0.109287049969852,-0.108062560173933,0.0780024301735219,-0.109287049969852,-0.106834733893557,-0.106834733893557,-0.26663382048505
"MIR200",0.211167961512484,-0.00515587964000938,0.0949177509985008,0.0964789671036775,0.0964789671036775,0.0964789671036775,0.0964789671036775,0.0964789671036775,-0.095448039268626,0.0723763814892632,-0.0964789671036775,-0.0949177509985008,-0.0949177509985008,-0.309923090178359
"HAS2",0.0965857881174196,0.0600259932446392,0.0622746071133168,0.0593043100836138,0.0593043100836138,0.0593043100836138,0.0593043100836138,0.0593043100836138,-0.0604807806718491,-0.0351064131618239,-0.0593043100836138,-0.162274607113317,-0.0622746071133168,-0.0847157025140759
"CD44s",0.0943771057107174,0.0637579048973429,0.0593043100836138,0.0604807806718491,0.0604807806718491,0.0604807806718491,0.0604807806718491,0.0604807806718491,-0.0595352606358293,-0.0295908256318479,-0.0604807806718491,-0.0593043100836138,-0.0593043100836138,-0.0854849332833066
"ZEB1",-0.0957595941899801,-0.0611657389987254,-0.0604807806718491,-0.0595352606358293,-0.0595352606358293,-0.0595352606358293,-0.0595352606358293,-0.0595352606358293,-0.0398172215159223,0.0329401079284986,0.0595352606358293,0.0604807806718491,0.0604807806718491,0.0846065236670329
"MIR340",-0.0943771057107174,-0.0637579048973429,-0.0593043100836138,-0.0604807806718491,-0.0604807806718491,-0.0604807806718491,-0.0604807806718491,-0.0604807806718491,0.0595352606358293,0.0295908256318479,0.0604807806718491,0.0593043100836138,0.0593043100836138,0.0854849332833066
"MIR1199",-0.0943771057107174,-0.0637579048973429,-0.0593043100836138,-0.0604807806718491,-0.0604807806718491,-0.0604807806718491,-0.0604807806718491,-0.0604807806718491,0.0595352606358293,0.0295908256318479,0.0604807806718491,0.0593043100836138,0.0593043100836138,0.0854849332833066
"HA",-0.0943771057107174,-0.0637579048973429,-0.0593043100836138,-0.0604807806718491,-0.0604807806718491,-0.0604807806718491,-0.0604807806718491,-0.0604807806718491,0.0595352606358293,0.0295908256318479,0.0604807806718491,0.0593043100836138,0.0593043100836138,0.0854849332833066
"CD24",-0.0943771057107174,-0.0637579048973429,-0.0593043100836138,-0.0604807806718491,-0.0604807806718491,-0.0604807806718491,-0.0604807806718491,-0.0604807806718491,0.0595352606358293,0.0295908256318479,0.0604807806718491,0.0593043100836138,0.0593043100836138,0.0854849332833066
"ESRP1",-0.0965857881174196,-0.0600259932446392,-0.0622746071133168,-0.0593043100836138,-0.0593043100836138,-0.0593043100836138,-0.0593043100836138,-0.0593043100836138,0.0604807806718491,0.0351064131618239,0.0593043100836138,0.0622746071133168,-0.0377253928866832,0.0847157025140759
"TGFB",-0.145317901494551,0.0358150014467161,-0.109287049969852,-0.108062560173933,-0.108062560173933,-0.108062560173933,-0.108062560173933,-0.108062560173933,0.108783622792529,-0.0736722542601254,0.108062560173933,0.109287049969852,0.109287049969852,0.16599687780989
"MIR34",-0.145317901494551,0.0358150014467161,-0.109287049969852,-0.108062560173933,-0.108062560173933,-0.108062560173933,-0.108062560173933,-0.108062560173933,0.108783622792529,-0.0736722542601254,0.108062560173933,0.109287049969852,0.109287049969852,0.16599687780989
"GRHL2",-0.181958854190166,-0.190113732060047,-0.0790598238044018,-0.179146554073266,-0.179146554073266,-0.179146554073266,-0.179146554073266,-0.179146554073266,0.17878836455845,0.0514439141017609,0.179146554073266,0.179059823804402,0.179059823804402,0.18219534297171
