"","SNAIL1","MIR34","MIR200","MIR190","HAS2","GRHL2","ESRP1","CD24","ZEB1","TGFB","HA","CD44s","MIR340","MIR1199"
"SNAIL1",0.370383311562998,0.389105604930536,0.389105604930536,0.236764463874482,0.236764463874482,0.236764463874482,0.236764463874482,0.235967499927613,-0.23788455461601,-0.207431863313237,-0.235967499927613,-0.235967499927613,-0.236764463874482,-0.236764463874482
"TGFB",0.468764697501289,0.387379371038,0.387379371038,0.235967499927613,0.235967499927613,0.235967499927613,0.235967499927613,0.236171581560266,-0.236764463874482,-0.206079436901144,-0.236171581560266,-0.236171581560266,-0.235967499927613,-0.235967499927613
"MIR34",0.468764697501289,0.387379371038,0.387379371038,0.235967499927613,0.235967499927613,0.235967499927613,0.235967499927613,0.236171581560266,-0.236764463874482,-0.206079436901144,-0.236171581560266,-0.236171581560266,-0.235967499927613,-0.235967499927613
"MIR190",0.465381747568948,0.385293321494324,0.385293321494324,0.236171581560266,0.236171581560266,0.236171581560266,0.236171581560266,0.233719265483971,-0.235967499927613,-0.104168608875667,-0.233719265483971,-0.233719265483971,-0.236171581560266,-0.236171581560266
"MIR340",0.145843716987172,0.119608169754542,0.119608169754542,0.0797046573143667,0.0797046573143667,0.0797046573143667,0.0797046573143667,0.0757046573143667,-0.0812805240410664,-0.0228353782694619,-0.0757046573143667,-0.0757046573143667,-0.0797046573143667,-0.0797046573143667
"MIR1199",0.145843716987172,0.119608169754542,0.119608169754542,0.0797046573143667,0.0797046573143667,0.0797046573143667,0.0797046573143667,0.0757046573143667,-0.0812805240410664,-0.0228353782694619,-0.0757046573143667,-0.0757046573143667,-0.0797046573143667,-0.0797046573143667
"HA",0.145843716987172,0.119608169754542,0.119608169754542,0.0797046573143667,0.0797046573143667,0.0797046573143667,0.0797046573143667,0.0757046573143667,-0.0812805240410664,-0.0228353782694619,-0.0757046573143667,-0.0757046573143667,-0.0797046573143667,-0.0797046573143667
"CD44s",0.145843716987172,0.119608169754542,0.119608169754542,0.0797046573143667,0.0797046573143667,0.0797046573143667,0.0797046573143667,0.0757046573143667,-0.0812805240410664,-0.0228353782694619,-0.0757046573143667,-0.0757046573143667,-0.0797046573143667,-0.0797046573143667
"CD24",0.145843716987172,0.119608169754542,0.119608169754542,0.0797046573143667,0.0797046573143667,0.0797046573143667,0.0797046573143667,0.0757046573143667,-0.0812805240410664,-0.0228353782694619,-0.0757046573143667,-0.0757046573143667,-0.0797046573143667,-0.0797046573143667
"ZEB1",-0.146561420336454,-0.120529828740717,-0.120529828740717,-0.0812805240410664,-0.0812805240410664,-0.0812805240410664,-0.0812805240410664,-0.0797046573143667,-0.019765466329181,0.0228816103545289,0.0797046573143667,0.0797046573143667,0.0812805240410664,0.0812805240410664
"MIR200",-0.168738560483764,-0.0787231437417449,-0.0787231437417449,0.0182220790373119,0.0182220790373119,0.0182220790373119,0.0182220790373119,0.0161678473199742,-0.0193779678220667,0.0153028876621775,-0.0161678473199742,-0.0161678473199742,-0.0182220790373119,-0.0182220790373119
"GRHL2",-0.0965897668030768,-0.00675993827356821,-0.00675993827356821,0.00956029853967112,0.00956029853967112,0.00956029853967112,0.00956029853967112,0.113116239563088,-0.00952773585650603,0.0109018266951434,-0.0131162395630883,-0.0131162395630883,-0.00956029853967112,-0.00956029853967112
"HAS2",-0.146083525140649,-0.116942518574039,-0.116942518574039,-0.0757046573143667,-0.0757046573143667,-0.0757046573143667,-0.0757046573143667,-0.078014888337469,0.0797046573143667,0.0218097372438208,-0.021985111662531,0.078014888337469,0.0757046573143667,0.0757046573143667
"ESRP1",-0.146083525140649,-0.116942518574039,-0.116942518574039,-0.0757046573143667,-0.0757046573143667,-0.0757046573143667,-0.0757046573143667,-0.078014888337469,0.0797046573143667,0.0218097372438208,0.078014888337469,-0.021985111662531,0.0757046573143667,0.0757046573143667
