"","HA","CD44s","MIR190","MIR1199","MIR34","SNAIL1","ZEB1","TGFB","MIR200","MIR340","HAS2","GRHL2","ESRP1","CD24"
"GRHL2",0.165631758407913,0.165631758407913,0.166065409752232,0.166065409752232,0.155749477028995,0.0870367411412218,-0.16368833388118,-0.00834548228504947,-0.155749477028995,-0.166065409752232,-0.166065409752232,-0.166065409752232,-0.166065409752232,-0.065631758407913
"MIR200",0.112262497949592,0.112262497949592,0.110865620381803,0.110865620381803,0.00809721779303717,0.0904202286455074,-0.11058445824497,-0.196000594924887,-0.00809721779303717,-0.110865620381803,-0.110865620381803,-0.110865620381803,-0.110865620381803,-0.112262497949592
"MIR340",0.104221064786379,0.104221064786379,0.101632829492262,0.101632829492262,0.0856811632914093,0.0620982570038831,-0.0993365665476422,-0.00136306283506964,-0.0856811632914093,-0.101632829492262,-0.101632829492262,-0.101632829492262,-0.101632829492262,-0.104221064786379
"MIR1199",0.104221064786379,0.104221064786379,0.101632829492262,0.101632829492262,0.0856811632914093,0.0620982570038831,-0.0993365665476422,-0.00136306283506964,-0.0856811632914093,-0.101632829492262,-0.101632829492262,-0.101632829492262,-0.101632829492262,-0.104221064786379
"HA",0.104221064786379,0.104221064786379,0.101632829492262,0.101632829492262,0.0856811632914093,0.0620982570038831,-0.0993365665476422,-0.00136306283506964,-0.0856811632914093,-0.101632829492262,-0.101632829492262,-0.101632829492262,-0.101632829492262,-0.104221064786379
"CD44s",0.104221064786379,0.104221064786379,0.101632829492262,0.101632829492262,0.0856811632914093,0.0620982570038831,-0.0993365665476422,-0.00136306283506964,-0.0856811632914093,-0.101632829492262,-0.101632829492262,-0.101632829492262,-0.101632829492262,-0.104221064786379
"CD24",0.104221064786379,0.104221064786379,0.101632829492262,0.101632829492262,0.0856811632914093,0.0620982570038831,-0.0993365665476422,-0.00136306283506964,-0.0856811632914093,-0.101632829492262,-0.101632829492262,-0.101632829492262,-0.101632829492262,-0.104221064786379
"MIR190",0.0765764083411142,0.0765764083411142,0.0779388061612777,0.0779388061612777,-0.0261013539613025,0.0276768847612653,-0.082224520446992,-0.176332583869155,0.0261013539613025,-0.0779388061612777,-0.0779388061612777,-0.0779388061612777,-0.0779388061612777,-0.0765764083411142
"MIR34",0.0779388061612777,0.0779388061612777,0.082224520446992,0.082224520446992,-0.0219292548739492,0.0310598346936063,-0.0799854312629313,-0.0752710127438891,0.0219292548739492,-0.082224520446992,-0.082224520446992,-0.082224520446992,-0.082224520446992,-0.0779388061612777
"SNAIL1",0.082224520446992,0.082224520446992,0.0799854312629313,0.0799854312629313,-0.024579388596293,-0.0688390019275368,-0.0792623347082737,-0.0743959133007706,0.024579388596293,-0.0799854312629313,-0.0799854312629313,-0.0799854312629313,-0.0799854312629313,-0.082224520446992
"ZEB1",-0.101632829492262,-0.101632829492262,-0.0993365665476422,-0.0993365665476422,-0.0836074305725153,-0.0597059125062755,0.0012127080053875,0.00233393662147741,0.0836074305725153,0.0993365665476422,0.0993365665476422,0.0993365665476422,0.0993365665476422,0.101632829492262
"TGFB",-0.0779388061612777,-0.0779388061612777,-0.082224520446992,-0.082224520446992,0.0219292548739492,-0.0310598346936063,0.0799854312629313,0.0752710127438891,-0.0219292548739492,0.082224520446992,0.082224520446992,0.082224520446992,0.082224520446992,0.0779388061612777
"HAS2",-0.19531017369727,-0.0953101736972705,-0.104221064786379,-0.104221064786379,-0.0889561061703126,-0.0604195999295426,0.101632829492262,0.00341434488635169,0.0889561061703126,0.104221064786379,0.104221064786379,0.104221064786379,0.104221064786379,0.0953101736972705
"ESRP1",-0.0953101736972705,-0.19531017369727,-0.104221064786379,-0.104221064786379,-0.0889561061703126,-0.0604195999295426,0.101632829492262,0.00341434488635169,0.0889561061703126,0.104221064786379,0.104221064786379,0.104221064786379,0.104221064786379,0.0953101736972705
