"","CD44s","MIR34","MIR200","MIR190","MIR1199","ESRP1","ZEB1","SNAIL1","MIR340","HAS2","GRHL2","HA","CD24","TGFB"
"GRHL2",0.178383643101433,0.193373643287004,0.193373643287004,0.182459965738033,0.182459965738033,0.182459965738033,-0.179106009372028,-0.0467986245376464,-0.182459965738033,-0.182459965738033,-0.182459965738033,-0.178383643101433,-0.0783836431014328,-0.182701575021201
"HAS2",0.0649545078577337,0.0525870085026578,0.0525870085026578,0.0520832207290208,0.0520832207290208,0.0520832207290208,-0.0622008677878443,-0.0426833341017448,-0.0520832207290208,-0.0520832207290208,-0.0520832207290208,0.0350454921422663,-0.0649545078577337,-0.0672733099865689
"ESRP1",0.164954507857734,0.0525870085026578,0.0525870085026578,0.0520832207290208,0.0520832207290208,0.0520832207290208,-0.0622008677878443,-0.0426833341017448,-0.0520832207290208,-0.0520832207290208,-0.0520832207290208,-0.0649545078577337,-0.0649545078577337,-0.0672733099865689
"MIR200",0.0546786296029266,-0.0117339734920404,-0.0117339734920404,0.0692225901616777,0.0692225901616777,0.0692225901616777,-0.0568826963784849,0.0748866895529583,-0.0692225901616777,-0.0692225901616777,-0.0692225901616777,-0.0546786296029266,-0.0546786296029266,-0.0598346634336505
"HA",0.0520832207290208,0.0682001082741734,0.0682001082741734,0.0622008677878443,0.0622008677878443,0.0622008677878443,-0.053691187463666,-0.0211805363399542,-0.0622008677878443,-0.0622008677878443,-0.0622008677878443,-0.0520832207290208,-0.0520832207290208,-0.050350233063492
"CD44s",0.0520832207290208,0.0682001082741734,0.0682001082741734,0.0622008677878443,0.0622008677878443,0.0622008677878443,-0.053691187463666,-0.0211805363399542,-0.0622008677878443,-0.0622008677878443,-0.0622008677878443,-0.0520832207290208,-0.0520832207290208,-0.050350233063492
"CD24",0.0520832207290208,0.0682001082741734,0.0682001082741734,0.0622008677878443,0.0622008677878443,0.0622008677878443,-0.053691187463666,-0.0211805363399542,-0.0622008677878443,-0.0622008677878443,-0.0622008677878443,-0.0520832207290208,-0.0520832207290208,-0.050350233063492
"ZEB1",-0.0622008677878443,-0.0550088640345421,-0.0550088640345421,-0.053691187463666,-0.053691187463666,-0.053691187463666,-0.0392193222491017,0.0393025459093322,0.053691187463666,0.053691187463666,0.053691187463666,0.0622008677878443,0.0622008677878443,0.0638037698179996
"SNAIL1",0.00907246216682253,-0.0571590343237435,-0.0571590343237435,0.0266436196620787,0.0266436196620787,0.0266436196620787,-0.0119690131116746,-0.0314456388505992,-0.0266436196620787,-0.0266436196620787,-0.0266436196620787,-0.00907246216682253,-0.00907246216682253,0.0866639913071189
"MIR190",0.00529723000311236,-0.0518040543591133,-0.0518040543591133,0.0300928703300878,0.0300928703300878,0.0300928703300878,-0.00907246216682253,0.0756928132949474,-0.0300928703300878,-0.0300928703300878,-0.0300928703300878,-0.00529723000311236,-0.00529723000311236,-0.00821817176439405
"TGFB",-0.0300928703300878,0.0842682003825813,0.0842682003825813,-0.00907246216682253,-0.00907246216682253,-0.00907246216682253,0.0266436196620787,-0.0315791461772207,0.00907246216682253,0.00907246216682253,0.00907246216682253,0.0300928703300878,0.0300928703300878,-0.0586608091273257
"MIR34",-0.0300928703300878,0.0842682003825813,0.0842682003825813,-0.00907246216682253,-0.00907246216682253,-0.00907246216682253,0.0266436196620787,-0.0315791461772207,0.00907246216682253,0.00907246216682253,0.00907246216682253,0.0300928703300878,0.0300928703300878,-0.0586608091273257
"MIR340",-0.0520832207290208,-0.0682001082741734,-0.0682001082741734,-0.0622008677878443,-0.0622008677878443,-0.0622008677878443,0.053691187463666,0.0211805363399542,0.0622008677878443,0.0622008677878443,0.0622008677878443,0.0520832207290208,0.0520832207290208,0.050350233063492
"MIR1199",-0.0520832207290208,-0.0682001082741734,-0.0682001082741734,-0.0622008677878443,-0.0622008677878443,-0.0622008677878443,0.053691187463666,0.0211805363399542,0.0622008677878443,0.0622008677878443,0.0622008677878443,0.0520832207290208,0.0520832207290208,0.050350233063492
