"","HA","CD24","MIR340","MIR190","MIR1199","HAS2","ESRP1","TGFB","ZEB1","MIR34","MIR200","SNAIL1","GRHL2","CD44s"
"MIR340",0.187736121006642,0.187736121006642,0.192206709241936,0.192206709241936,0.192206709241936,0.192206709241936,0.192206709241936,0.151820979285515,-0.191621387314876,-0.129194486974401,-0.129194486974401,-0.151291870779409,-0.192206709241936,-0.187736121006642
"MIR1199",0.187736121006642,0.187736121006642,0.192206709241936,0.192206709241936,0.192206709241936,0.192206709241936,0.192206709241936,0.151820979285515,-0.191621387314876,-0.129194486974401,-0.129194486974401,-0.151291870779409,-0.192206709241936,-0.187736121006642
"CD44s",0.187736121006642,0.187736121006642,0.192206709241936,0.192206709241936,0.192206709241936,0.192206709241936,0.192206709241936,0.151820979285515,-0.191621387314876,-0.129194486974401,-0.129194486974401,-0.151291870779409,-0.192206709241936,-0.187736121006642
"CD24",0.187736121006642,0.187736121006642,0.192206709241936,0.192206709241936,0.192206709241936,0.192206709241936,0.192206709241936,0.151820979285515,-0.191621387314876,-0.129194486974401,-0.129194486974401,-0.151291870779409,-0.192206709241936,-0.187736121006642
"MIR200",0.141450368691897,0.141450368691897,0.143833277484009,0.143833277484009,0.143833277484009,0.143833277484009,0.143833277484009,0.111339595785997,-0.143489634872325,-0.192722535771816,-0.192722535771816,-0.019711842047426,-0.143833277484009,-0.141450368691897
"TGFB",0.125801211189895,0.125801211189895,0.125597129557242,0.125597129557242,0.125597129557242,0.125597129557242,0.125597129557242,0.0108140010404826,-0.126697698817204,-0.00138878203419511,-0.00138878203419511,-0.0340012962042745,-0.125597129557242,-0.125801211189895
"MIR190",0.123348895113601,0.123348895113601,0.125801211189895,0.125801211189895,0.125801211189895,0.125801211189895,0.125801211189895,0.109327801465111,-0.125597129557242,-0.00191029442011428,-0.00191029442011428,-0.0342719321988618,-0.125801211189895,-0.123348895113601
"ZEB1",-0.192206709241936,-0.192206709241936,-0.191621387314876,-0.191621387314876,-0.191621387314876,-0.191621387314876,-0.191621387314876,-0.155288385665543,0.0931986743811219,0.128388035361498,0.128388035361498,0.15159091384161,0.191621387314876,0.192206709241936
"SNAIL1",-0.125597129557242,-0.125597129557242,-0.126697698817204,-0.126697698817204,-0.126697698817204,-0.126697698817204,-0.126697698817204,-0.0104162285663378,0.126541736815219,0.00219111609692305,0.00219111609692305,-0.0657457953485834,0.126697698817204,0.125597129557242
"MIR34",-0.125801211189895,-0.125801211189895,-0.125597129557242,-0.125597129557242,-0.125597129557242,-0.125597129557242,-0.125597129557242,-0.0108140010404826,0.126697698817204,0.00138878203419511,0.00138878203419511,0.0340012962042745,0.125597129557242,0.125801211189895
"HA",-0.187736121006642,-0.187736121006642,-0.192206709241936,-0.192206709241936,-0.192206709241936,-0.192206709241936,-0.192206709241936,-0.151820979285515,0.191621387314876,0.129194486974401,0.129194486974401,0.151291870779409,0.192206709241936,0.187736121006642
"HAS2",-0.0887262200165426,-0.188726220016543,-0.187736121006642,-0.187736121006642,-0.187736121006642,-0.187736121006642,-0.187736121006642,-0.153359440823976,0.192206709241936,0.126376512869299,0.126376512869299,0.150092830012023,0.187736121006642,0.188726220016543
"ESRP1",-0.188726220016543,-0.188726220016543,-0.187736121006642,-0.187736121006642,-0.187736121006642,-0.187736121006642,-0.187736121006642,-0.153359440823976,0.192206709241936,0.126376512869299,0.126376512869299,0.150092830012023,0.187736121006642,0.0887262200165426
"GRHL2",-0.319026148806064,-0.419026148806064,-0.322061708216298,-0.322061708216298,-0.322061708216298,-0.322061708216298,-0.322061708216298,-0.273587047595375,0.322875775295425,0.242647868211751,0.242647868211751,0.176917893895841,0.322061708216298,0.319026148806064
