"","MIR340","MIR190","MIR1199","HAS2","GRHL2","CD44s","CD24","MIR200","MIR34","SNAIL1","TGFB","ZEB1","HA","ESRP1"
"GRHL2",0.390020521715734,0.390020521715734,0.390020521715734,0.390020521715734,0.390020521715734,0.382648448862309,0.482648448862309,0.363473933353896,0.302337100085528,0.132609108605962,0.0168406984827311,-0.395393364437975,-0.382648448862309,-0.390020521715734
"MIR340",0.27947358314871,0.27947358314871,0.27947358314871,0.27947358314871,0.27947358314871,0.273355936089887,0.273355936089887,0.24042988062878,0.202800948558468,0.109042393594726,0.00923842717818507,-0.284561381437769,-0.273355936089887,-0.27947358314871
"CD44s",0.27947358314871,0.27947358314871,0.27947358314871,0.27947358314871,0.27947358314871,0.273355936089887,0.273355936089887,0.24042988062878,0.202800948558468,0.109042393594726,0.00923842717818507,-0.284561381437769,-0.273355936089887,-0.27947358314871
"CD24",0.27947358314871,0.27947358314871,0.27947358314871,0.27947358314871,0.27947358314871,0.273355936089887,0.273355936089887,0.24042988062878,0.202800948558468,0.109042393594726,0.00923842717818507,-0.284561381437769,-0.273355936089887,-0.27947358314871
"HAS2",0.273355936089887,0.273355936089887,0.273355936089887,0.273355936089887,0.273355936089887,0.262464846980976,0.262464846980976,0.235479385579275,0.199830651528765,0.10784335282734,0.0084691964089543,-0.27947358314871,-0.362464846980976,-0.273355936089887
"MIR200",0.231005933544441,0.231005933544441,0.231005933544441,0.231005933544441,0.231005933544441,0.227308316453234,0.227308316453234,0.280922038276605,0.0774806769093195,0.111747306785312,0.200225704981337,-0.234473599898706,-0.227308316453234,-0.231005933544441
"MIR190",0.04650741919535,0.04650741919535,0.04650741919535,0.04650741919535,0.04650741919535,0.0446000622471211,0.0446000622471211,-0.0284122383252818,0.08305078232777,-0.0104687047784429,-0.170332186287547,-0.046711500828003,-0.0446000622471211,-0.04650741919535
"TGFB",-0.046711500828003,-0.046711500828003,-0.046711500828003,-0.046711500828003,-0.046711500828003,-0.04650741919535,-0.04650741919535,0.0273692135534435,-0.0822685137488912,0.0112806127622048,0.0703321862875475,0.0472807607900523,0.04650741919535,0.046711500828003
"MIR34",-0.046711500828003,-0.046711500828003,-0.046711500828003,-0.046711500828003,-0.046711500828003,-0.04650741919535,-0.04650741919535,0.0273692135534435,-0.0822685137488912,0.0112806127622048,0.0703321862875475,0.0472807607900523,0.04650741919535,0.046711500828003
"SNAIL1",-0.0472807607900523,-0.0472807607900523,-0.0472807607900523,-0.0472807607900523,-0.0472807607900523,-0.046711500828003,-0.046711500828003,0.0272962740931955,-0.0829249688911232,-0.0887193872377952,0.0697753048237448,0.0480038573447099,0.046711500828003,0.0472807607900523
"ZEB1",-0.284561381437769,-0.284561381437769,-0.284561381437769,-0.284561381437769,-0.284561381437769,-0.27947358314871,-0.27947358314871,-0.24411651657348,-0.205623529203629,-0.109939522781329,-0.00983944428405655,0.187898588809511,0.27947358314871,0.284561381437769
"ESRP1",-0.273355936089887,-0.273355936089887,-0.273355936089887,-0.273355936089887,-0.273355936089887,-0.362464846980976,-0.262464846980976,-0.235479385579275,-0.199830651528765,-0.10784335282734,-0.0084691964089543,0.27947358314871,0.262464846980976,0.273355936089887
"MIR1199",-0.27947358314871,-0.27947358314871,-0.27947358314871,-0.27947358314871,-0.27947358314871,-0.273355936089887,-0.273355936089887,-0.24042988062878,-0.202800948558468,-0.109042393594726,-0.00923842717818507,0.284561381437769,0.273355936089887,0.27947358314871
"HA",-0.27947358314871,-0.27947358314871,-0.27947358314871,-0.27947358314871,-0.27947358314871,-0.273355936089887,-0.273355936089887,-0.24042988062878,-0.202800948558468,-0.109042393594726,-0.00923842717818507,0.284561381437769,0.273355936089887,0.27947358314871
