"","MIR34","MIR200","HA","CD44s","CD24","ZEB1","TGFB","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","SNAIL1"
"MIR200",-0.00525674107732729,-0.00525674107732729,0.116158524164292,0.116158524164292,0.116158524164292,-0.113684512987115,0.00696341122944271,-0.115090323671276,-0.115090323671276,-0.115090323671276,-0.115090323671276,-0.115090323671276,-0.115090323671276,0.125081081681607
"MIR190",-0.168996503478963,-0.168996503478963,0.0975225645813881,0.0975225645813881,0.0975225645813881,-0.099290901343886,0.0778981756945111,-0.0972500850173554,-0.0972500850173554,-0.0972500850173554,-0.0972500850173554,-0.0972500850173554,-0.0972500850173554,0.344359639317255
"MIR340",0.130665173602284,0.130665173602284,0.102608161560573,0.102608161560573,0.102608161560573,-0.0982697872193912,-0.0235141113011361,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.149164714021376
"MIR1199",0.130665173602284,0.130665173602284,0.102608161560573,0.102608161560573,0.102608161560573,-0.0982697872193912,-0.0235141113011361,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.149164714021376
"HA",0.130665173602284,0.130665173602284,0.102608161560573,0.102608161560573,0.102608161560573,-0.0982697872193912,-0.0235141113011361,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.149164714021376
"CD44s",0.130665173602284,0.130665173602284,0.102608161560573,0.102608161560573,0.102608161560573,-0.0982697872193912,-0.0235141113011361,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.149164714021376
"CD24",0.130665173602284,0.130665173602284,0.102608161560573,0.102608161560573,0.102608161560573,-0.0982697872193912,-0.0235141113011361,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.149164714021376
"SNAIL1",-0.168318176008365,-0.168318176008365,0.099290901343886,0.099290901343886,0.099290901343886,-0.0981595163383533,0.177844970459116,-0.09879754271011,-0.09879754271011,-0.09879754271011,-0.09879754271011,-0.09879754271011,-0.09879754271011,0.244191467177978
"ZEB1",-0.129282685123021,-0.129282685123021,-0.101196396854691,-0.101196396854691,-0.101196396854691,-0.000318955931862365,0.023375415045935,0.0982697872193912,0.0982697872193912,0.0982697872193912,0.0982697872193912,0.0982697872193912,0.0982697872193912,0.149284331246256
"GRHL2",0.00868238506238102,0.00868238506238102,-0.00337312714758222,-0.00337312714758222,-0.103373127147582,0.00848142984102164,-0.010834308243123,0.00675560763327172,0.00675560763327172,0.00675560763327172,0.00675560763327172,0.00675560763327172,0.00675560763327172,-0.0986636555455219
"TGFB",0.167953478707125,0.167953478707125,-0.0972500850173554,-0.0972500850173554,-0.0972500850173554,0.09879754271011,-0.177685861469458,0.099290901343886,0.099290901343886,0.099290901343886,0.099290901343886,0.099290901343886,0.099290901343886,-0.344494957314548
"MIR34",0.167953478707125,0.167953478707125,-0.0972500850173554,-0.0972500850173554,-0.0972500850173554,0.09879754271011,-0.177685861469458,0.099290901343886,0.099290901343886,0.099290901343886,0.099290901343886,0.099290901343886,0.099290901343886,-0.344494957314548
"HAS2",-0.131807595536785,-0.131807595536785,-0.193697270471464,-0.093697270471464,-0.093697270471464,0.101196396854691,0.0237705215575463,0.102608161560573,0.102608161560573,0.102608161560573,0.102608161560573,0.102608161560573,0.102608161560573,0.147805801151671
"ESRP1",-0.131807595536785,-0.131807595536785,-0.093697270471464,-0.193697270471464,-0.093697270471464,0.101196396854691,0.0237705215575463,0.102608161560573,0.102608161560573,0.102608161560573,0.102608161560573,0.102608161560573,0.102608161560573,0.147805801151671
