"","MIR200","MIR190","MIR1199","HAS2","ESRP1","CD24","ZEB1","SNAIL1","TGFB","HA","CD44s","MIR340","GRHL2","MIR34"
"MIR1199",0.0894657675449095,0.0893671729163867,0.0893671729163867,0.0893671729163867,0.0893671729163867,0.0884259964457984,-0.0895922967344866,-0.0382895420037376,-0.0868155515228525,-0.0884259964457984,-0.0884259964457984,-0.0893671729163867,-0.0893671729163867,-0.0955503600267943
"HA",0.0894657675449095,0.0893671729163867,0.0893671729163867,0.0893671729163867,0.0893671729163867,0.0884259964457984,-0.0895922967344866,-0.0382895420037376,-0.0868155515228525,-0.0884259964457984,-0.0884259964457984,-0.0893671729163867,-0.0893671729163867,-0.0955503600267943
"CD44s",0.0894657675449095,0.0893671729163867,0.0893671729163867,0.0893671729163867,0.0893671729163867,0.0884259964457984,-0.0895922967344866,-0.0382895420037376,-0.0868155515228525,-0.0884259964457984,-0.0884259964457984,-0.0893671729163867,-0.0893671729163867,-0.0955503600267943
"CD24",0.0894657675449095,0.0893671729163867,0.0893671729163867,0.0893671729163867,0.0893671729163867,0.0884259964457984,-0.0895922967344866,-0.0382895420037376,-0.0868155515228525,-0.0884259964457984,-0.0884259964457984,-0.0893671729163867,-0.0893671729163867,-0.0955503600267943
"TGFB",0.160668508746751,0.0725934091468861,0.0725934091468861,0.0725934091468861,0.0725934091468861,0.0713689193509678,-0.0729349651241157,-0.14396418271014,-0.16337547162787,-0.0713689193509678,-0.0713689193509678,-0.0725934091468861,-0.0725934091468861,0.0931420169484527
"ZEB1",-0.0898689933513611,-0.0895922967344866,-0.0895922967344866,-0.0895922967344866,-0.0895922967344866,-0.0893671729163867,-0.0104907183742632,0.038110116166417,0.0880638178196625,0.0893671729163867,0.0893671729163867,0.0895922967344866,0.0895922967344866,0.0954351526535225
"GRHL2",-0.0012745108249315,-0.00488869368984936,-0.00488869368984936,-0.00488869368984936,-0.00488869368984936,-0.105322345034169,0.00498638173934464,-0.0456803459363431,0.00411217220554013,0.00532234503416853,0.00532234503416853,0.00488869368984936,0.00488869368984936,0.00569398473012931
"MIR190",-0.158582459203074,-0.0713689193509678,-0.0713689193509678,-0.0713689193509678,-0.0713689193509678,-0.0694615624027389,0.0725934091468861,0.143016956729085,0.0608277009272334,0.0694615624027389,0.0694615624027389,0.0713689193509678,0.0713689193509678,-0.0926205045625335
"SNAIL1",-0.161227711275319,-0.0729349651241157,-0.0729349651241157,-0.0729349651241157,-0.0729349651241157,-0.0725934091468861,0.0727506463944971,0.0435089475052845,0.165125670514107,0.0725934091468861,0.0725934091468861,0.0729349651241157,0.0729349651241157,-0.0932635827155327
"MIR34",-0.160668508746751,-0.0725934091468861,-0.0725934091468861,-0.0725934091468861,-0.0725934091468861,-0.0713689193509678,0.0729349651241157,0.14396418271014,0.16337547162787,0.0713689193509678,0.0713689193509678,0.0725934091468861,0.0725934091468861,-0.0931420169484527
"HAS2",-0.0880186997612081,-0.0884259964457984,-0.0884259964457984,-0.0884259964457984,-0.0884259964457984,-0.0874358974358974,0.0893671729163867,0.0375701175433059,0.0852770899843909,-0.0125641025641026,0.0874358974358974,0.0884259964457984,0.0884259964457984,0.0957788444136946
"ESRP1",-0.0880186997612081,-0.0884259964457984,-0.0884259964457984,-0.0884259964457984,-0.0884259964457984,-0.0874358974358974,0.0893671729163867,0.0375701175433059,0.0852770899843909,0.0874358974358974,-0.0125641025641026,0.0884259964457984,0.0884259964457984,0.0957788444136946
"MIR340",-0.0894657675449095,-0.0893671729163867,-0.0893671729163867,-0.0893671729163867,-0.0893671729163867,-0.0884259964457984,0.0895922967344866,0.0382895420037376,0.0868155515228525,0.0884259964457984,0.0884259964457984,0.0893671729163867,0.0893671729163867,0.0955503600267943
"MIR200",-0.20960241524873,-0.104057226319401,-0.104057226319401,-0.104057226319401,-0.104057226319401,-0.102824687288999,0.10458831035564,0.142383170016825,0.104863683982674,0.102824687288999,0.102824687288999,0.104057226319401,0.104057226319401,-0.00197468009751367
