"","MIR34","MIR200","TGFB","MIR340","HAS2","GRHL2","ESRP1","ZEB1","SNAIL1","MIR190","MIR1199","HA","CD44s","CD24"
"GRHL2",0.20518853115205,0.20518853115205,0.208428701383664,0.212592352755744,0.212592352755744,0.212592352755744,0.212592352755744,-0.212559790072579,-0.0492020364765406,-0.212592352755744,-0.212592352755744,-0.21181178033597,-0.21181178033597,-0.31181178033597
"MIR200",0.215193493677593,0.215193493677593,0.321846251047085,0.128412325699368,0.128412325699368,0.128412325699368,0.128412325699368,-0.128381085461942,0.0508076036948349,-0.128412325699368,-0.128412325699368,-0.128165817893287,-0.128165817893287,-0.128165817893287
"ESRP1",0.12243353144574,0.12243353144574,0.119363652603202,0.110988461128991,0.110988461128991,0.110988461128991,0.110988461128991,-0.111459049364285,-0.0263302679627994,-0.110988461128991,-0.110988461128991,-0.10933829611249,-0.20933829611249,-0.10933829611249
"MIR1199",0.122814338757241,0.122814338757241,0.120389293628843,0.111459049364285,0.111459049364285,0.111459049364285,0.111459049364285,-0.111233925546185,-0.0268898203209129,-0.111459049364285,-0.111459049364285,-0.110988461128991,-0.110988461128991,-0.110988461128991
"HA",0.122814338757241,0.122814338757241,0.120389293628843,0.111459049364285,0.111459049364285,0.111459049364285,0.111459049364285,-0.111233925546185,-0.0268898203209129,-0.111459049364285,-0.111459049364285,-0.110988461128991,-0.110988461128991,-0.110988461128991
"TGFB",0.107162397099747,0.107162397099747,0.13691062398074,0.098181124099655,0.098181124099655,0.098181124099655,0.098181124099655,-0.0983708774203381,0.0184105570437168,-0.098181124099655,-0.098181124099655,-0.0977729608343489,-0.0977729608343489,-0.0977729608343489
"SNAIL1",0.107040831332667,0.107040831332667,0.137228841960056,0.0983708774203381,0.0983708774203381,0.0983708774203381,0.0983708774203381,-0.0982149154183532,-0.0813365345091411,-0.0983708774203381,-0.0983708774203381,-0.098181124099655,-0.098181124099655,-0.098181124099655
"ZEB1",-0.122468716637425,-0.122468716637425,-0.120805382394447,-0.111233925546185,-0.111233925546185,-0.111233925546185,-0.111233925546185,0.0112173225244355,0.026590777258712,0.111233925546185,0.111233925546185,0.111459049364285,0.111459049364285,0.111459049364285
"MIR190",-0.106901640906788,-0.106901640906788,-0.236485995530634,-0.0977729608343489,-0.0977729608343489,-0.0977729608343489,-0.0977729608343489,0.098181124099655,-0.019087147030185,0.0977729608343489,0.0977729608343489,0.0980454403983816,0.0980454403983816,0.0980454403983816
"MIR34",-0.107162397099747,-0.107162397099747,-0.13691062398074,-0.098181124099655,-0.098181124099655,-0.098181124099655,-0.098181124099655,0.0983708774203381,-0.0184105570437168,0.098181124099655,0.098181124099655,0.0977729608343489,0.0977729608343489,0.0977729608343489
"MIR340",-0.122814338757241,-0.122814338757241,-0.120389293628843,-0.111459049364285,-0.111459049364285,-0.111459049364285,-0.111459049364285,0.111233925546185,0.0268898203209129,0.111459049364285,0.111459049364285,0.110988461128991,0.110988461128991,0.110988461128991
"CD44s",-0.122814338757241,-0.122814338757241,-0.120389293628843,-0.111459049364285,-0.111459049364285,-0.111459049364285,-0.111459049364285,0.111233925546185,0.0268898203209129,0.111459049364285,0.111459049364285,0.110988461128991,0.110988461128991,0.110988461128991
"CD24",-0.122814338757241,-0.122814338757241,-0.120389293628843,-0.111459049364285,-0.111459049364285,-0.111459049364285,-0.111459049364285,0.111233925546185,0.0268898203209129,0.111459049364285,0.111459049364285,0.110988461128991,0.110988461128991,0.110988461128991
"HAS2",-0.12243353144574,-0.12243353144574,-0.119363652603202,-0.110988461128991,-0.110988461128991,-0.110988461128991,-0.110988461128991,0.111459049364285,0.0263302679627994,0.110988461128991,0.110988461128991,0.00933829611248966,0.10933829611249,0.10933829611249
