"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","HA","CD44s","MIR34","SNAIL1","TGFB","MIR200","ZEB1","CD24","HAS2"
"GRHL2",0.747359817761327,0.747359817761327,0.747359817761327,0.747359817761327,0.747359817761327,0.693153399721431,0.693153399721431,0.52870740034236,0.185843917480686,0.024485017065545,-0.620660029916461,-0.79578052762782,-0.793153399721431,-0.747359817761327
"MIR340",0.636824120012352,0.636824120012352,0.636824120012352,0.636824120012352,0.636824120012352,0.585059414129999,0.585059414129999,0.424644483011314,0.165187933918046,0.0163284714570888,-0.492491362294991,-0.683965047522482,-0.585059414129999,-0.636824120012352
"MIR1199",0.636824120012352,0.636824120012352,0.636824120012352,0.636824120012352,0.636824120012352,0.585059414129999,0.585059414129999,0.424644483011314,0.165187933918046,0.0163284714570888,-0.492491362294991,-0.683965047522482,-0.585059414129999,-0.636824120012352
"HA",0.636824120012352,0.636824120012352,0.636824120012352,0.636824120012352,0.636824120012352,0.585059414129999,0.585059414129999,0.424644483011314,0.165187933918046,0.0163284714570888,-0.492491362294991,-0.683965047522482,-0.585059414129999,-0.636824120012352
"CD44s",0.636824120012352,0.636824120012352,0.636824120012352,0.636824120012352,0.636824120012352,0.585059414129999,0.585059414129999,0.424644483011314,0.165187933918046,0.0163284714570888,-0.492491362294991,-0.683965047522482,-0.585059414129999,-0.636824120012352
"ESRP1",0.585059414129999,0.585059414129999,0.585059414129999,0.585059414129999,0.585059414129999,0.524003308519438,0.624003308519438,0.395169997101185,0.156794648546343,0.014533599662217,-0.454943761381053,-0.636824120012352,-0.524003308519438,-0.585059414129999
"SNAIL1",0.259103738650539,0.259103738650539,0.259103738650539,0.259103738650539,0.259103738650539,0.244948140927579,0.244948140927579,0.0830776998293618,-0.0595643067716825,0.0753499616169125,-0.212963076647445,-0.271708304083688,-0.244948140927579,-0.259103738650539
"MIR34",0.244948140927579,0.244948140927579,0.244948140927579,0.244948140927579,0.244948140927579,0.228825691947987,0.228825691947987,0.0750300460486665,0.0381089355146099,0.0747930801531098,-0.202873117979806,-0.259103738650539,-0.228825691947987,-0.244948140927579
"MIR190",0.228825691947987,0.228825691947987,0.228825691947987,0.228825691947987,0.228825691947987,0.210569561157796,0.210569561157796,0.0656428231021215,0.0352672575714435,-0.0262684909721556,-0.191660601682544,-0.244948140927579,-0.210569561157796,-0.228825691947987
"TGFB",-0.244948140927579,-0.244948140927579,-0.244948140927579,-0.244948140927579,-0.244948140927579,-0.228825691947987,-0.228825691947987,-0.0750300460486665,-0.0381089355146099,-0.0747930801531098,0.202873117979806,0.259103738650539,0.228825691947987,0.244948140927579
"MIR200",-0.42719114673657,-0.42719114673657,-0.42719114673657,-0.42719114673657,-0.42719114673657,-0.396542009513891,-0.396542009513891,-0.373130934794126,-0.0314931169862645,-0.0188964571135431,0.243618676532333,0.45496371780811,0.396542009513891,0.42719114673657
"ZEB1",-0.683965047522482,-0.683965047522482,-0.683965047522482,-0.683965047522482,-0.683965047522482,-0.636824120012352,-0.636824120012352,-0.451775819416844,-0.173202287985031,-0.0187787719656418,0.525671085797295,0.625024320310129,0.636824120012352,0.683965047522482
"HAS2",-0.585059414129999,-0.585059414129999,-0.585059414129999,-0.585059414129999,-0.585059414129999,-0.624003308519438,-0.524003308519438,-0.395169997101185,-0.156794648546343,-0.014533599662217,0.454943761381053,0.636824120012352,0.524003308519438,0.585059414129999
"CD24",-0.636824120012352,-0.636824120012352,-0.636824120012352,-0.636824120012352,-0.636824120012352,-0.585059414129999,-0.585059414129999,-0.424644483011314,-0.165187933918046,-0.0163284714570888,0.492491362294991,0.683965047522482,0.585059414129999,0.636824120012352
