"","MIR34","HA","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","ZEB1","TGFB","CD44s","MIR200","SNAIL1"
"TGFB",-0.0955356299005222,0.21359840091047,0.21359840091047,0.212986156012511,0.212986156012511,0.212986156012511,0.212986156012511,0.212986156012511,0.212986156012511,-0.213024106676648,-0.168918131517225,-0.21359840091047,0.0955356299005222,0.305432899106019
"SNAIL1",-0.0954626904402742,0.212986156012511,0.212986156012511,0.213024106676648,0.213024106676648,0.213024106676648,0.213024106676648,0.213024106676648,0.213024106676648,-0.212981571585197,-0.168679468032738,-0.212986156012511,0.0954626904402742,0.205534062484876
"HAS2",0.0961106066211505,0.149081885856079,0.0490818858560794,0.0513921168791817,0.0513921168791817,0.0513921168791817,0.0513921168791817,0.0513921168791817,0.0513921168791817,-0.0520979992321229,0.0205235636103803,-0.0490818858560794,-0.0961106066211505,-0.132691296026367
"MIR1199",0.0961867680834505,0.0513921168791817,0.0513921168791817,0.0520979992321229,0.0520979992321229,0.0520979992321229,0.0520979992321229,0.0520979992321229,0.0520979992321229,-0.051602726832303,0.0202671533539701,-0.0513921168791817,-0.0961867680834505,-0.132611359975208
"HA",0.0961867680834505,0.0513921168791817,0.0513921168791817,0.0520979992321229,0.0520979992321229,0.0520979992321229,0.0520979992321229,0.0520979992321229,0.0520979992321229,-0.051602726832303,0.0202671533539701,-0.0513921168791817,-0.0961867680834505,-0.132611359975208
"CD44s",0.0961867680834505,0.0513921168791817,0.0513921168791817,0.0520979992321229,0.0520979992321229,0.0520979992321229,0.0520979992321229,0.0520979992321229,0.0520979992321229,-0.051602726832303,0.0202671533539701,-0.0513921168791817,-0.0961867680834505,-0.132611359975208
"CD24",0.0961867680834505,0.0513921168791817,0.0513921168791817,0.0520979992321229,0.0520979992321229,0.0520979992321229,0.0520979992321229,0.0520979992321229,0.0520979992321229,-0.051602726832303,0.0202671533539701,-0.0513921168791817,-0.0961867680834505,-0.132611359975208
"ZEB1",-0.0958411459636349,-0.0520979992321229,-0.0520979992321229,-0.051602726832303,-0.051602726832303,-0.051602726832303,-0.051602726832303,-0.051602726832303,-0.051602726832303,-0.0483806701459471,-0.0200359929286349,0.0520979992321229,0.0958411459636349,0.132671168587648
"GRHL2",0.00498934038073838,0.0231786274581905,0.12317862745819,0.0232653577270543,0.0232653577270543,0.0232653577270543,0.0232653577270543,0.0232653577270543,0.0232653577270543,-0.0238189233408609,-0.00938334952223625,-0.0231786274581905,-0.00498934038073838,0.0905551080265271
"MIR200",0.194880667987691,0.00407655363675552,0.00407655363675552,0.00514475412977113,0.00514475412977113,0.00514475412977113,0.00514475412977113,0.00514475412977113,0.00514475412977113,-0.00498855294264211,0.0351376593730375,-0.00407655363675552,-0.194880667987691,-0.262613598393479
"MIR340",-0.0961867680834505,-0.0513921168791817,-0.0513921168791817,-0.0520979992321229,-0.0520979992321229,-0.0520979992321229,-0.0520979992321229,-0.0520979992321229,-0.0520979992321229,0.051602726832303,-0.0202671533539701,0.0513921168791817,0.0961867680834505,0.132611359975208
"ESRP1",-0.0961106066211505,-0.0490818858560794,-0.0490818858560794,-0.0513921168791817,-0.0513921168791817,-0.0513921168791817,-0.0513921168791817,-0.0513921168791817,-0.0513921168791817,0.0520979992321229,-0.0205235636103803,-0.0509181141439206,0.0961106066211505,0.132691296026367
"MIR190",0.0955356299005222,-0.215505757858699,-0.215505757858699,-0.21359840091047,-0.21359840091047,-0.21359840091047,-0.21359840091047,-0.21359840091047,-0.21359840091047,0.212986156012511,0.0695550741923838,0.215505757858699,-0.0955356299005222,-0.305568217103313
"MIR34",0.0955356299005222,-0.21359840091047,-0.21359840091047,-0.212986156012511,-0.212986156012511,-0.212986156012511,-0.212986156012511,-0.212986156012511,-0.212986156012511,0.213024106676648,0.168918131517225,0.21359840091047,-0.0955356299005222,-0.305432899106019
