"","MIR340","MIR190","HAS2","GRHL2","ESRP1","HA","MIR34","MIR200","TGFB","ZEB1","SNAIL1","CD44s","CD24","MIR1199"
"GRHL2",0.322825015828453,0.322825015828453,0.322825015828453,0.322825015828453,0.322825015828453,0.319962916955947,0.261586568263354,0.261586568263354,-0.014957410978912,-0.323899584372901,-0.121288028808293,-0.319962916955947,-0.419962916955947,-0.322825015828453
"MIR340",0.192820958902196,0.192820958902196,0.192820958902196,0.192820958902196,0.192820958902196,0.189056253019843,0.154942478526615,0.154942478526615,-0.00689508865553882,-0.192865983665816,-0.0975273691610714,-0.189056253019843,-0.189056253019843,-0.192820958902196
"HA",0.192820958902196,0.192820958902196,0.192820958902196,0.192820958902196,0.192820958902196,0.189056253019843,0.154942478526615,0.154942478526615,-0.00689508865553882,-0.192865983665816,-0.0975273691610714,-0.189056253019843,-0.189056253019843,-0.192820958902196
"CD44s",0.192820958902196,0.192820958902196,0.192820958902196,0.192820958902196,0.192820958902196,0.189056253019843,0.154942478526615,0.154942478526615,-0.00689508865553882,-0.192865983665816,-0.0975273691610714,-0.189056253019843,-0.189056253019843,-0.192820958902196
"HAS2",0.189056253019843,0.189056253019843,0.189056253019843,0.189056253019843,0.189056253019843,0.288726220016543,0.153495410742914,0.153495410742914,-0.00715149891194907,-0.192820958902196,-0.0980869215191849,-0.188726220016543,-0.188726220016543,-0.189056253019843
"TGFB",0.0359710581174644,0.0359710581174644,0.0359710581174644,0.0359710581174644,0.0359710581174644,0.038011874443995,0.0766281146311909,0.0766281146311909,0.070268309514967,-0.0371475287056997,0.0125074927784285,-0.038011874443995,-0.038011874443995,-0.0359710581174644
"SNAIL1",0.0371475287056997,0.0371475287056997,0.0371475287056997,0.0371475287056997,0.0371475287056997,0.0359710581174644,0.0773331960802548,0.0773331960802548,0.070268309514967,-0.0367647128826456,-0.0870878537061441,-0.0359710581174644,-0.0359710581174644,-0.0371475287056997
"MIR190",-0.038011874443995,-0.038011874443995,-0.038011874443995,-0.038011874443995,-0.038011874443995,-0.0339246809835045,-0.0779318955959888,-0.0779318955959888,-0.170905252190126,0.0359710581174644,-0.0126428107757222,0.0339246809835045,0.0339246809835045,0.038011874443995
"MIR34",-0.0359710581174644,-0.0359710581174644,-0.0359710581174644,-0.0359710581174644,-0.0359710581174644,-0.038011874443995,-0.0766281146311909,-0.0766281146311909,-0.070268309514967,0.0371475287056997,-0.0125074927784285,0.038011874443995,0.038011874443995,0.0359710581174644
"ZEB1",-0.192865983665816,-0.192865983665816,-0.192865983665816,-0.192865983665816,-0.192865983665816,-0.192820958902196,-0.155172893273159,-0.155172893273159,0.00749610576141029,0.0942772405145623,0.0982450725103537,0.192820958902196,0.192820958902196,0.192865983665816
"MIR200",-0.175251285276559,-0.175251285276559,-0.175251285276559,-0.175251285276559,-0.175251285276559,-0.17385440770877,-0.047785701133183,-0.047785701133183,0.19881239516109,0.175907330262501,0.104633346286356,0.17385440770877,0.17385440770877,0.175251285276559
"ESRP1",-0.189056253019843,-0.189056253019843,-0.189056253019843,-0.189056253019843,-0.189056253019843,-0.188726220016543,-0.153495410742914,-0.153495410742914,0.00715149891194907,0.192820958902196,0.0980869215191849,0.0887262200165426,0.188726220016543,0.189056253019843
"MIR1199",-0.192820958902196,-0.192820958902196,-0.192820958902196,-0.192820958902196,-0.192820958902196,-0.189056253019843,-0.154942478526615,-0.154942478526615,0.00689508865553882,0.192865983665816,0.0975273691610714,0.189056253019843,0.189056253019843,0.192820958902196
"CD24",-0.192820958902196,-0.192820958902196,-0.192820958902196,-0.192820958902196,-0.192820958902196,-0.189056253019843,-0.154942478526615,-0.154942478526615,0.00689508865553882,0.192865983665816,0.0975273691610714,0.189056253019843,0.189056253019843,0.192820958902196
