"","HAS2","GRHL2","ESRP1","CD44s","TGFB","ZEB1","SNAIL1","MIR200","HA","CD24","MIR340","MIR190","MIR1199","MIR34"
"MIR340",0.0599768307293435,0.0599768307293435,0.0599768307293435,0.0613885954352259,0.0533587199635999,-0.0609223507653634,0.0177650189586704,-0.051044120669949,-0.0613885954352259,-0.0613885954352259,-0.0599768307293435,-0.0599768307293435,-0.0599768307293435,-0.0814516753842695
"HA",0.0599768307293435,0.0599768307293435,0.0599768307293435,0.0613885954352259,0.0533587199635999,-0.0609223507653634,0.0177650189586704,-0.051044120669949,-0.0613885954352259,-0.0613885954352259,-0.0599768307293435,-0.0599768307293435,-0.0599768307293435,-0.0814516753842695
"CD44s",0.0599768307293435,0.0599768307293435,0.0599768307293435,0.0613885954352259,0.0533587199635999,-0.0609223507653634,0.0177650189586704,-0.051044120669949,-0.0613885954352259,-0.0613885954352259,-0.0599768307293435,-0.0599768307293435,-0.0599768307293435,-0.0814516753842695
"CD24",0.0599768307293435,0.0599768307293435,0.0599768307293435,0.0613885954352259,0.0533587199635999,-0.0609223507653634,0.0177650189586704,-0.051044120669949,-0.0613885954352259,-0.0613885954352259,-0.0599768307293435,-0.0599768307293435,-0.0599768307293435,-0.0814516753842695
"ESRP1",0.0613885954352259,0.0613885954352259,0.0613885954352259,0.167659222497932,0.0579741045789845,-0.0599768307293435,0.019443676033011,-0.0526435113782506,-0.0676592224979322,-0.0676592224979322,-0.0613885954352259,-0.0613885954352259,-0.0613885954352259,-0.0816801597711698
"MIR200",0.056559733899997,0.056559733899997,0.056559733899997,0.0579566114677867,0.0545406991111368,-0.0565284936625712,0.0544128161807455,-0.151362232004873,-0.0579566114677867,-0.0579566114677867,-0.056559733899997,-0.056559733899997,-0.056559733899997,0.00464293201356733
"ZEB1",-0.0609223507653634,-0.0609223507653634,-0.0609223507653634,-0.0599768307293435,-0.0518330611563877,-0.0385629555603879,-0.0193798514945556,0.051044120669949,0.0599768307293435,0.0599768307293435,0.0609223507653634,0.0609223507653634,0.0609223507653634,0.0826613528036244
"SNAIL1",0.0057671206538928,0.0057671206538928,0.0057671206538928,0.00459065006565751,0.0714457445844415,-0.00617829320458045,-0.0950875883550874,-0.0554005376407001,-0.00459065006565751,-0.00459065006565751,-0.0057671206538928,-0.0057671206538928,-0.0057671206538928,0.0481659681709584
"MIR190",0.00683554802484118,0.00683554802484118,0.00683554802484118,0.00819794584500467,-0.0246540583028292,-0.00459065006565751,0.00553841994195237,-0.0556722299978429,-0.00819794584500467,-0.00819794584500467,-0.00683554802484118,-0.00683554802484118,-0.00683554802484118,0.0470767579173376
"TGFB",-0.00459065006565751,-0.00459065006565751,-0.00459065006565751,-0.00683554802484118,-0.0727981709965338,0.0057671206538928,-0.00486182995548417,0.0548899614189641,0.00683554802484118,0.00683554802484118,0.00459065006565751,0.00459065006565751,0.00459065006565751,-0.0491628074610143
"MIR34",-0.00459065006565751,-0.00459065006565751,-0.00459065006565751,-0.00683554802484118,-0.0727981709965338,0.0057671206538928,-0.00486182995548417,0.0548899614189641,0.00683554802484118,0.00683554802484118,0.00459065006565751,0.00459065006565751,0.00459065006565751,-0.0491628074610143
"HAS2",-0.0613885954352259,-0.0613885954352259,-0.0613885954352259,-0.0676592224979322,-0.0579741045789845,0.0599768307293435,-0.019443676033011,0.0526435113782506,-0.0323407775020678,0.0676592224979322,0.0613885954352259,0.0613885954352259,0.0613885954352259,0.0816801597711698
"MIR1199",-0.0599768307293435,-0.0599768307293435,-0.0599768307293435,-0.0613885954352259,-0.0533587199635999,0.0609223507653634,-0.0177650189586704,0.051044120669949,0.0613885954352259,0.0613885954352259,0.0599768307293435,0.0599768307293435,0.0599768307293435,0.0814516753842695
"GRHL2",-0.134489907706957,-0.134489907706957,-0.134489907706957,-0.137178546041736,-0.145827062568569,0.134782971855443,-0.0416544148468847,0.151551811420277,0.137178546041736,0.0371785460417357,0.134489907706957,0.134489907706957,0.134489907706957,0.14752451643396
