"","MIR200","MIR340","MIR190","MIR1199","HAS2","ESRP1","HA","CD44s","MIR34","ZEB1","CD24","TGFB","GRHL2","SNAIL1"
"MIR340",0.498304718935261,0.465550089529461,0.465550089529461,0.465550089529461,0.465550089529461,0.465550089529461,0.438491266000049,0.438491266000049,0.205426960644376,-0.486666703667237,-0.438491266000049,-0.458400480264959,-0.465550089529461,-0.471698207723493
"MIR1199",0.498304718935261,0.465550089529461,0.465550089529461,0.465550089529461,0.465550089529461,0.465550089529461,0.438491266000049,0.438491266000049,0.205426960644376,-0.486666703667237,-0.438491266000049,-0.458400480264959,-0.465550089529461,-0.471698207723493
"HA",0.498304718935261,0.465550089529461,0.465550089529461,0.465550089529461,0.465550089529461,0.465550089529461,0.438491266000049,0.438491266000049,0.205426960644376,-0.486666703667237,-0.438491266000049,-0.458400480264959,-0.465550089529461,-0.471698207723493
"CD44s",0.498304718935261,0.465550089529461,0.465550089529461,0.465550089529461,0.465550089529461,0.465550089529461,0.438491266000049,0.438491266000049,0.205426960644376,-0.486666703667237,-0.438491266000049,-0.458400480264959,-0.465550089529461,-0.471698207723493
"HAS2",0.470201139346533,0.438491266000049,0.438491266000049,0.438491266000049,0.438491266000049,0.438491266000049,0.507138130686518,0.407138130686518,0.198496267575069,-0.465550089529461,-0.407138130686518,-0.425579967444446,-0.438491266000049,-0.447317712119976
"ESRP1",0.470201139346533,0.438491266000049,0.438491266000049,0.438491266000049,0.438491266000049,0.438491266000049,0.407138130686518,0.507138130686518,0.198496267575069,-0.465550089529461,-0.407138130686518,-0.425579967444446,-0.438491266000049,-0.447317712119976
"MIR200",0.446821175026929,0.318591785547521,0.318591785547521,0.318591785547521,0.318591785547521,0.318591785547521,0.303226132301835,0.303226132301835,0.0375685338861356,-0.330744237906159,-0.303226132301835,-0.520241479366202,-0.318591785547521,-0.411460138940089
"SNAIL1",0.00504048345087047,0.213624653283422,0.213624653283422,0.213624653283422,0.213624653283422,0.213624653283422,0.206527879089874,0.206527879089874,0.233951924133505,-0.219140036808164,-0.206527879089874,-0.0343098726209441,-0.213624653283422,0.000754358385563673
"TGFB",-0.00227777572734495,0.206527879089874,0.206527879089874,0.206527879089874,0.206527879089874,0.206527879089874,0.198364613783751,0.198364613783751,0.232177063934138,-0.213624653283422,-0.198364613783751,-0.0257975416742456,-0.206527879089874,0.107077069564117
"MIR190",0.011013108191491,-0.198364613783751,-0.198364613783751,-0.198364613783751,-0.198364613783751,-0.198364613783751,-0.186647992530345,-0.186647992530345,-0.2304821486799,0.206527879089874,0.186647992530345,-0.0858797407036737,0.198364613783751,-0.114790195409854
"MIR34",0.00227777572734495,-0.206527879089874,-0.206527879089874,-0.206527879089874,-0.206527879089874,-0.206527879089874,-0.198364613783751,-0.198364613783751,-0.232177063934138,0.213624653283422,0.198364613783751,0.0257975416742456,0.206527879089874,-0.107077069564117
"ZEB1",-0.520597345663372,-0.486666703667237,-0.486666703667237,-0.486666703667237,-0.486666703667237,-0.486666703667237,-0.465550089529461,-0.465550089529461,-0.210150462948523,0.403917243265444,0.465550089529461,0.486093499220114,0.486666703667237,0.491195815378996
"CD24",-0.498304718935261,-0.465550089529461,-0.465550089529461,-0.465550089529461,-0.465550089529461,-0.465550089529461,-0.438491266000049,-0.438491266000049,-0.205426960644376,0.486666703667237,0.438491266000049,0.458400480264959,0.465550089529461,0.471698207723493
"GRHL2",-0.622761787305154,-0.600849272720496,-0.600849272720496,-0.600849272720496,-0.600849272720496,-0.600849272720496,-0.57266193533975,-0.57266193533975,-0.334791019489586,0.623610588252896,0.67266193533975,0.5849743791192,0.600849272720496,0.491914278357064
