"","MIR34","TGFB","HA","CD24","MIR340","HAS2","GRHL2","ESRP1","ZEB1","MIR190","MIR1199","CD44s","MIR200","SNAIL1"
"GRHL2",0.198149839507826,0.180409947408875,0.155425814146284,0.255425814146283,0.154818702264237,0.154818702264237,0.154818702264237,0.154818702264237,-0.153288256155477,-0.154818702264237,-0.154818702264237,-0.155425814146284,-0.198149839507826,-0.143869843149706
"MIR200",0.0232096476500289,-0.0833969832032391,0.109210347024334,0.109210347024334,0.107320453844383,0.107320453844383,0.107320453844383,0.107320453844383,-0.107039291707551,-0.107320453844383,-0.107320453844383,-0.109210347024334,-0.0232096476500289,0.00943214830236991
"MIR190",-0.0318027299953346,-0.125171200010968,0.0936009959539371,0.0936009959539371,0.0944184346460352,0.0944184346460352,0.0944184346460352,0.0944184346460352,-0.0956429244419536,-0.0944184346460352,-0.0944184346460352,-0.0936009959539371,0.0318027299953346,0.0501862615518193
"SNAIL1",-0.0321343018137588,-0.0233404331968466,0.0956429244419536,0.0956429244419536,0.0947700591668113,0.0947700591668113,0.0947700591668113,0.0947700591668113,-0.09464245389246,-0.0947700591668113,-0.0947700591668113,-0.0956429244419536,0.0321343018137588,-0.0503372828899101
"HAS2",0.116725908202046,0.102852408136596,0.188535980148883,0.0885359801488834,0.0948066072115896,0.0948066072115896,0.0948066072115896,0.0948066072115896,-0.0917477836821779,-0.0948066072115896,-0.0948066072115896,-0.0885359801488834,-0.116725908202046,-0.116182922114999
"ESRP1",0.116725908202046,0.102852408136596,0.0885359801488834,0.0885359801488834,0.0948066072115896,0.0948066072115896,0.0948066072115896,0.0948066072115896,-0.0917477836821779,-0.0948066072115896,-0.0948066072115896,-0.188535980148883,-0.116725908202046,-0.116182922114999
"MIR1199",0.114517225795344,0.10669856198275,0.0948066072115896,0.0948066072115896,0.0917477836821779,0.0917477836821779,0.0917477836821779,0.0917477836821779,-0.0908022636461581,-0.0917477836821779,-0.0917477836821779,-0.0948066072115896,-0.114517225795344,-0.11786157918934
"HA",0.114517225795344,0.10669856198275,0.0948066072115896,0.0948066072115896,0.0917477836821779,0.0917477836821779,0.0917477836821779,0.0917477836821779,-0.0908022636461581,-0.0917477836821779,-0.0917477836821779,-0.0948066072115896,-0.114517225795344,-0.11786157918934
"CD24",0.114517225795344,0.10669856198275,0.0948066072115896,0.0948066072115896,0.0917477836821779,0.0917477836821779,0.0917477836821779,0.0917477836821779,-0.0908022636461581,-0.0917477836821779,-0.0917477836821779,-0.0948066072115896,-0.114517225795344,-0.11786157918934
"ZEB1",-0.114517225795344,-0.104155797304063,-0.0917477836821779,-0.0917477836821779,-0.0908022636461581,-0.0908022636461581,-0.0908022636461581,-0.0908022636461581,-0.00768686137459571,0.0908022636461581,0.0908022636461581,0.0917477836821779,0.114517225795344,0.117263493064938
"MIR340",-0.114517225795344,-0.10669856198275,-0.0948066072115896,-0.0948066072115896,-0.0917477836821779,-0.0917477836821779,-0.0917477836821779,-0.0917477836821779,0.0908022636461581,0.0917477836821779,0.0917477836821779,0.0948066072115896,0.114517225795344,0.11786157918934
"CD44s",-0.114517225795344,-0.10669856198275,-0.0948066072115896,-0.0948066072115896,-0.0917477836821779,-0.0917477836821779,-0.0917477836821779,-0.0917477836821779,0.0908022636461581,0.0917477836821779,0.0917477836821779,0.0948066072115896,0.114517225795344,0.11786157918934
"TGFB",0.0316723518988548,0.0238973146606493,-0.0944184346460352,-0.0944184346460352,-0.0956429244419536,-0.0956429244419536,-0.0956429244419536,-0.0956429244419536,0.0947700591668113,0.0956429244419536,0.0956429244419536,0.0944184346460352,-0.0316723518988548,-0.049915625557232
"MIR34",0.0316723518988548,0.0238973146606493,-0.0944184346460352,-0.0944184346460352,-0.0956429244419536,-0.0956429244419536,-0.0956429244419536,-0.0956429244419536,0.0947700591668113,0.0956429244419536,0.0956429244419536,0.0944184346460352,-0.0316723518988548,-0.049915625557232
