"","MIR34","TGFB","ZEB1","HA","CD44s","CD24","MIR340","MIR190","MIR1199","HAS2","ESRP1","GRHL2","MIR200","SNAIL1"
"GRHL2",0.151185652179594,0.119936701759474,-0.109645068534982,0.0890086304688947,0.0890086304688947,-0.0109913695311053,0.105053730208704,0.105053730208704,0.105053730208704,0.105053730208704,0.105053730208704,-0.105053730208704,-0.151185652179594,-0.114844589543042
"SNAIL1",-0.047163590663201,-0.0448657114144655,-0.07279189879045,0.0679562857537808,0.0679562857537808,0.0679562857537808,0.0732314280687713,0.0732314280687713,0.0732314280687713,0.0732314280687713,0.0732314280687713,-0.0732314280687713,0.047163590663201,-0.0412391949326723
"MIR200",-0.00664352522108221,-0.125216479533829,-0.0685235844920106,0.0580705035038128,0.0580705035038128,0.0580705035038128,0.0694920318522105,0.0694920318522105,0.0694920318522105,0.0694920318522105,0.0694920318522105,-0.0694920318522105,0.00664352522108221,0.0300186837118516
"ZEB1",-0.0766933711070926,-0.0664310490944422,-0.0618109047372367,-0.0503647242844267,-0.0503647242844267,-0.0503647242844267,-0.048698808030487,-0.048698808030487,-0.048698808030487,-0.048698808030487,-0.048698808030487,0.048698808030487,0.0766933711070926,0.0930142885422517
"HAS2",0.0685966530694611,0.0494172861583492,-0.0503647242844267,0.127113316790736,0.0271133167907361,0.0271133167907361,0.0294235478138385,0.0294235478138385,0.0294235478138385,0.0294235478138385,0.0294235478138385,-0.0294235478138385,-0.0685966530694611,-0.0896494684366137
"ESRP1",0.0685966530694611,0.0494172861583492,-0.0503647242844267,0.0271133167907361,0.127113316790736,0.0271133167907361,0.0294235478138385,0.0294235478138385,0.0294235478138385,0.0294235478138385,0.0294235478138385,-0.0294235478138385,-0.0685966530694611,-0.0896494684366137
"HA",0.0784214817061709,0.052237798978862,-0.048698808030487,0.0294235478138385,0.0294235478138385,0.0294235478138385,0.0503647242844267,0.0503647242844267,0.0503647242844267,0.0503647242844267,0.0503647242844267,-0.0503647242844267,-0.0784214817061709,-0.0878109392599551
"CD44s",0.0784214817061709,0.052237798978862,-0.048698808030487,0.0294235478138385,0.0294235478138385,0.0294235478138385,0.0503647242844267,0.0503647242844267,0.0503647242844267,0.0503647242844267,0.0503647242844267,-0.0503647242844267,-0.0784214817061709,-0.0878109392599551
"MIR340",-0.0784214817061709,-0.052237798978862,0.048698808030487,-0.0294235478138385,-0.0294235478138385,-0.0294235478138385,-0.0503647242844267,-0.0503647242844267,-0.0503647242844267,-0.0503647242844267,-0.0503647242844267,0.0503647242844267,0.0784214817061709,0.0878109392599551
"MIR1199",-0.0784214817061709,-0.052237798978862,0.048698808030487,-0.0294235478138385,-0.0294235478138385,-0.0294235478138385,-0.0503647242844267,-0.0503647242844267,-0.0503647242844267,-0.0503647242844267,-0.0503647242844267,0.0503647242844267,0.0784214817061709,0.0878109392599551
"CD24",-0.0784214817061709,-0.052237798978862,0.048698808030487,-0.0294235478138385,-0.0294235478138385,-0.0294235478138385,-0.0503647242844267,-0.0503647242844267,-0.0503647242844267,-0.0503647242844267,-0.0503647242844267,0.0503647242844267,0.0784214817061709,0.0878109392599551
"MIR190",0.0502379841578,0.13862853767657,0.0679562857537808,-0.0779707438530968,-0.0779707438530968,-0.0779707438530968,-0.0673440408558216,-0.0673440408558216,-0.0673440408558216,-0.0673440408558216,-0.0673440408558216,0.0673440408558216,-0.0502379841578,-0.0559040005296232
"TGFB",0.0497164717718808,0.0454225928782682,0.0732314280687713,-0.0673440408558216,-0.0673440408558216,-0.0673440408558216,-0.0679562857537808,-0.0679562857537808,-0.0679562857537808,-0.0679562857537808,-0.0679562857537808,0.0679562857537808,-0.0497164717718808,-0.058204406483615
"MIR34",0.0497164717718808,0.0454225928782682,0.0732314280687713,-0.0673440408558216,-0.0673440408558216,-0.0673440408558216,-0.0679562857537808,-0.0679562857537808,-0.0679562857537808,-0.0679562857537808,-0.0679562857537808,0.0679562857537808,-0.0497164717718808,-0.058204406483615
