"","MIR1199","HAS2","ESRP1","HA","CD24","TGFB","MIR34","ZEB1","MIR200","CD44s","MIR340","MIR190","GRHL2","SNAIL1"
"MIR340",0.105749371463201,0.105749371463201,0.105749371463201,0.105749371463201,0.105749371463201,0.0874700515947915,0.0750427129771313,-0.105884445754061,-0.0750427129771313,-0.105749371463201,-0.105749371463201,-0.105749371463201,-0.105749371463201,-0.111284078313534
"MIR1199",0.105749371463201,0.105749371463201,0.105749371463201,0.105749371463201,0.105749371463201,0.0874700515947915,0.0750427129771313,-0.105884445754061,-0.0750427129771313,-0.105749371463201,-0.105749371463201,-0.105749371463201,-0.105749371463201,-0.111284078313534
"HA",0.105749371463201,0.105749371463201,0.105749371463201,0.105749371463201,0.105749371463201,0.0874700515947915,0.0750427129771313,-0.105884445754061,-0.0750427129771313,-0.105749371463201,-0.105749371463201,-0.105749371463201,-0.105749371463201,-0.111284078313534
"HAS2",0.105749371463201,0.105749371463201,0.105749371463201,0.206079404466501,0.106079404466501,0.0882392823640223,0.0749665515148312,-0.105749371463201,-0.0749665515148312,-0.106079404466501,-0.105749371463201,-0.105749371463201,-0.105749371463201,-0.112003502773965
"ESRP1",0.105749371463201,0.105749371463201,0.105749371463201,0.106079404466501,0.106079404466501,0.0882392823640223,0.0749665515148312,-0.105749371463201,-0.0749665515148312,-0.206079404466501,-0.105749371463201,-0.105749371463201,-0.105749371463201,-0.112003502773965
"MIR200",0.0944869148128241,0.0944869148128241,0.0944869148128241,0.0950620996936786,0.0950620996936786,0.0793762813001342,0.167197645714806,-0.0947680769496563,-0.167197645714806,-0.0950620996936786,-0.0944869148128241,-0.0944869148128241,-0.0944869148128241,-0.00858653393287584
"SNAIL1",0.0157300779540474,0.0157300779540474,0.0157300779540474,0.0156921272899108,0.0156921272899108,0.0772583227981072,0.0579423991645332,-0.0157726130454979,-0.0579423991645332,-0.0156921272899108,-0.0157300779540474,-0.0157300779540474,-0.0157300779540474,-0.102369772293678
"MIR190",0.0150798823919516,0.0150798823919516,0.0150798823919516,0.0169872393401805,0.0169872393401805,-0.021732804595495,0.0572838201875179,-0.0156921272899108,-0.0572838201875179,-0.0169872393401805,-0.0150798823919516,-0.0150798823919516,-0.0150798823919516,-0.0029957805907173
"GRHL2",-0.00233818340646974,-0.00233818340646974,-0.00233818340646974,-0.0022514531376059,-0.102251453137606,0.00611479596680547,0.0126956796182212,0.00243587145596502,-0.0126956796182212,0.0022514531376059,0.00233818340646974,0.00233818340646974,0.00233818340646974,0.0801408469856717
"ZEB1",-0.105884445754061,-0.105884445754061,-0.105884445754061,-0.105749371463201,-0.105749371463201,-0.0875162836798586,-0.075388335096947,0.00600066690631059,0.075388335096947,0.105749371463201,0.105884445754061,0.105884445754061,0.105884445754061,0.111403695538414
"TGFB",-0.0156921272899108,-0.0156921272899108,-0.0156921272899108,-0.0150798823919516,-0.0150798823919516,-0.0767809958291335,-0.0576749544769572,0.0157300779540474,0.0576749544769572,0.0150798823919516,0.0156921272899108,0.0156921272899108,0.0156921272899108,0.0023191906042491
"MIR34",-0.0156921272899108,-0.0156921272899108,-0.0156921272899108,-0.0150798823919516,-0.0150798823919516,-0.0767809958291335,-0.0576749544769572,0.0157300779540474,0.0576749544769572,0.0150798823919516,0.0156921272899108,0.0156921272899108,0.0156921272899108,0.0023191906042491
"CD44s",-0.105749371463201,-0.105749371463201,-0.105749371463201,-0.105749371463201,-0.105749371463201,-0.0874700515947915,-0.0750427129771313,0.105884445754061,0.0750427129771313,0.105749371463201,0.105749371463201,0.105749371463201,0.105749371463201,0.111284078313534
"CD24",-0.105749371463201,-0.105749371463201,-0.105749371463201,-0.105749371463201,-0.105749371463201,-0.0874700515947915,-0.0750427129771313,0.105884445754061,0.0750427129771313,0.105749371463201,0.105749371463201,0.105749371463201,0.105749371463201,0.111284078313534
