"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR34","SNAIL1","TGFB","ZEB1","MIR200","HA","CD44s","CD24"
"MIR200",0.0981810439095867,0.0981810439095867,0.0981810439095867,0.0981810439095867,0.0981810439095867,0.0981810439095867,0.172005539127508,-0.0335470743784025,-0.192198537913143,-0.100336620291967,-0.00647692520223906,-0.103686384912052,-0.103686384912052,-0.103686384912052
"MIR1199",0.0959061051047449,0.0959061051047449,0.0959061051047449,0.0959061051047449,0.0959061051047449,0.0959061051047449,0.0811151188175616,0.059960447095196,0.0012327965311699,-0.0973018727769646,-0.0931783112816288,-0.0992002227518037,-0.0992002227518037,-0.0992002227518037
"HA",0.0959061051047449,0.0959061051047449,0.0959061051047449,0.0959061051047449,0.0959061051047449,0.0959061051047449,0.0811151188175616,0.059960447095196,0.0012327965311699,-0.0973018727769646,-0.0931783112816288,-0.0992002227518037,-0.0992002227518037,-0.0992002227518037
"ESRP1",0.0992002227518037,0.0992002227518037,0.0992002227518037,0.0992002227518037,0.0992002227518037,0.0992002227518037,0.0853039992440658,0.0608397436579458,0.00277125806963144,-0.0959061051047449,-0.0932544727439289,-0.0968899917287014,-0.196889991728701,-0.0968899917287014
"SNAIL1",0.0108863767592531,0.0108863767592531,0.0108863767592531,0.0108863767592531,0.0108863767592531,0.0108863767592531,-0.0551850066431692,-0.0767288406724312,0.0727700310086652,-0.0134526606100967,-0.067640902051975,-0.0125941566454011,-0.0125941566454011,-0.0125941566454011
"TGFB",0.0125941566454011,0.0125941566454011,0.0125941566454011,0.0125941566454011,0.0125941566454011,0.0125941566454011,-0.0522431150798334,0.027216531102986,0.0723722585345204,-0.0108863767592531,-0.0668871942960791,-0.0164717076658093,-0.0164717076658093,-0.0164717076658093
"MIR34",0.0125941566454011,0.0125941566454011,0.0125941566454011,0.0125941566454011,0.0125941566454011,0.0125941566454011,-0.0522431150798334,0.027216531102986,0.0723722585345204,-0.0108863767592531,-0.0668871942960791,-0.0164717076658093,-0.0164717076658093,-0.0164717076658093
"GRHL2",0.0100801445381997,0.0100801445381997,0.0100801445381997,0.0100801445381997,0.0100801445381997,0.0100801445381997,0.0196522299400808,-0.05567220777535,-0.00174542117903052,-0.00815894623145918,-0.00667073287933489,-0.00704458512796548,-0.00704458512796548,-0.107044585127965
"ZEB1",-0.0973018727769646,-0.0973018727769646,-0.0973018727769646,-0.0973018727769646,-0.0973018727769646,-0.0973018727769646,-0.0823247962369165,-0.0582858059468706,-0.00248106282797989,-0.00228305167928642,0.0937543481479883,0.0959061051047449,0.0959061051047449,0.0959061051047449
"MIR190",-0.0164717076658093,-0.0164717076658093,-0.0164717076658093,-0.0164717076658093,-0.0164717076658093,-0.0164717076658093,0.0491140407643184,-0.0220744472058277,-0.17576928613537,0.0125941566454011,0.0687124876467962,0.00584500466853408,0.00584500466853408,0.00584500466853408
"HAS2",-0.0992002227518037,-0.0992002227518037,-0.0992002227518037,-0.0992002227518037,-0.0992002227518037,-0.0992002227518037,-0.0853039992440658,-0.0608397436579458,-0.00277125806963144,0.0959061051047449,0.0932544727439289,-0.00311000827129859,0.0968899917287014,0.0968899917287014
"MIR340",-0.0959061051047449,-0.0959061051047449,-0.0959061051047449,-0.0959061051047449,-0.0959061051047449,-0.0959061051047449,-0.0811151188175616,-0.059960447095196,-0.0012327965311699,0.0973018727769646,0.0931783112816288,0.0992002227518037,0.0992002227518037,0.0992002227518037
"CD44s",-0.0959061051047449,-0.0959061051047449,-0.0959061051047449,-0.0959061051047449,-0.0959061051047449,-0.0959061051047449,-0.0811151188175616,-0.059960447095196,-0.0012327965311699,0.0973018727769646,0.0931783112816288,0.0992002227518037,0.0992002227518037,0.0992002227518037
"CD24",-0.0959061051047449,-0.0959061051047449,-0.0959061051047449,-0.0959061051047449,-0.0959061051047449,-0.0959061051047449,-0.0811151188175616,-0.059960447095196,-0.0012327965311699,0.0973018727769646,0.0931783112816288,0.0992002227518037,0.0992002227518037,0.0992002227518037
