"","MIR200","MIR34","MIR340","MIR190","HAS2","ESRP1","HA","CD24","ZEB1","SNAIL1","TGFB","CD44s","MIR1199","GRHL2"
"TGFB",-0.0322686547218718,0.0790303023691224,0.0532369096594133,0.0532369096594133,0.0532369096594133,0.0532369096594133,0.0503797668022704,0.0503797668022704,-0.0647359608928098,-0.0172561557042301,0.0685404912081605,-0.0503797668022704,-0.0532369096594133,-0.0532369096594133
"MIR1199",0.0622446352159213,0.06342891780854,0.0592633592070344,0.0592633592070344,0.0592633592070344,0.0592633592070344,0.0270280650893874,0.0270280650893874,-0.0608392259337341,0.0449577383917378,-0.000928773116214008,-0.0270280650893874,-0.0592633592070344,-0.0592633592070344
"HA",0.0622446352159213,0.06342891780854,0.0592633592070344,0.0592633592070344,0.0592633592070344,0.0592633592070344,0.0270280650893874,0.0270280650893874,-0.0608392259337341,0.0449577383917378,-0.000928773116214008,-0.0270280650893874,-0.0592633592070344,-0.0592633592070344
"CD44s",0.0622446352159213,0.06342891780854,0.0592633592070344,0.0592633592070344,0.0592633592070344,0.0592633592070344,0.0270280650893874,0.0270280650893874,-0.0608392259337341,0.0449577383917378,-0.000928773116214008,-0.0270280650893874,-0.0592633592070344,-0.0592633592070344
"CD24",0.0622446352159213,0.06342891780854,0.0592633592070344,0.0592633592070344,0.0592633592070344,0.0592633592070344,0.0270280650893874,0.0270280650893874,-0.0608392259337341,0.0449577383917378,-0.000928773116214008,-0.0270280650893874,-0.0592633592070344,-0.0592633592070344
"HAS2",0.0452606291230043,0.0386764425610153,0.0270280650893874,0.0270280650893874,0.0270280650893874,0.0270280650893874,0.12933829611249,0.0293382961124897,-0.0592633592070344,0.038642790350171,-0.00374928593672683,-0.0293382961124897,-0.0270280650893874,-0.0270280650893874
"ZEB1",-0.0655280453541701,-0.0621616367025492,-0.0608392259337341,-0.0608392259337341,-0.0608392259337341,-0.0608392259337341,-0.0592633592070344,-0.0592633592070344,-0.0579387916654689,-0.0516563029850392,-0.00142906322220485,0.0592633592070344,0.0608392259337341,0.0608392259337341
"MIR190",-0.0313560080465133,0.0744670689923297,0.0503797668022704,0.0503797668022704,0.0503797668022704,0.0503797668022704,0.0702707749766573,0.0702707749766573,-0.0532369096594133,-0.0140085237691827,0.170875947683744,-0.0702707749766573,-0.0503797668022704,-0.0503797668022704
"GRHL2",-0.0179923115631536,-0.0213117509265992,-0.0116728208639102,-0.0116728208639102,-0.0116728208639102,-0.0116728208639102,-0.0360440264146474,-0.136044026414647,0.0194553021403674,0.050287324415345,-0.00117988127480274,0.0360440264146474,0.0116728208639102,0.0116728208639102
"ESRP1",-0.0452606291230043,-0.0386764425610153,-0.0270280650893874,-0.0270280650893874,-0.0270280650893874,-0.0270280650893874,-0.0293382961124897,-0.0293382961124897,0.0592633592070344,-0.038642790350171,0.00374928593672683,-0.0706617038875103,0.0270280650893874,0.0270280650893874
"MIR340",-0.0622446352159213,-0.06342891780854,-0.0592633592070344,-0.0592633592070344,-0.0592633592070344,-0.0592633592070344,-0.0270280650893874,-0.0270280650893874,0.0608392259337341,-0.0449577383917378,0.000928773116214008,0.0270280650893874,0.0592633592070344,0.0592633592070344
"SNAIL1",0.0260688006007923,-0.0875642192181378,-0.0647359608928098,-0.0647359608928098,-0.0647359608928098,-0.0647359608928098,-0.0532369096594133,-0.0532369096594133,0.0633890163302124,-0.0862845625557598,-0.0702111355995687,0.0532369096594133,0.0647359608928098,0.0647359608928098
"MIR34",0.0322686547218718,-0.0790303023691224,-0.0532369096594133,-0.0532369096594133,-0.0532369096594133,-0.0532369096594133,-0.0503797668022704,-0.0503797668022704,0.0647359608928098,0.0172561557042301,-0.0685404912081605,0.0503797668022704,0.0532369096594133,0.0532369096594133
"MIR200",0.00713955743973037,-0.164463661035093,-0.0720098107492003,-0.0720098107492003,-0.0720098107492003,-0.0720098107492003,-0.055493787741805,-0.055493787741805,0.073977945707026,0.0377038482125702,-0.191270661375512,0.055493787741805,0.0720098107492003,0.0720098107492003
