"","ZEB1","MIR1199","HAS2","GRHL2","ESRP1","CD24","TGFB","MIR34","MIR200","HA","CD44s","MIR340","MIR190","SNAIL1"
"SNAIL1",-0.187305056627329,0.182186667289458,0.182186667289458,0.182186667289458,0.182186667289458,0.175924807706916,0.210953912278444,0.184411412311448,0.184411412311448,-0.175924807706916,-0.175924807706916,-0.182186667289458,-0.182186667289458,-0.0252688478829525
"MIR190",-0.175924807706916,0.176741134237528,0.176741134237528,0.176741134237528,0.176741134237528,0.185732959850607,0.111354725051754,0.169992856462042,0.169992856462042,-0.185732959850607,-0.185732959850607,-0.176741134237528,-0.176741134237528,0.05983884867893
"ZEB1",-0.0825721279134317,-0.0104047938863358,-0.0104047938863358,-0.0104047938863358,-0.0104047938863358,-0.00945927385031599,-0.00711439509297784,-0.00314181308126607,-0.00314181308126607,0.00945927385031599,0.00945927385031599,0.0104047938863358,0.0104047938863358,0.194164255334504
"MIR340",-0.0104047938863358,0.00945927385031599,0.00945927385031599,0.00945927385031599,0.00945927385031599,-0.00630543203203695,-0.0080034967239431,0.00210494672181906,0.00210494672181906,0.00630543203203695,0.00630543203203695,-0.00945927385031599,-0.00945927385031599,-0.189259949114409
"MIR1199",-0.0104047938863358,0.00945927385031599,0.00945927385031599,0.00945927385031599,0.00945927385031599,-0.00630543203203695,-0.0080034967239431,0.00210494672181906,0.00210494672181906,0.00630543203203695,0.00630543203203695,-0.00945927385031599,-0.00945927385031599,-0.189259949114409
"HA",-0.0104047938863358,0.00945927385031599,0.00945927385031599,0.00945927385031599,0.00945927385031599,-0.00630543203203695,-0.0080034967239431,0.00210494672181906,0.00210494672181906,0.00630543203203695,0.00630543203203695,-0.00945927385031599,-0.00945927385031599,-0.189259949114409
"CD44s",-0.0104047938863358,0.00945927385031599,0.00945927385031599,0.00945927385031599,0.00945927385031599,-0.00630543203203695,-0.0080034967239431,0.00210494672181906,0.00210494672181906,0.00630543203203695,0.00630543203203695,-0.00945927385031599,-0.00945927385031599,-0.189259949114409
"MIR200",-0.00241079618356131,0.00150482929821298,0.00150482929821298,0.00150482929821298,0.00150482929821298,-0.012217438573603,0.00103834659616219,-0.0830057102417012,-0.0830057102417012,0.012217438573603,0.012217438573603,-0.00150482929821298,-0.00150482929821298,-0.199149303138489
"HAS2",0.00945927385031599,0.00630543203203695,0.00630543203203695,0.00630543203203695,0.00630543203203695,-0.00260545905707196,0.00620862492907131,0.0125942155020956,0.0125942155020956,-0.097394540942928,0.00260545905707196,-0.00630543203203695,-0.00630543203203695,0.190458989881795
"ESRP1",0.00945927385031599,0.00630543203203695,0.00630543203203695,0.00630543203203695,0.00630543203203695,-0.00260545905707196,0.00620862492907131,0.0125942155020956,0.0125942155020956,0.00260545905707196,-0.097394540942928,-0.00630543203203695,-0.00630543203203695,0.190458989881795
"CD24",0.0104047938863358,-0.00945927385031599,-0.00945927385031599,-0.00945927385031599,-0.00945927385031599,0.00630543203203695,0.0080034967239431,-0.00210494672181906,-0.00210494672181906,-0.00630543203203695,-0.00630543203203695,0.00945927385031599,0.00945927385031599,0.189259949114409
"GRHL2",0.0240478738514253,-0.0203682906537698,-0.0203682906537698,-0.0203682906537698,-0.0203682906537698,0.065668136059153,-0.0365847047047936,-0.0306267149511546,-0.0306267149511546,0.034331863940847,0.034331863940847,0.0203682906537698,0.0203682906537698,-0.118385369535406
"TGFB",0.182186667289458,-0.175924807706916,-0.175924807706916,-0.175924807706916,-0.175924807706916,-0.176741134237528,-0.207533069000799,-0.176120626996593,-0.176120626996593,0.176741134237528,0.176741134237528,0.175924807706916,0.175924807706916,-0.0717468324407703
"MIR34",0.182186667289458,-0.175924807706916,-0.175924807706916,-0.175924807706916,-0.175924807706916,-0.176741134237528,-0.207533069000799,-0.176120626996593,-0.176120626996593,0.176741134237528,0.176741134237528,0.175924807706916,0.175924807706916,-0.0717468324407703
