"","SNAIL1","MIR200","MIR1199","HAS2","GRHL2","HA","CD24","ZEB1","TGFB","CD44s","MIR340","MIR190","ESRP1","MIR34"
"MIR340",0.0798676308609987,0.0784758142850911,0.0503356779116826,0.0503356779116826,0.0503356779116826,0.051982736735212,0.051982736735212,-0.0504707522025425,-0.00297352002808783,-0.051982736735212,-0.0503356779116826,-0.0503356779116826,-0.0503356779116826,-0.0784758142850911
"MIR1199",0.0798676308609987,0.0784758142850911,0.0503356779116826,0.0503356779116826,0.0503356779116826,0.051982736735212,0.051982736735212,-0.0504707522025425,-0.00297352002808783,-0.051982736735212,-0.0503356779116826,-0.0503356779116826,-0.0503356779116826,-0.0784758142850911
"CD44s",0.0798676308609987,0.0784758142850911,0.0503356779116826,0.0503356779116826,0.0503356779116826,0.051982736735212,0.051982736735212,-0.0504707522025425,-0.00297352002808783,-0.051982736735212,-0.0503356779116826,-0.0503356779116826,-0.0503356779116826,-0.0784758142850911
"ESRP1",0.0788284621959307,0.0794659132949921,0.051982736735212,0.051982736735212,0.051982736735212,0.0476923076923077,0.0476923076923077,-0.0503356779116826,-0.00322993028449809,0.0523076923076923,-0.051982736735212,-0.051982736735212,-0.051982736735212,-0.0794659132949921
"ZEB1",-0.079030310286836,-0.0789366437781786,-0.0504707522025425,-0.0504707522025425,-0.0504707522025425,-0.0503356779116826,-0.0503356779116826,-0.0499775293847063,0.00301975211315487,0.0503356779116826,0.0504707522025425,0.0504707522025425,0.0504707522025425,0.0789366437781786
"MIR190",0.0838490216618216,0.107118104153185,0.0203630347082823,0.0203630347082823,0.0203630347082823,0.0195455960161843,0.0195455960161843,-0.0215875245042007,-0.194615282671383,-0.0195455960161843,-0.0203630347082823,-0.0203630347082823,-0.0203630347082823,-0.107118104153185
"SNAIL1",-0.0141173069494133,0.105854137165819,0.0200315472745992,0.0200315472745992,0.0200315472745992,0.0215875245042007,0.0215875245042007,-0.0210665678332267,-0.0955983127348744,-0.0215875245042007,-0.0200315472745992,-0.0200315472745992,-0.0200315472745992,-0.105854137165819
"GRHL2",0.0656300739428004,-0.00439676870660245,-0.0176631352985636,-0.0176631352985636,-0.0176631352985636,-0.0153214180392401,0.0846785819607599,0.0171095696847571,-0.00343247698598877,0.0153214180392401,0.0176631352985636,0.0176631352985636,0.0176631352985636,0.00439676870660245
"TGFB",-0.0870966535968689,-0.105683945091907,-0.0215875245042007,-0.0215875245042007,-0.0215875245042007,-0.0203630347082823,-0.0203630347082823,0.0200315472745992,0.0969507391469667,0.0203630347082823,0.0215875245042007,0.0215875245042007,0.0215875245042007,0.105683945091907
"MIR34",-0.0870966535968689,-0.105683945091907,-0.0215875245042007,-0.0215875245042007,-0.0215875245042007,-0.0203630347082823,-0.0203630347082823,0.0200315472745992,0.0969507391469667,0.0203630347082823,0.0215875245042007,0.0215875245042007,0.0215875245042007,0.105683945091907
"HAS2",-0.0788284621959307,-0.0794659132949921,-0.051982736735212,-0.051982736735212,-0.051982736735212,0.0523076923076923,-0.0476923076923077,0.0503356779116826,0.00322993028449809,0.0476923076923077,0.051982736735212,0.051982736735212,0.051982736735212,0.0794659132949921
"HA",-0.0798676308609987,-0.0784758142850911,-0.0503356779116826,-0.0503356779116826,-0.0503356779116826,-0.051982736735212,-0.051982736735212,0.0504707522025425,0.00297352002808783,0.051982736735212,0.0503356779116826,0.0503356779116826,0.0503356779116826,0.0784758142850911
"CD24",-0.0798676308609987,-0.0784758142850911,-0.0503356779116826,-0.0503356779116826,-0.0503356779116826,-0.051982736735212,-0.051982736735212,0.0504707522025425,0.00297352002808783,0.051982736735212,0.0503356779116826,0.0503356779116826,0.0503356779116826,0.0784758142850911
"MIR200",0.0460779237101023,0.0137010747844492,-0.0759836666389983,-0.0759836666389983,-0.0759836666389983,-0.0773805442067879,-0.0773805442067879,0.075702504502166,-0.198598014884239,0.0773805442067879,0.0759836666389983,0.0759836666389983,0.0759836666389983,-0.0137010747844492
