"","MIR190","MIR1199","GRHL2","ESRP1","HA","CD24","MIR200","SNAIL1","TGFB","ZEB1","MIR34","CD44s","MIR340","HAS2"
"GRHL2",0.36954638701666,0.36954638701666,0.36954638701666,0.36954638701666,0.364255840615966,0.464255840615966,0.289685118520617,0.128946111259535,-0.0163564369815205,-0.373160844847985,-0.289685118520617,-0.364255840615966,-0.36954638701666,-0.36954638701666
"MIR1199",0.260450844062658,0.260450844062658,0.260450844062658,0.260450844062658,0.255509667592069,0.255509667592069,0.190777306231312,0.105034180105723,-0.00885175061787507,-0.263557552752437,-0.190777306231312,-0.255509667592069,-0.260450844062658,-0.260450844062658
"HA",0.260450844062658,0.260450844062658,0.260450844062658,0.260450844062658,0.255509667592069,0.255509667592069,0.190777306231312,0.105034180105723,-0.00885175061787507,-0.263557552752437,-0.190777306231312,-0.255509667592069,-0.260450844062658,-0.260450844062658
"CD44s",0.260450844062658,0.260450844062658,0.260450844062658,0.260450844062658,0.255509667592069,0.255509667592069,0.190777306231312,0.105034180105723,-0.00885175061787507,-0.263557552752437,-0.190777306231312,-0.255509667592069,-0.260450844062658,-0.260450844062658
"CD24",0.260450844062658,0.260450844062658,0.260450844062658,0.260450844062658,0.255509667592069,0.255509667592069,0.190777306231312,0.105034180105723,-0.00885175061787507,-0.263557552752437,-0.190777306231312,-0.255509667592069,-0.260450844062658,-0.260450844062658
"SNAIL1",0.15086244398827,0.15086244398827,0.15086244398827,0.15086244398827,0.149306466758668,0.149306466758668,0.0133260981156196,-0.0588316182244785,-0.0772874369827311,-0.151954178002165,-0.0133260981156196,-0.149306466758668,-0.15086244398827,-0.15086244398827
"MIR190",0.148286058595403,0.148286058595403,0.148286058595403,0.148286058595403,0.143653906006847,0.143653906006847,0.0132221570073392,0.0405220449781296,-0.1782167550943,-0.149306466758668,-0.0132221570073392,-0.143653906006847,-0.148286058595403,-0.148286058595403
"TGFB",-0.149306466758668,-0.149306466758668,-0.149306466758668,-0.149306466758668,-0.148286058595403,-0.148286058595403,-0.0129614008143796,-0.0422811789429469,0.0767305555189284,0.15086244398827,0.0129614008143796,0.148286058595403,0.149306466758668,0.149306466758668
"MIR34",-0.149306466758668,-0.149306466758668,-0.149306466758668,-0.149306466758668,-0.148286058595403,-0.148286058595403,-0.0129614008143796,-0.0422811789429469,0.0767305555189284,0.15086244398827,0.0129614008143796,0.148286058595403,0.149306466758668,0.149306466758668
"ZEB1",-0.263557552752437,-0.263557552752437,-0.263557552752437,-0.263557552752437,-0.260450844062658,-0.260450844062658,-0.192735831576934,-0.106230352354527,0.0092678393834784,0.165433694210182,0.192735831576934,0.260450844062658,0.263557552752437,0.263557552752437
"MIR200",-0.250505585949593,-0.250505585949593,-0.250505585949593,-0.250505585949593,-0.245657599096676,-0.245657599096676,-0.0940245360616205,-0.120786487760007,0.201978491234318,0.252973564706232,0.0940245360616205,0.245657599096676,0.250505585949593,0.250505585949593
"HAS2",-0.255509667592069,-0.255509667592069,-0.255509667592069,-0.255509667592069,-0.349239040529363,-0.249239040529363,-0.18826397797541,-0.104954244054564,0.00782610959223405,0.260450844062658,0.18826397797541,0.249239040529363,0.255509667592069,0.255509667592069
"ESRP1",-0.255509667592069,-0.255509667592069,-0.255509667592069,-0.255509667592069,-0.249239040529363,-0.249239040529363,-0.18826397797541,-0.104954244054564,0.00782610959223405,0.260450844062658,0.18826397797541,0.149239040529363,0.255509667592069,0.255509667592069
"MIR340",-0.260450844062658,-0.260450844062658,-0.260450844062658,-0.260450844062658,-0.255509667592069,-0.255509667592069,-0.190777306231312,-0.105034180105723,0.00885175061787507,0.263557552752437,0.190777306231312,0.255509667592069,0.260450844062658,0.260450844062658
