"","MIR340","MIR1199","HAS2","GRHL2","ESRP1","CD24","MIR34","TGFB","SNAIL1","MIR200","ZEB1","HA","CD44s","MIR190"
"GRHL2",0.601252370015556,0.601252370015556,0.601252370015556,0.601252370015556,0.601252370015556,0.677054625002547,0.527169760360122,0.0253120463439095,-0.189382019162765,-0.430863082411295,-0.627725831428777,-0.577054625002547,-0.577054625002547,-0.601252370015556
"MIR340",0.464761723493908,0.464761723493908,0.464761723493908,0.464761723493908,0.464761723493908,0.446408782317438,0.386401103795418,0.0147554185406465,-0.167573316890434,-0.315591777909115,-0.494342993192242,-0.446408782317438,-0.446408782317438,-0.464761723493908
"MIR1199",0.464761723493908,0.464761723493908,0.464761723493908,0.464761723493908,0.464761723493908,0.446408782317438,0.386401103795418,0.0147554185406465,-0.167573316890434,-0.315591777909115,-0.494342993192242,-0.446408782317438,-0.446408782317438,-0.464761723493908
"HA",0.464761723493908,0.464761723493908,0.464761723493908,0.464761723493908,0.464761723493908,0.446408782317438,0.386401103795418,0.0147554185406465,-0.167573316890434,-0.315591777909115,-0.494342993192242,-0.446408782317438,-0.446408782317438,-0.464761723493908
"CD24",0.464761723493908,0.464761723493908,0.464761723493908,0.464761723493908,0.464761723493908,0.446408782317438,0.386401103795418,0.0147554185406465,-0.167573316890434,-0.315591777909115,-0.494342993192242,-0.446408782317438,-0.446408782317438,-0.464761723493908
"ESRP1",0.446408782317438,0.446408782317438,0.446408782317438,0.446408782317438,0.446408782317438,0.405814722911497,0.366979930908899,0.017319521104749,-0.169411846067093,-0.311250574558011,-0.464761723493908,-0.405814722911497,-0.505814722911497,-0.446408782317438
"MIR34",0.083200489399514,0.083200489399514,0.083200489399514,0.083200489399514,0.083200489399514,0.0956494689913507,0.134449019453912,0.0933538226558993,-0.0787744225414103,0.0347409283733317,-0.0953826525873698,-0.0956494689913507,-0.0956494689913507,-0.083200489399514
"MIR190",0.0956494689913507,0.0956494689913507,0.0956494689913507,0.0956494689913507,0.0956494689913507,0.0632244008714597,0.147486829101891,-0.0098308907198969,-0.0632128528526417,0.0318726102507763,-0.083200489399514,-0.0632244008714597,-0.0632244008714597,-0.0956494689913507
"SNAIL1",-0.0953826525873698,-0.0953826525873698,-0.0953826525873698,-0.0953826525873698,-0.0953826525873698,-0.083200489399514,-0.147845566986127,-0.0902511973575699,-0.0328593660271278,-0.0325284314124759,0.094517772394544,0.083200489399514,0.083200489399514,0.0953826525873698
"TGFB",-0.083200489399514,-0.083200489399514,-0.083200489399514,-0.083200489399514,-0.083200489399514,-0.0956494689913507,-0.134449019453912,-0.0933538226558993,0.0787744225414103,-0.0347409283733317,0.0953826525873698,0.0956494689913507,0.0956494689913507,0.083200489399514
"MIR200",-0.375149483739252,-0.375149483739252,-0.375149483739252,-0.375149483739252,-0.375149483739252,-0.352552934848537,-0.413770143254842,-0.0126327713430419,0.168941648251354,0.159224448499956,0.391863010762057,0.352552934848537,0.352552934848537,0.375149483739252
"ZEB1",-0.494342993192242,-0.494342993192242,-0.494342993192242,-0.494342993192242,-0.494342993192242,-0.464761723493908,-0.404661472459013,-0.0193323949622831,0.176484800144023,0.335177031365336,0.404719881785967,0.464761723493908,0.464761723493908,0.494342993192242
"HAS2",-0.446408782317438,-0.446408782317438,-0.446408782317438,-0.446408782317438,-0.446408782317438,-0.405814722911497,-0.366979930908899,-0.017319521104749,0.169411846067093,0.311250574558011,0.464761723493908,0.305814722911497,0.405814722911497,0.446408782317438
"CD44s",-0.464761723493908,-0.464761723493908,-0.464761723493908,-0.464761723493908,-0.464761723493908,-0.446408782317438,-0.386401103795418,-0.0147554185406465,0.167573316890434,0.315591777909115,0.494342993192242,0.446408782317438,0.446408782317438,0.464761723493908
