"","MIR34","HA","CD24","MIR200","MIR340","MIR1199","HAS2","GRHL2","ESRP1","ZEB1","TGFB","SNAIL1","MIR190","CD44s"
"TGFB",0.15479456557728,0.13374469012552,0.13374469012552,-0.0239485730776258,0.126601832982663,0.126601832982663,0.126601832982663,0.126601832982663,0.126601832982663,-0.131497468656288,-0.0924640205964679,-0.0736627477069188,-0.126601832982663,-0.13374469012552
"MIR34",0.15479456557728,0.13374469012552,0.13374469012552,-0.0239485730776258,0.126601832982663,0.126601832982663,0.126601832982663,0.126601832982663,0.126601832982663,-0.131497468656288,-0.0924640205964679,-0.0736627477069188,-0.126601832982663,-0.13374469012552
"MIR190",0.158054017989275,0.124207905384376,0.124207905384376,-0.0180815587360352,0.13374469012552,0.13374469012552,0.13374469012552,0.13374469012552,0.13374469012552,-0.126601832982663,0.00562515137805441,-0.0747452916852679,-0.13374469012552,-0.124207905384376
"MIR340",0.132315169461355,0.104505237124209,0.104505237124209,0.103809588652393,0.107093472418326,0.107093472418326,0.107093472418326,0.107093472418326,0.107093472418326,-0.105787754273347,-0.00336125142537096,-0.0936915951497598,-0.107093472418326,-0.104505237124209
"MIR1199",0.132315169461355,0.104505237124209,0.104505237124209,0.103809588652393,0.107093472418326,0.107093472418326,0.107093472418326,0.107093472418326,0.107093472418326,-0.105787754273347,-0.00336125142537096,-0.0936915951497598,-0.107093472418326,-0.104505237124209
"CD44s",0.132315169461355,0.104505237124209,0.104505237124209,0.103809588652393,0.107093472418326,0.107093472418326,0.107093472418326,0.107093472418326,0.107093472418326,-0.105787754273347,-0.00336125142537096,-0.0936915951497598,-0.107093472418326,-0.104505237124209
"GRHL2",0.0290620779637674,0.010462195044441,0.110462195044441,0.00420615725841546,0.0138446755301305,0.0138446755301305,0.0138446755301305,0.0138446755301305,0.0138446755301305,-0.0121839786887107,-0.00278102764147289,-0.0687560685448474,-0.0138446755301305,-0.010462195044441
"ZEB1",-0.127418856097299,-0.107093472418326,-0.107093472418326,-0.107035395104005,-0.105787754273347,-0.105787754273347,-0.105787754273347,-0.105787754273347,-0.105787754273347,0.00620282981709557,0.00664372946513055,0.101765757829186,0.105787754273347,0.107093472418326
"MIR200",-0.0060482071626478,-0.0861352620516283,-0.0861352620516283,-0.184655993355725,-0.0850670615586127,-0.0850670615586127,-0.0850670615586127,-0.0850670615586127,-0.0850670615586127,0.0863479112930707,0.00143725255807862,-0.0331844857405286,0.0850670615586127,0.0861352620516283
"HA",-0.132315169461355,-0.104505237124209,-0.104505237124209,-0.103809588652393,-0.107093472418326,-0.107093472418326,-0.107093472418326,-0.107093472418326,-0.107093472418326,0.105787754273347,0.00336125142537096,0.0936915951497598,0.107093472418326,0.104505237124209
"CD24",-0.132315169461355,-0.104505237124209,-0.104505237124209,-0.103809588652393,-0.107093472418326,-0.107093472418326,-0.107093472418326,-0.107093472418326,-0.107093472418326,0.105787754273347,0.00336125142537096,0.0936915951497598,0.107093472418326,0.104505237124209
"HAS2",-0.125232153467448,-0.0101157981803143,-0.110115798180314,-0.107541500305096,-0.104505237124209,-0.104505237124209,-0.104505237124209,-0.104505237124209,-0.104505237124209,0.107093472418326,0.00797663604075558,0.104962578363189,0.104505237124209,0.110115798180314
"ESRP1",-0.125232153467448,-0.110115798180314,-0.110115798180314,-0.107541500305096,-0.104505237124209,-0.104505237124209,-0.104505237124209,-0.104505237124209,-0.104505237124209,0.107093472418326,0.00797663604075558,0.104962578363189,0.104505237124209,0.0101157981803143
"SNAIL1",-0.157541951913288,-0.126601832982663,-0.126601832982663,0.0204231658323061,-0.131497468656288,-0.131497468656288,-0.131497468656288,-0.131497468656288,-0.131497468656288,0.128080482976435,0.0932595655447575,-0.0267419058085086,0.131497468656288,0.126601832982663
