"","MIR340","MIR190","MIR1199","HA","CD44s","CD24","MIR34","SNAIL1","MIR200","TGFB","ZEB1","HAS2","GRHL2","ESRP1"
"MIR340",0.451600283835127,0.451600283835127,0.451600283835127,0.427129695599833,0.427129695599833,0.427129695599833,0.420062941091831,0.273670293568633,0.265959369399881,-0.324120357082339,-0.469114916883304,-0.451600283835127,-0.451600283835127,-0.451600283835127
"MIR1199",0.451600283835127,0.451600283835127,0.451600283835127,0.427129695599833,0.427129695599833,0.427129695599833,0.420062941091831,0.273670293568633,0.265959369399881,-0.324120357082339,-0.469114916883304,-0.451600283835127,-0.451600283835127,-0.451600283835127
"HA",0.451600283835127,0.451600283835127,0.451600283835127,0.427129695599833,0.427129695599833,0.427129695599833,0.420062941091831,0.273670293568633,0.265959369399881,-0.324120357082339,-0.469114916883304,-0.451600283835127,-0.451600283835127,-0.451600283835127
"CD44s",0.451600283835127,0.451600283835127,0.451600283835127,0.427129695599833,0.427129695599833,0.427129695599833,0.420062941091831,0.273670293568633,0.265959369399881,-0.324120357082339,-0.469114916883304,-0.451600283835127,-0.451600283835127,-0.451600283835127
"CD24",0.451600283835127,0.451600283835127,0.451600283835127,0.427129695599833,0.427129695599833,0.427129695599833,0.420062941091831,0.273670293568633,0.265959369399881,-0.324120357082339,-0.469114916883304,-0.451600283835127,-0.451600283835127,-0.451600283835127
"MIR200",0.29861178108202,0.29861178108202,0.29861178108202,0.288504961032719,0.288504961032719,0.288504961032719,0.372526800410382,0.212139038332225,0.0855491524039787,-0.220390661767038,-0.309827026317884,-0.29861178108202,-0.29861178108202,-0.29861178108202
"TGFB",0.241049251671604,0.241049251671604,0.241049251671604,0.237988027181808,0.237988027181808,0.237988027181808,0.0782229741914864,0.0221718642975095,0.193242509597154,-0.242080252032217,-0.253990428142192,-0.241049251671604,-0.241049251671604,-0.241049251671604
"MIR190",-0.237988027181808,-0.237988027181808,-0.237988027181808,-0.214827264239029,-0.214827264239029,-0.214827264239029,-0.0799178894457237,-0.00661029460874089,-0.187636251448523,0.130827598104404,0.241049251671604,0.237988027181808,0.237988027181808,0.237988027181808
"MIR34",-0.241049251671604,-0.241049251671604,-0.241049251671604,-0.237988027181808,-0.237988027181808,-0.237988027181808,-0.0782229741914864,-0.0221718642975095,-0.193242509597154,0.242080252032217,0.253990428142192,0.241049251671604,0.241049251671604,0.241049251671604
"SNAIL1",-0.253990428142192,-0.253990428142192,-0.253990428142192,-0.241049251671604,-0.241049251671604,-0.241049251671604,-0.0921057847920213,-0.118378237590378,-0.19594126962633,0.246694412732297,0.256840279269372,0.253990428142192,0.253990428142192,0.253990428142192
"ZEB1",-0.469114916883304,-0.469114916883304,-0.469114916883304,-0.451600283835127,-0.451600283835127,-0.451600283835127,-0.43527031436372,-0.281505221798298,-0.273159830229374,0.340532747281137,0.383642560914517,0.469114916883304,0.469114916883304,0.469114916883304
"HAS2",-0.427129695599833,-0.427129695599833,-0.427129695599833,-0.500397022332506,-0.400397022332506,-0.400397022332506,-0.39957550773311,-0.262559182457522,-0.25476363444177,0.307197280159262,0.451600283835127,0.427129695599833,0.427129695599833,0.427129695599833
"ESRP1",-0.427129695599833,-0.427129695599833,-0.427129695599833,-0.400397022332506,-0.500397022332506,-0.400397022332506,-0.39957550773311,-0.262559182457522,-0.25476363444177,0.307197280159262,0.451600283835127,0.427129695599833,0.427129695599833,0.427129695599833
"GRHL2",-0.58813609220333,-0.58813609220333,-0.58813609220333,-0.563071044501682,-0.563071044501682,-0.663071044501682,-0.552760088718802,-0.295784143982134,-0.388355490203185,0.453157909740147,0.607576014052891,0.58813609220333,0.58813609220333,0.58813609220333
