"","HA","CD44s","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR200","ZEB1","SNAIL1","MIR34","TGFB"
"HAS2",0.211728701406121,0.111728701406121,0.111728701406121,0.104137942330213,0.104137942330213,0.104137942330213,0.104137942330213,0.104137942330213,0.104137942330213,0.0840168932066823,-0.110961471741978,-0.0417709046330481,-0.0840168932066823,-0.101096122946889
"MIR1199",0.104137942330213,0.104137942330213,0.104137942330213,0.110961471741978,0.110961471741978,0.110961471741978,0.110961471741978,0.110961471741978,0.110961471741978,0.0959742427877943,-0.104973178180519,-0.0249043978384837,-0.0959742427877943,-0.0893012511520172
"HA",0.104137942330213,0.104137942330213,0.104137942330213,0.110961471741978,0.110961471741978,0.110961471741978,0.110961471741978,0.110961471741978,0.110961471741978,0.0959742427877943,-0.104973178180519,-0.0249043978384837,-0.0959742427877943,-0.0893012511520172
"CD24",0.104137942330213,0.104137942330213,0.104137942330213,0.110961471741978,0.110961471741978,0.110961471741978,0.110961471741978,0.110961471741978,0.110961471741978,0.0959742427877943,-0.104973178180519,-0.0249043978384837,-0.0959742427877943,-0.0893012511520172
"MIR200",0.0919721373448843,0.0919721373448843,0.0919721373448843,0.102900650081121,0.102900650081121,0.102900650081121,0.102900650081121,0.102900650081121,0.102900650081121,0.00623651744541824,-0.0937472605153602,0.0716473770156481,-0.00623651744541824,-0.087180929043326
"MIR34",0.0334456156062183,0.0334456156062183,0.0334456156062183,0.0171190849939734,0.0171190849939734,0.0171190849939734,0.0171190849939734,0.0171190849939734,0.0171190849939734,-0.0786296152210059,-0.0304397681059278,0.0336275460317591,0.0786296152210059,0.0568352192626615
"SNAIL1",0.0171190849939734,0.0171190849939734,0.0171190849939734,0.0304397681059278,0.0304397681059278,0.0304397681059278,0.0304397681059278,0.0304397681059278,0.0304397681059278,-0.0558481904702157,-0.0194231794202622,-0.0339495910446193,0.0558481904702157,0.0801446862475461
"MIR190",0.013009648303766,0.013009648303766,0.013009648303766,0.0334456156062183,0.0334456156062183,0.0334456156062183,0.0334456156062183,0.0334456156062183,0.0334456156062183,-0.0508590806708103,-0.0171190849939734,0.0732757192387956,0.0508590806708103,-0.0145023603551729
"GRHL2",-0.0014823192763725,-0.0014823192763725,0.0985176807236275,-0.00850747105434301,-0.00850747105434301,-0.00850747105434301,-0.00850747105434301,-0.00850747105434301,-0.00850747105434301,-0.00878597018067975,0.00228799856981028,0.0344212896671907,0.00878597018067975,-0.00276729678858033
"ZEB1",-0.110961471741978,-0.110961471741978,-0.110961471741978,-0.104973178180519,-0.104973178180519,-0.104973178180519,-0.104973178180519,-0.104973178180519,-0.104973178180519,-0.0860664086864118,0.00973824542275716,0.0386603786997278,0.0860664086864118,0.09924114944143
"TGFB",-0.0334456156062183,-0.0334456156062183,-0.0334456156062183,-0.0171190849939734,-0.0171190849939734,-0.0171190849939734,-0.0171190849939734,-0.0171190849939734,-0.0171190849939734,0.0786296152210059,0.0304397681059278,-0.0336275460317591,-0.0786296152210059,-0.0568352192626615
"MIR340",-0.104137942330213,-0.104137942330213,-0.104137942330213,-0.110961471741978,-0.110961471741978,-0.110961471741978,-0.110961471741978,-0.110961471741978,-0.110961471741978,-0.0959742427877943,0.104973178180519,0.0249043978384837,0.0959742427877943,0.0893012511520172
"CD44s",-0.104137942330213,-0.104137942330213,-0.104137942330213,-0.110961471741978,-0.110961471741978,-0.110961471741978,-0.110961471741978,-0.110961471741978,-0.110961471741978,-0.0959742427877943,0.104973178180519,0.0249043978384837,0.0959742427877943,0.0893012511520172
"ESRP1",-0.111728701406121,-0.0117287014061208,-0.111728701406121,-0.104137942330213,-0.104137942330213,-0.104137942330213,-0.104137942330213,-0.104137942330213,-0.104137942330213,-0.0840168932066823,0.110961471741978,0.0417709046330481,0.0840168932066823,0.101096122946889
