"","TGFB","MIR200","CD24","MIR340","MIR190","HAS2","GRHL2","ESRP1","SNAIL1","ZEB1","MIR1199","HA","CD44s","MIR34"
"TGFB",0.294583583695644,0.349594429682309,0.109929229942052,0.112378209533889,0.112378209533889,0.112378209533889,0.112378209533889,0.112378209533889,-0.545585661368315,-0.11461729871795,-0.112378209533889,-0.109929229942052,-0.109929229942052,0.233319289078374
"MIR34",0.294583583695644,0.349594429682309,0.109929229942052,0.112378209533889,0.112378209533889,0.112378209533889,0.112378209533889,0.112378209533889,-0.545585661368315,-0.11461729871795,-0.112378209533889,-0.109929229942052,-0.109929229942052,0.233319289078374
"MIR190",0.391398870319848,0.342293256279441,0.111291627762216,0.109929229942052,0.109929229942052,0.109929229942052,0.109929229942052,0.109929229942052,-0.535030857579411,-0.112378209533889,-0.109929229942052,-0.111291627762216,-0.111291627762216,0.22914718999102
"ESRP1",0.0668833454652445,0.0695906584474842,0.0645326716294458,0.0661828366459475,0.0661828366459475,0.0661828366459475,0.0661828366459475,0.0661828366459475,0.0500990659663483,-0.0713593072341828,-0.0661828366459475,-0.0645326716294458,-0.164532671629446,-0.0750760178285151
"MIR340",0.0691910377729368,0.0740841847231887,0.0661828366459475,0.0713593072341828,0.0713593072341828,0.0713593072341828,0.0713593072341828,0.0713593072341828,0.0516178509383707,-0.0705038367254029,-0.0713593072341828,-0.0661828366459475,-0.0661828366459475,-0.0772847002352173
"MIR1199",0.0691910377729368,0.0740841847231887,0.0661828366459475,0.0713593072341828,0.0713593072341828,0.0713593072341828,0.0713593072341828,0.0713593072341828,0.0516178509383707,-0.0705038367254029,-0.0713593072341828,-0.0661828366459475,-0.0661828366459475,-0.0772847002352173
"HA",0.0691910377729368,0.0740841847231887,0.0661828366459475,0.0713593072341828,0.0713593072341828,0.0713593072341828,0.0713593072341828,0.0713593072341828,0.0516178509383707,-0.0705038367254029,-0.0713593072341828,-0.0661828366459475,-0.0661828366459475,-0.0772847002352173
"CD24",0.0691910377729368,0.0740841847231887,0.0661828366459475,0.0713593072341828,0.0713593072341828,0.0713593072341828,0.0713593072341828,0.0713593072341828,0.0516178509383707,-0.0705038367254029,-0.0713593072341828,-0.0661828366459475,-0.0661828366459475,-0.0772847002352173
"ZEB1",-0.0739529425348415,-0.0729897146771058,-0.0713593072341828,-0.0705038367254029,-0.0705038367254029,-0.0705038367254029,-0.0705038367254029,-0.0705038367254029,-0.0525149801249736,-0.0314387168193422,0.0705038367254029,0.0713593072341828,0.0713593072341828,0.0772847002352173
"GRHL2",0.0184707254576602,0.0182642644246333,0.116148827980506,0.0127663474948163,0.0127663474948163,0.0127663474948163,0.0127663474948163,0.0127663474948163,-0.0522568975487389,-0.0148177965342172,-0.0127663474948163,-0.0161488279805058,-0.0161488279805058,-0.0108184602366739
"MIR200",0.178928257226411,0.0952008906961082,-0.0484331528974644,-0.0524594470634463,-0.0524594470634463,-0.0524594470634463,-0.0524594470634463,-0.0524594470634463,-0.290692293171558,0.0511161168541367,0.0524594470634463,0.0484331528974644,0.0484331528974644,0.227219233342536
"CD44s",-0.0691910377729368,-0.0740841847231887,-0.0661828366459475,-0.0713593072341828,-0.0713593072341828,-0.0713593072341828,-0.0713593072341828,-0.0713593072341828,-0.0516178509383707,0.0705038367254029,0.0713593072341828,0.0661828366459475,0.0661828366459475,0.0772847002352173
"HAS2",-0.0668833454652445,-0.0695906584474842,-0.0645326716294458,-0.0661828366459475,-0.0661828366459475,-0.0661828366459475,-0.0661828366459475,-0.0661828366459475,-0.0500990659663483,0.0713593072341828,0.0661828366459475,-0.0354673283705542,0.0645326716294458,0.0750760178285151
"SNAIL1",-0.299993289344013,-0.354821757666749,-0.112378209533889,-0.11461729871795,-0.11461729871795,-0.11461729871795,-0.11461729871795,-0.11461729871795,0.451908372546868,0.114829974175202,0.11461729871795,0.112378209533889,0.112378209533889,-0.235677664959726
