"","MIR340","MIR190","HAS2","GRHL2","ESRP1","HA","CD44s","MIR34","MIR200","TGFB","ZEB1","SNAIL1","CD24","MIR1199"
"GRHL2",0.235321748585221,0.235321748585221,0.235321748585221,0.235321748585221,0.235321748585221,0.235408478854085,0.235408478854085,0.24770838038137,0.199647604796989,0.0130741234750929,-0.235549687367377,-0.111420121608987,-0.335408478854085,-0.235321748585221
"MIR1199",0.151519802221063,0.151519802221063,0.151519802221063,0.151519802221063,0.151519802221063,0.151284508103416,0.151284508103416,0.141727689289035,0.117704461192665,0.00455175013289256,-0.151744926039163,-0.0872129393273303,-0.151284508103416,-0.151519802221063
"HA",0.151519802221063,0.151519802221063,0.151519802221063,0.151519802221063,0.151519802221063,0.151284508103416,0.151284508103416,0.141727689289035,0.117704461192665,0.00455175013289256,-0.151744926039163,-0.0872129393273303,-0.151284508103416,-0.151519802221063
"CD44s",0.151519802221063,0.151519802221063,0.151519802221063,0.151519802221063,0.151519802221063,0.151284508103416,0.151284508103416,0.141727689289035,0.117704461192665,0.00455175013289256,-0.151744926039163,-0.0872129393273303,-0.151284508103416,-0.151519802221063
"HAS2",0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.252274607113317,0.152274607113317,0.139823652731533,0.119303851900966,0.00583380141494384,-0.151519802221063,-0.0904903174248523,-0.152274607113317,-0.151284508103416
"ESRP1",0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.151284508103416,0.152274607113317,0.252274607113317,0.139823652731533,0.119303851900966,0.00583380141494384,-0.151519802221063,-0.0904903174248523,-0.152274607113317,-0.151284508103416
"TGFB",0.118169863161735,0.118169863161735,0.118169863161735,0.118169863161735,0.118169863161735,0.120006597855612,0.120006597855612,-0.0151811689922467,0.136757279263858,-0.0805943223576767,-0.119498136406516,0.028450255453019,-0.120006597855612,-0.118169863161735
"SNAIL1",0.119498136406516,0.119498136406516,0.119498136406516,0.119498136406516,0.119498136406516,0.118169863161735,0.118169863161735,-0.00937032532582313,0.132648356336554,-0.0848107105836115,-0.118661612941324,-0.061838060176723,-0.118169863161735,-0.119498136406516
"MIR190",0.120006597855612,0.120006597855612,0.120006597855612,0.120006597855612,0.120006597855612,0.116464363523187,0.116464363523187,-0.0070977270104996,0.131020643018747,0.0134608793408371,-0.118169863161735,0.0422526911769703,-0.116464363523187,-0.120006597855612
"MIR200",0.109142288427941,0.109142288427941,0.109142288427941,0.109142288427941,0.109142288427941,0.110046150383569,0.110046150383569,0.206086847777671,-0.00379275468585265,0.00460457624931492,-0.109860813888734,-0.107954743269777,-0.110046150383569,-0.109142288427941
"ZEB1",-0.151744926039163,-0.151744926039163,-0.151744926039163,-0.151744926039163,-0.151744926039163,-0.151519802221063,-0.151519802221063,-0.140690822929588,-0.119029345985291,-0.0056150880894344,0.0518943532349124,0.0894856666000576,0.151519802221063,0.151744926039163
"MIR34",-0.118169863161735,-0.118169863161735,-0.118169863161735,-0.118169863161735,-0.118169863161735,-0.120006597855612,-0.120006597855612,0.0151811689922467,-0.136757279263858,0.0805943223576767,0.119498136406516,-0.028450255453019,0.120006597855612,0.118169863161735
"MIR340",-0.151519802221063,-0.151519802221063,-0.151519802221063,-0.151519802221063,-0.151519802221063,-0.151284508103416,-0.151284508103416,-0.141727689289035,-0.117704461192665,-0.00455175013289256,0.151744926039163,0.0872129393273303,0.151284508103416,0.151519802221063
"CD24",-0.151519802221063,-0.151519802221063,-0.151519802221063,-0.151519802221063,-0.151519802221063,-0.151284508103416,-0.151284508103416,-0.141727689289035,-0.117704461192665,-0.00455175013289256,0.151744926039163,0.0872129393273303,0.151284508103416,0.151519802221063
