"","MIR200","HA","CD44s","MIR340","MIR190","MIR1199","MIR34","ZEB1","HAS2","GRHL2","ESRP1","CD24","TGFB","SNAIL1"
"GRHL2",0.226848972117829,0.189882672232533,0.189882672232533,0.190316323576852,0.190316323576852,0.190316323576852,0.159979699015844,-0.190414011626347,-0.190316323576852,-0.190316323576852,-0.190316323576852,-0.0898826722325325,-0.210838026389021,-0.140006545169267
"MIR340",0.123787420734487,0.0915740035542016,0.0915740035542016,0.0925151800247898,0.0925151800247898,0.0925151800247898,0.0650621899159828,-0.0922900562066899,-0.0925151800247898,-0.0925151800247898,-0.0925151800247898,-0.0915740035542016,-0.10976358388265,-0.11328747469207
"MIR1199",0.123787420734487,0.0915740035542016,0.0915740035542016,0.0925151800247898,0.0925151800247898,0.0925151800247898,0.0650621899159828,-0.0922900562066899,-0.0925151800247898,-0.0925151800247898,-0.0925151800247898,-0.0915740035542016,-0.10976358388265,-0.11328747469207
"HA",0.123787420734487,0.0915740035542016,0.0915740035542016,0.0925151800247898,0.0925151800247898,0.0925151800247898,0.0650621899159828,-0.0922900562066899,-0.0925151800247898,-0.0925151800247898,-0.0925151800247898,-0.0915740035542016,-0.10976358388265,-0.11328747469207
"CD44s",0.123787420734487,0.0915740035542016,0.0915740035542016,0.0925151800247898,0.0925151800247898,0.0925151800247898,0.0650621899159828,-0.0922900562066899,-0.0925151800247898,-0.0925151800247898,-0.0925151800247898,-0.0915740035542016,-0.10976358388265,-0.11328747469207
"CD24",0.123787420734487,0.0915740035542016,0.0915740035542016,0.0925151800247898,0.0925151800247898,0.0925151800247898,0.0650621899159828,-0.0922900562066899,-0.0925151800247898,-0.0925151800247898,-0.0925151800247898,-0.0915740035542016,-0.10976358388265,-0.11328747469207
"SNAIL1",-0.00481354669053925,0.0908851702957901,0.0908851702957901,0.0912267262730197,0.0912267262730197,0.0912267262730197,0.0944461087229723,-0.0914110450026383,-0.0912267262730197,-0.0912267262730197,-0.0912267262730197,-0.0908851702957901,0.00676059163276976,-0.101334222405544
"TGFB",-0.0053727492191072,0.0921096600917085,0.0921096600917085,0.0908851702957901,0.0908851702957901,0.0908851702957901,0.0945676744900523,-0.0912267262730197,-0.0908851702957901,-0.0908851702957901,-0.0908851702957901,-0.0921096600917085,0.00501039274653269,-0.000878987200688562
"ZEB1",-0.123384194928036,-0.0925151800247898,-0.0925151800247898,-0.0922900562066899,-0.0922900562066899,-0.0922900562066899,-0.0651773972892546,-0.00779295890205994,0.0922900562066899,0.0922900562066899,0.0922900562066899,0.0925151800247898,0.11101185017946,0.113108048854749
"MIR190",0.00328669967543054,-0.0902023031434796,-0.0902023031434796,-0.0921096600917085,-0.0921096600917085,-0.0921096600917085,-0.0940461621041331,0.0908851702957901,0.0921096600917085,0.0921096600917085,0.0921096600917085,0.0902023031434796,-0.10755816344717,-6.82387803669186e-05
"MIR34",0.0053727492191072,-0.0921096600917085,-0.0921096600917085,-0.0908851702957901,-0.0908851702957901,-0.0908851702957901,-0.0945676744900523,0.0912267262730197,0.0908851702957901,0.0908851702957901,0.0908851702957901,0.0921096600917085,-0.00501039274653269,0.000878987200688562
"HAS2",-0.122340352950786,-0.192564102564103,-0.0925641025641026,-0.0915740035542016,-0.0915740035542016,-0.0915740035542016,-0.065290674302883,0.0925151800247898,0.0915740035542016,0.0915740035542016,0.0915740035542016,0.0925641025641026,0.111302045421111,0.114006899152501
"ESRP1",-0.122340352950786,-0.0925641025641026,-0.192564102564103,-0.0915740035542016,-0.0915740035542016,-0.0915740035542016,-0.065290674302883,0.0925151800247898,0.0915740035542016,0.0915740035542016,0.0915740035542016,0.0925641025641026,0.111302045421111,0.114006899152501
"MIR200",-0.0439552805338581,-0.111524519060208,-0.111524519060208,-0.11275705809061,-0.11275705809061,-0.11275705809061,-0.174260195619179,0.112225974054372,0.11275705809061,0.11275705809061,0.11275705809061,0.111524519060208,-0.070028828912652,0.00696961011332165
