"","MIR340","MIR1199","GRHL2","ESRP1","HA","MIR34","ZEB1","TGFB","MIR200","CD44s","CD24","MIR190","HAS2","SNAIL1"
"TGFB",0.1780772290751,0.1780772290751,0.1780772290751,0.1780772290751,0.181954780095508,-0.0862385997062407,-0.179177798335062,0.147224625545161,0.0862385997062407,-0.181954780095508,-0.181954780095508,-0.1780772290751,-0.1780772290751,-0.259505826490561
"MIR34",0.1780772290751,0.1780772290751,0.1780772290751,0.1780772290751,0.181954780095508,-0.0862385997062407,-0.179177798335062,0.147224625545161,0.0862385997062407,-0.181954780095508,-0.181954780095508,-0.1780772290751,-0.1780772290751,-0.259505826490561
"MIR200",0.126082968640458,0.126082968640458,0.126082968640458,0.126082968640458,0.123042705698798,-0.0275485669286789,-0.125301962704813,0.224687140214315,0.0275485669286789,-0.123042705698798,-0.123042705698798,-0.126082968640458,-0.126082968640458,-0.22665717350664
"MIR340",0.0740825424536323,0.0740825424536323,0.0740825424536323,0.0740825424536323,0.06867077774775,0.0492402462673119,-0.0746678643806922,0.01735101410579,-0.0492402462673119,-0.06867077774775,-0.06867077774775,-0.0740825424536323,-0.0740825424536323,-0.110358448922697
"HA",0.0740825424536323,0.0740825424536323,0.0740825424536323,0.0740825424536323,0.06867077774775,0.0492402462673119,-0.0746678643806922,0.01735101410579,-0.0492402462673119,-0.06867077774775,-0.06867077774775,-0.0740825424536323,-0.0740825424536323,-0.110358448922697
"CD44s",0.0740825424536323,0.0740825424536323,0.0740825424536323,0.0740825424536323,0.06867077774775,0.0492402462673119,-0.0746678643806922,0.01735101410579,-0.0492402462673119,-0.06867077774775,-0.06867077774775,-0.0740825424536323,-0.0740825424536323,-0.110358448922697
"CD24",0.0740825424536323,0.0740825424536323,0.0740825424536323,0.0740825424536323,0.06867077774775,0.0492402462673119,-0.0746678643806922,0.01735101410579,-0.0492402462673119,-0.06867077774775,-0.06867077774775,-0.0740825424536323,-0.0740825424536323,-0.110358448922697
"ZEB1",-0.0746678643806922,-0.0746678643806922,-0.0746678643806922,-0.0746678643806922,-0.0740825424536323,-0.050219508940123,-0.0274407193815525,-0.0165650686596504,0.050219508940123,0.0740825424536323,0.0740825424536323,0.0746678643806922,0.0746678643806922,0.111853664233702
"HAS2",-0.06867077774775,-0.06867077774775,-0.06867077774775,-0.06867077774775,-0.169660876757651,-0.0444420741424071,0.0740825424536323,-0.0163253730801489,0.0444420741424071,0.069660876757651,0.069660876757651,0.06867077774775,0.06867077774775,0.112037105997037
"ESRP1",-0.06867077774775,-0.06867077774775,-0.06867077774775,-0.06867077774775,-0.069660876757651,-0.0444420741424071,0.0740825424536323,-0.0163253730801489,0.0444420741424071,-0.0303391232423491,0.069660876757651,0.06867077774775,0.06867077774775,0.112037105997037
"MIR1199",-0.0740825424536323,-0.0740825424536323,-0.0740825424536323,-0.0740825424536323,-0.06867077774775,-0.0492402462673119,0.0746678643806922,-0.01735101410579,0.0492402462673119,0.06867077774775,0.06867077774775,0.0740825424536323,0.0740825424536323,0.110358448922697
"GRHL2",-0.151941705641132,-0.151941705641132,-0.151941705641132,-0.151941705641132,-0.148212304079987,-0.128539124759829,0.153862903947872,-0.0193350683694483,0.128539124759829,0.148212304079987,0.0482123040799872,0.151941705641132,0.151941705641132,0.136855422255783
"MIR190",-0.181954780095508,-0.181954780095508,-0.181954780095508,-0.181954780095508,-0.184407096171802,0.0821968787153671,0.1780772290751,-0.247012311320108,-0.0821968787153671,0.184407096171802,0.184407096171802,0.181954780095508,0.181954780095508,0.258964554501387
"SNAIL1",-0.179177798335062,-0.179177798335062,-0.179177798335062,-0.179177798335062,-0.1780772290751,0.0857280234845047,0.180836666901629,-0.148179279483109,-0.0857280234845047,0.1780772290751,0.1780772290751,0.179177798335062,0.179177798335062,0.158190702565422
