"","MIR1199","HAS2","GRHL2","HA","MIR200","TGFB","SNAIL1","ZEB1","MIR34","CD44s","CD24","MIR340","MIR190","ESRP1"
"MIR1199",0.363723877365112,0.363723877365112,0.363723877365112,0.336194465600406,0.324854178713477,-0.0110038847834384,-0.146863186126029,-0.367460932745571,-0.324854178713477,-0.336194465600406,-0.336194465600406,-0.363723877365112,-0.363723877365112,-0.363723877365112
"HA",0.363723877365112,0.363723877365112,0.363723877365112,0.336194465600406,0.324854178713477,-0.0110038847834384,-0.146863186126029,-0.367460932745571,-0.324854178713477,-0.336194465600406,-0.336194465600406,-0.363723877365112,-0.363723877365112,-0.363723877365112
"CD44s",0.363723877365112,0.363723877365112,0.363723877365112,0.336194465600406,0.324854178713477,-0.0110038847834384,-0.146863186126029,-0.367460932745571,-0.324854178713477,-0.336194465600406,-0.336194465600406,-0.363723877365112,-0.363723877365112,-0.363723877365112
"CD24",0.363723877365112,0.363723877365112,0.363723877365112,0.336194465600406,0.324854178713477,-0.0110038847834384,-0.146863186126029,-0.367460932745571,-0.324854178713477,-0.336194465600406,-0.336194465600406,-0.363723877365112,-0.363723877365112,-0.363723877365112
"HAS2",0.336194465600406,0.336194465600406,0.336194465600406,0.432564102564103,0.295988984501748,-0.016644910424464,-0.163569820818275,-0.363723877365112,-0.295988984501748,-0.332564102564103,-0.332564102564103,-0.336194465600406,-0.336194465600406,-0.336194465600406
"ESRP1",0.336194465600406,0.336194465600406,0.336194465600406,0.332564102564103,0.295988984501748,-0.016644910424464,-0.163569820818275,-0.363723877365112,-0.295988984501748,-0.232564102564103,-0.332564102564103,-0.336194465600406,-0.336194465600406,-0.336194465600406
"MIR200",0.244697577712223,0.244697577712223,0.244697577712223,0.233769064975986,0.120740917186846,-0.00642253912263461,0.00251737775902998,-0.249289892613816,-0.120740917186846,-0.233769064975986,-0.233769064975986,-0.244697577712223,-0.244697577712223,-0.244697577712223
"TGFB",0.216775693625921,0.216775693625921,0.216775693625921,0.223306305870819,0.214554458923901,-0.095677685912044,-0.0922156029567448,-0.232828824555713,-0.214554458923901,-0.223306305870819,-0.223306305870819,-0.216775693625921,-0.216775693625921,-0.216775693625921
"GRHL2",0.136063306782171,0.136063306782171,0.136063306782171,0.116722456825536,0.127887010008232,-0.00621085669997413,-0.0920852676529633,-0.131146341624242,-0.127887010008232,-0.116722456825536,-0.216722456825536,-0.136063306782171,-0.136063306782171,-0.136063306782171
"MIR190",-0.223306305870819,-0.223306305870819,-0.223306305870819,-0.195785869903517,-0.218205045625335,-0.00410999986290289,0.0869382010622928,0.216775693625921,0.218205045625335,0.195785869903517,0.195785869903517,0.223306305870819,0.223306305870819,0.223306305870819
"SNAIL1",-0.232828824555713,-0.232828824555713,-0.232828824555713,-0.216775693625921,-0.226735348785316,0.0959959038913599,-0.0111227885455314,0.228986487961356,0.226735348785316,0.216775693625921,0.216775693625921,0.232828824555713,0.232828824555713,0.232828824555713
"MIR34",-0.216775693625921,-0.216775693625921,-0.216775693625921,-0.223306305870819,-0.214554458923901,0.095677685912044,0.0922156029567448,0.232828824555713,0.214554458923901,0.223306305870819,0.223306305870819,0.216775693625921,0.216775693625921,0.216775693625921
"ZEB1",-0.367460932745571,-0.367460932745571,-0.367460932745571,-0.363723877365112,-0.321225146455412,0.0177075371181587,0.16576270765713,0.281756134472286,0.321225146455412,0.363723877365112,0.363723877365112,0.367460932745571,0.367460932745571,0.367460932745571
"MIR340",-0.363723877365112,-0.363723877365112,-0.363723877365112,-0.336194465600406,-0.324854178713477,0.0110038847834384,0.146863186126029,0.367460932745571,0.324854178713477,0.336194465600406,0.336194465600406,0.363723877365112,0.363723877365112,0.363723877365112
