"","MIR34","MIR200","HA","CD44s","MIR340","HAS2","GRHL2","ESRP1","ZEB1","TGFB","MIR190","MIR1199","CD24","SNAIL1"
"SNAIL1",-0.0312588449461261,-0.0312588449461261,0.103867399820964,0.103867399820964,0.104208955798193,0.104208955798193,0.104208955798193,0.104208955798193,-0.104024637068575,-0.090019306768415,-0.104208955798193,-0.104208955798193,-0.103867399820964,-0.0386430584547878
"HAS2",0.0792752481209751,0.0792752481209751,0.15066170388751,0.0506617038875103,0.05033167088421,0.05033167088421,0.05033167088421,0.05033167088421,-0.0508022591195041,0.00387301710121835,-0.05033167088421,-0.05033167088421,-0.0506617038875103,-0.0811465821650524
"MIR340",0.0805699929800764,0.0805699929800764,0.05033167088421,0.05033167088421,0.0508022591195041,0.0508022591195041,0.0508022591195041,0.0508022591195041,-0.0503970362469242,0.00284737607557732,-0.0508022591195041,-0.0508022591195041,-0.05033167088421,-0.0797876692953482
"MIR1199",0.0805699929800764,0.0805699929800764,0.05033167088421,0.05033167088421,0.0508022591195041,0.0508022591195041,0.0508022591195041,0.0508022591195041,-0.0503970362469242,0.00284737607557732,-0.0508022591195041,-0.0508022591195041,-0.05033167088421,-0.0797876692953482
"HA",0.0805699929800764,0.0805699929800764,0.05033167088421,0.05033167088421,0.0508022591195041,0.0508022591195041,0.0508022591195041,0.0508022591195041,-0.0503970362469242,0.00284737607557732,-0.0508022591195041,-0.0508022591195041,-0.05033167088421,-0.0797876692953482
"CD24",0.0805699929800764,0.0805699929800764,0.05033167088421,0.05033167088421,0.0508022591195041,0.0508022591195041,0.0508022591195041,0.0508022591195041,-0.0503970362469242,0.00284737607557732,-0.0508022591195041,-0.0508022591195041,-0.05033167088421,-0.0797876692953482
"ZEB1",-0.0798211450538091,-0.0798211450538091,-0.0508022591195041,-0.0508022591195041,-0.0503970362469242,-0.0503970362469242,-0.0503970362469242,-0.0503970362469242,-0.049519948644326,-0.0034483931814488,0.0503970362469242,0.0503970362469242,0.0508022591195041,0.0805651812570707
"GRHL2",-0.00239825614694027,-0.00239825614694027,-0.0164650574456809,-0.0164650574456809,-0.0160314061013617,-0.0160314061013617,-0.0160314061013617,-0.0160314061013617,0.0164547209825079,0.00318346625988503,0.0160314061013617,0.0160314061013617,-0.0835349425543191,-0.064928734372841
"CD44s",-0.0805699929800764,-0.0805699929800764,-0.05033167088421,-0.05033167088421,-0.0508022591195041,-0.0508022591195041,-0.0508022591195041,-0.0508022591195041,0.0503970362469242,-0.00284737607557732,0.0508022591195041,0.0508022591195041,0.05033167088421,0.0797876692953482
"ESRP1",-0.0792752481209751,-0.0792752481209751,-0.0506617038875103,0.0493382961124897,-0.05033167088421,-0.05033167088421,-0.05033167088421,-0.05033167088421,0.0508022591195041,-0.00387301710121835,0.05033167088421,0.05033167088421,0.0506617038875103,0.0811465821650524
"MIR200",-0.0053065633186304,-0.0053065633186304,-0.087051113323644,-0.087051113323644,-0.0877906367418855,-0.0877906367418855,-0.0877906367418855,-0.0877906367418855,0.0873845136553501,0.197873726252957,0.0877906367418855,0.0877906367418855,0.087051113323644,-0.0368653701178074
"MIR190",0.0306756462544083,0.0306756462544083,-0.102913165266106,-0.102913165266106,-0.10427556308627,-0.10427556308627,-0.10427556308627,-0.10427556308627,0.103867399820964,0.190577201665273,0.10427556308627,0.10427556308627,0.102913165266106,-0.0622056051003179
"TGFB",0.032109805315686,0.032109805315686,-0.10427556308627,-0.10427556308627,-0.103867399820964,-0.103867399820964,-0.103867399820964,-0.103867399820964,0.104208955798193,0.0893033163149544,0.103867399820964,0.103867399820964,0.10427556308627,-0.0604464711355006
"MIR34",0.032109805315686,0.032109805315686,-0.10427556308627,-0.10427556308627,-0.103867399820964,-0.103867399820964,-0.103867399820964,-0.103867399820964,0.104208955798193,0.0893033163149544,0.103867399820964,0.103867399820964,0.10427556308627,-0.0604464711355006
