"","SNAIL1","HA","CD24","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR34","ZEB1","MIR200","TGFB","MIR340","CD44s"
"MIR1199",0.135502048095003,0.109888050839823,0.109888050839823,0.117652756722176,0.117652756722176,0.117652756722176,0.117652756722176,0.117652756722176,0.0908749508581378,-0.112024661269678,-0.0908749508581378,-0.0972549791170937,-0.117652756722176,-0.109888050839823
"CD44s",0.135502048095003,0.109888050839823,0.109888050839823,0.117652756722176,0.117652756722176,0.117652756722176,0.117652756722176,0.117652756722176,0.0908749508581378,-0.112024661269678,-0.0908749508581378,-0.0972549791170937,-0.117652756722176,-0.109888050839823
"MIR34",0.0300117833454972,0.111335573890471,0.111335573890471,0.108478431033328,0.108478431033328,0.108478431033328,0.108478431033328,0.108478431033328,-0.00766810240786416,-0.110489816232569,0.00766810240786416,-0.000676909319520698,-0.108478431033328,-0.111335573890471
"SNAIL1",-0.0700387983439312,0.108478431033328,0.108478431033328,0.110489816232569,0.110489816232569,0.110489816232569,0.110489816232569,0.110489816232569,-0.00623362635632028,-0.109114514942338,0.00623362635632028,0.00170972552534804,-0.110489816232569,-0.108478431033328
"MIR190",0.0304177373373782,0.107793339558045,0.107793339558045,0.111335573890471,0.111335573890471,0.111335573890471,0.111335573890471,0.111335573890471,-0.0055820528641875,-0.108478431033328,0.0055820528641875,-0.0981291386188837,-0.111335573890471,-0.107793339558045
"MIR200",0.0102523524857268,0.0939403607954437,0.0939403607954437,0.0982953320361997,0.0982953320361997,0.0982953320361997,0.0982953320361997,0.0982953320361997,0.170382339728452,-0.0952650290058966,-0.170382339728452,-0.0789721557349409,-0.0982953320361997,-0.0939403607954437
"GRHL2",0.0919288999970641,0.0120618437117396,0.11206184371174,0.0208216008669868,0.0208216008669868,0.0208216008669868,0.0208216008669868,0.0208216008669868,0.00408669348645118,-0.0146021283824541,-0.00408669348645118,-0.00517230639711958,-0.0208216008669868,-0.0120618437117396
"ZEB1",-0.135382430870123,-0.117652756722176,-0.117652756722176,-0.112024661269678,-0.112024661269678,-0.112024661269678,-0.112024661269678,-0.112024661269678,-0.0872459186000733,0.0159263713809177,0.0872459186000733,0.103496310601144,0.112024661269678,0.117652756722176
"TGFB",-0.0300117833454972,-0.111335573890471,-0.111335573890471,-0.108478431033328,-0.108478431033328,-0.108478431033328,-0.108478431033328,-0.108478431033328,0.00766810240786416,0.110489816232569,-0.00766810240786416,0.000676909319520698,0.108478431033328,0.111335573890471
"MIR340",-0.135502048095003,-0.109888050839823,-0.109888050839823,-0.117652756722176,-0.117652756722176,-0.117652756722176,-0.117652756722176,-0.117652756722176,-0.0908749508581378,0.112024661269678,0.0908749508581378,0.0972549791170937,0.117652756722176,0.109888050839823
"HA",-0.135502048095003,-0.109888050839823,-0.109888050839823,-0.117652756722176,-0.117652756722176,-0.117652756722176,-0.117652756722176,-0.117652756722176,-0.0908749508581378,0.112024661269678,0.0908749508581378,0.0972549791170937,0.117652756722176,0.109888050839823
"CD24",-0.135502048095003,-0.109888050839823,-0.109888050839823,-0.117652756722176,-0.117652756722176,-0.117652756722176,-0.117652756722176,-0.117652756722176,-0.0908749508581378,0.112024661269678,0.0908749508581378,0.0972549791170937,0.117652756722176,0.109888050839823
"HAS2",-0.135422112043844,-0.021439205955335,-0.121439205955335,-0.109888050839823,-0.109888050839823,-0.109888050839823,-0.109888050839823,-0.109888050839823,-0.0856198099594326,0.117652756722176,0.0856198099594326,0.106485748347863,0.109888050839823,0.121439205955335
"ESRP1",-0.135422112043844,-0.121439205955335,-0.121439205955335,-0.109888050839823,-0.109888050839823,-0.109888050839823,-0.109888050839823,-0.109888050839823,-0.0856198099594326,0.117652756722176,0.0856198099594326,0.106485748347863,0.109888050839823,0.021439205955335
