"","ZEB1","MIR200","MIR34","CD24","TGFB","MIR340","MIR190","HAS2","GRHL2","ESRP1","MIR1199","HA","CD44s","SNAIL1"
"ZEB1",-0.0877759441355231,-0.0755728516690706,-0.0265671187198973,-0.0162337940114257,-0.013502058039401,-0.0124066891037264,-0.0124066891037264,-0.0124066891037264,-0.0124066891037264,-0.0124066891037264,0.0124066891037264,0.0162337940114257,0.0162337940114257,0.106975383967837
"TGFB",-0.0633125690384364,-0.0911255461713752,0.150357433244496,0.0640522197374257,-0.114846282708029,0.064868546268038,0.064868546268038,0.064868546268038,0.064868546268038,0.064868546268038,-0.064868546268038,-0.0640522197374257,-0.0640522197374257,0.127085022279323
"SNAIL1",-0.06111492264683,-0.0905663436428073,0.147804552135817,0.064868546268038,-0.1147667282132,0.0633125690384364,0.0633125690384364,0.0633125690384364,0.0633125690384364,0.0633125690384364,-0.0633125690384364,-0.064868546268038,-0.064868546268038,0.0248594279444723
"MIR200",-0.0517185258983955,-0.0107052929676811,0.16802338887979,0.0523984695376188,0.00629503463763333,0.0541240241801825,0.0541240241801825,0.0541240241801825,0.0541240241801825,0.0541240241801825,-0.0541240241801825,-0.0523984695376188,-0.0523984695376188,0.0709349791205273
"MIR340",-0.0124066891037264,0.0768977364616973,0.0301385472913258,0.017410264599661,0.0120688634023228,0.0162337940114257,0.0162337940114257,0.0162337940114257,0.0162337940114257,0.0162337940114257,-0.0162337940114257,-0.017410264599661,-0.017410264599661,-0.107035192580277
"MIR1199",-0.0124066891037264,0.0768977364616973,0.0301385472913258,0.017410264599661,0.0120688634023228,0.0162337940114257,0.0162337940114257,0.0162337940114257,0.0162337940114257,0.0162337940114257,-0.0162337940114257,-0.017410264599661,-0.017410264599661,-0.107035192580277
"HA",-0.0124066891037264,0.0768977364616973,0.0301385472913258,0.017410264599661,0.0120688634023228,0.0162337940114257,0.0162337940114257,0.0162337940114257,0.0162337940114257,0.0162337940114257,-0.0162337940114257,-0.017410264599661,-0.017410264599661,-0.107035192580277
"CD44s",-0.0124066891037264,0.0768977364616973,0.0301385472913258,0.017410264599661,0.0120688634023228,0.0162337940114257,0.0162337940114257,0.0162337940114257,0.0162337940114257,0.0162337940114257,-0.0162337940114257,-0.017410264599661,-0.017410264599661,-0.107035192580277
"CD24",0.0124066891037264,-0.0768977364616973,-0.0301385472913258,-0.017410264599661,-0.0120688634023228,-0.0162337940114257,-0.0162337940114257,-0.0162337940114257,-0.0162337940114257,-0.0162337940114257,0.0162337940114257,0.017410264599661,0.017410264599661,0.107035192580277
"HAS2",0.0162337940114257,-0.0752983457533957,-0.033261167245629,-0.0170802315963606,-0.0120688634023228,-0.017410264599661,-0.017410264599661,-0.017410264599661,-0.017410264599661,-0.017410264599661,0.017410264599661,-0.0829197684036394,0.0170802315963606,0.103917686585073
"ESRP1",0.0162337940114257,-0.0752983457533957,-0.033261167245629,-0.0170802315963606,-0.0120688634023228,-0.017410264599661,-0.017410264599661,-0.017410264599661,-0.017410264599661,-0.017410264599661,0.017410264599661,0.0170802315963606,-0.0829197684036394,0.103917686585073
"MIR34",0.0633125690384364,0.0911255461713752,-0.150357433244496,-0.0640522197374257,0.114846282708029,-0.064868546268038,-0.064868546268038,-0.064868546268038,-0.064868546268038,-0.064868546268038,0.064868546268038,0.0640522197374257,0.0640522197374257,-0.127085022279323
"MIR190",0.064868546268038,0.0917774366537742,-0.149966298955057,-0.0556053532524121,0.0129354546825516,-0.0640522197374257,-0.0640522197374257,-0.0640522197374257,-0.0640522197374257,-0.0640522197374257,0.0640522197374257,0.0556053532524121,0.0556053532524121,-0.13141519819272
"GRHL2",0.147260311696848,-0.194703678462392,-0.137887619185687,-0.0511343390173058,-0.0150167134085791,-0.150353766597531,-0.150353766597531,-0.150353766597531,-0.150353766597531,-0.150353766597531,0.150353766597531,0.151134339017306,0.151134339017306,0.131395369869139
