"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","HA","MIR200","TGFB","ZEB1","SNAIL1","MIR34","CD44s","CD24","HAS2"
"GRHL2",0.234389678257404,0.234389678257404,0.234389678257404,0.234389678257404,0.234389678257404,0.234649869063996,0.242523915441988,-0.0107166828555696,-0.234487366306899,-0.0977470232541567,-0.203611015687774,-0.234649869063996,-0.334649869063996,-0.234389678257404
"HA",0.150521148655517,0.150521148655517,0.150521148655517,0.150521148655517,0.150521148655517,0.150991736890811,0.137343811804312,-0.00340303266915712,-0.150836322000857,-0.0732632506810945,-0.120712512543591,-0.150991736890811,-0.150991736890811,-0.150521148655517
"CD44s",0.150521148655517,0.150521148655517,0.150521148655517,0.150521148655517,0.150521148655517,0.150991736890811,0.137343811804312,-0.00340303266915712,-0.150836322000857,-0.0732632506810945,-0.120712512543591,-0.150991736890811,-0.150991736890811,-0.150521148655517
"MIR200",0.113826221984864,0.113826221984864,0.113826221984864,0.113826221984864,0.113826221984864,0.114401406865718,0.0235432418691726,-0.0104079735834223,-0.113919942697141,0.0221264064355171,-0.185452375968545,-0.114401406865718,-0.114401406865718,-0.113826221984864
"MIR190",0.0973813976089982,0.0973813976089982,0.0973813976089982,0.0973813976089982,0.0973813976089982,0.0965639589169001,0.105953837895867,0.0287257280998798,-0.0977895608743043,-0.0164087800271139,0.00857829548361852,-0.0965639589169001,-0.0965639589169001,-0.0973813976089982
"TGFB",0.0977895608743043,0.0977895608743043,0.0977895608743043,0.0977895608743043,0.0977895608743043,0.0973813976089982,0.105953837895867,-0.0712742719001202,-0.097523906225348,-0.0166794160217012,0.00805678309769936,-0.0973813976089982,-0.0973813976089982,-0.0977895608743043
"ZEB1",-0.150836322000857,-0.150836322000857,-0.150836322000857,-0.150836322000857,-0.150836322000857,-0.150521148655517,-0.13751662286422,0.00363419309449231,0.0509193371096063,0.0730838248437739,0.120942927290135,0.150521148655517,0.150521148655517,0.150836322000857
"MIR34",-0.0977895608743043,-0.0977895608743043,-0.0977895608743043,-0.0977895608743043,-0.0977895608743043,-0.0973813976089982,-0.105953837895867,0.0712742719001202,0.097523906225348,0.0166794160217012,-0.00805678309769936,0.0973813976089982,0.0973813976089982,0.0977895608743043
"SNAIL1",-0.097523906225348,-0.097523906225348,-0.097523906225348,-0.097523906225348,-0.097523906225348,-0.0977895608743043,-0.105880898435619,0.0711151629104623,0.0975664413167984,-0.083219420599442,-0.00832422778527534,0.0977895608743043,0.0977895608743043,0.097523906225348
"HAS2",-0.150991736890811,-0.150991736890811,-0.150991736890811,-0.150991736890811,-0.150991736890811,-0.25066170388751,-0.137267650342012,0.00365944292556738,0.150521148655517,0.0733431867322535,0.121397965704292,0.15066170388751,0.15066170388751,0.150991736890811
"ESRP1",-0.150991736890811,-0.150991736890811,-0.150991736890811,-0.150991736890811,-0.150991736890811,-0.15066170388751,-0.137267650342012,0.00365944292556738,0.150521148655517,0.0733431867322535,0.121397965704292,0.0506617038875103,0.15066170388751,0.150991736890811
"MIR340",-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150991736890811,-0.137343811804312,0.00340303266915712,0.150836322000857,0.0732632506810945,0.120712512543591,0.150991736890811,0.150991736890811,0.150521148655517
"MIR1199",-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150991736890811,-0.137343811804312,0.00340303266915712,0.150836322000857,0.0732632506810945,0.120712512543591,0.150991736890811,0.150991736890811,0.150521148655517
"CD24",-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150521148655517,-0.150991736890811,-0.137343811804312,0.00340303266915712,0.150836322000857,0.0732632506810945,0.120712512543591,0.150991736890811,0.150991736890811,0.150521148655517
