"","MIR340","MIR1199","HAS2","GRHL2","ESRP1","CD44s","CD24","SNAIL1","MIR34","MIR200","TGFB","ZEB1","HA","MIR190"
"SNAIL1",0.349262555607732,0.349262555607732,0.349262555607732,0.349262555607732,0.349262555607732,0.342393485399004,0.342393485399004,0.210942797360988,-8.8696456250378e-05,-8.8696456250378e-05,-0.157847862310402,-0.354239161307435,-0.342393485399004,-0.349262555607732
"MIR34",0.342393485399004,0.342393485399004,0.342393485399004,0.342393485399004,0.342393485399004,0.333005730296963,0.333005730296963,0.307199752343284,-0.00259295125809818,-0.00259295125809818,-0.156177217918993,-0.349262555607732,-0.333005730296963,-0.342393485399004
"MIR340",0.290123058810041,0.290123058810041,0.290123058810041,0.290123058810041,0.290123058810041,0.2814171764571,0.2814171764571,0.210052680068119,0.170067748051287,0.170067748051287,-0.0332354282226611,-0.29647155048046,-0.2814171764571,-0.290123058810041
"MIR1199",0.290123058810041,0.290123058810041,0.290123058810041,0.290123058810041,0.290123058810041,0.2814171764571,0.2814171764571,0.210052680068119,0.170067748051287,0.170067748051287,-0.0332354282226611,-0.29647155048046,-0.2814171764571,-0.290123058810041
"CD44s",0.290123058810041,0.290123058810041,0.290123058810041,0.290123058810041,0.290123058810041,0.2814171764571,0.2814171764571,0.210052680068119,0.170067748051287,0.170067748051287,-0.0332354282226611,-0.29647155048046,-0.2814171764571,-0.290123058810041
"HAS2",0.2814171764571,0.2814171764571,0.2814171764571,0.2814171764571,0.2814171764571,0.269205955334988,0.269205955334988,0.205176580947416,0.166792805172383,0.166792805172383,-0.031184146171379,-0.290123058810041,-0.369205955334988,-0.2814171764571
"ESRP1",0.2814171764571,0.2814171764571,0.2814171764571,0.2814171764571,0.2814171764571,0.369205955334988,0.269205955334988,0.205176580947416,0.166792805172383,0.166792805172383,-0.031184146171379,-0.290123058810041,-0.269205955334988,-0.2814171764571
"GRHL2",0.0856901632720114,0.0856901632720114,0.0856901632720114,0.0856901632720114,0.0856901632720114,0.0824811433240496,0.18248114332405,0.128146701809941,0.0348054040460448,0.0348054040460448,-0.0159916266506085,-0.0878718630440726,-0.0824811433240496,-0.0856901632720114
"ZEB1",-0.29647155048046,-0.29647155048046,-0.29647155048046,-0.29647155048046,-0.29647155048046,-0.290123058810041,-0.290123058810041,-0.213641196814531,-0.172371895516724,-0.172371895516724,0.0346686228597392,0.201070587505198,0.290123058810041,0.29647155048046
"HA",-0.290123058810041,-0.290123058810041,-0.290123058810041,-0.290123058810041,-0.290123058810041,-0.2814171764571,-0.2814171764571,-0.210052680068119,-0.170067748051287,-0.170067748051287,0.0332354282226611,0.29647155048046,0.2814171764571,0.290123058810041
"CD24",-0.290123058810041,-0.290123058810041,-0.290123058810041,-0.290123058810041,-0.290123058810041,-0.2814171764571,-0.2814171764571,-0.210052680068119,-0.170067748051287,-0.170067748051287,0.0332354282226611,0.29647155048046,0.2814171764571,0.290123058810041
"MIR200",-0.329270664984294,-0.329270664984294,-0.329270664984294,-0.329270664984294,-0.329270664984294,-0.31932818347238,-0.31932818347238,-0.304616567798433,-0.0798639269186726,-0.0798639269186726,0.237960318377547,0.336549640304507,0.31932818347238,0.329270664984294
"MIR190",-0.333005730296963,-0.333005730296963,-0.333005730296963,-0.333005730296963,-0.333005730296963,-0.320199190787426,-0.320199190787426,-0.301922350448832,0.00585240367009296,0.00585240367009296,0.254054075668463,0.342393485399004,0.320199190787426,0.333005730296963
"TGFB",-0.342393485399004,-0.342393485399004,-0.342393485399004,-0.342393485399004,-0.342393485399004,-0.333005730296963,-0.333005730296963,-0.307199752343284,0.00259295125809818,0.00259295125809818,0.156177217918993,0.349262555607732,0.333005730296963,0.342393485399004
