"","MIR34","MIR200","ZEB1","TGFB","CD24","MIR190","HAS2","ESRP1","MIR340","MIR1199","GRHL2","HA","CD44s","SNAIL1"
"SNAIL1",-0.126455168071127,-0.126455168071127,-0.220704008679552,-0.0421847562235654,0.220443363539785,0.220633116860468,0.220633116860468,0.220633116860468,-0.220633116860468,-0.220633116860468,-0.220633116860468,-0.220443363539785,-0.220443363539785,0.296479635064923
"ZEB1",-0.103951644815604,-0.103951644815604,-0.0993736056385895,-0.0635371812827644,-0.000868121201260397,-0.000642997383160442,-0.000642997383160442,-0.000642997383160442,0.000642997383160442,0.000642997383160442,0.000642997383160442,0.000868121201260397,0.000868121201260397,0.231356690121883
"MIR340",0.103836437442332,0.103836437442332,-0.000642997383160442,0.0637683417080996,0.00157400355420157,0.000868121201260397,0.000868121201260397,0.000868121201260397,-0.000868121201260397,-0.000868121201260397,-0.000868121201260397,-0.00157400355420157,-0.00157400355420157,-0.231117455672122
"MIR1199",0.103836437442332,0.103836437442332,-0.000642997383160442,0.0637683417080996,0.00157400355420157,0.000868121201260397,0.000868121201260397,0.000868121201260397,-0.000868121201260397,-0.000868121201260397,-0.000868121201260397,-0.00157400355420157,-0.00157400355420157,-0.231117455672122
"HA",0.103836437442332,0.103836437442332,-0.000642997383160442,0.0637683417080996,0.00157400355420157,0.000868121201260397,0.000868121201260397,0.000868121201260397,-0.000868121201260397,-0.000868121201260397,-0.000868121201260397,-0.00157400355420157,-0.00157400355420157,-0.231117455672122
"CD44s",0.103836437442332,0.103836437442332,-0.000642997383160442,0.0637683417080996,0.00157400355420157,0.000868121201260397,0.000868121201260397,0.000868121201260397,-0.000868121201260397,-0.000868121201260397,-0.000868121201260397,-0.00157400355420157,-0.00157400355420157,-0.231117455672122
"CD24",0.103836437442332,0.103836437442332,-0.000642997383160442,0.0637683417080996,0.00157400355420157,0.000868121201260397,0.000868121201260397,0.000868121201260397,-0.000868121201260397,-0.000868121201260397,-0.000868121201260397,-0.00157400355420157,-0.00157400355420157,-0.231117455672122
"HAS2",-0.103760275980032,-0.103760275980032,0.000868121201260397,-0.0640247519645099,-0.00256410256410256,-0.00157400355420157,-0.00157400355420157,-0.00157400355420157,0.00157400355420157,0.00157400355420157,0.00157400355420157,-0.0974358974358974,0.00256410256410256,0.23039803121169
"ESRP1",-0.103760275980032,-0.103760275980032,0.000868121201260397,-0.0640247519645099,-0.00256410256410256,-0.00157400355420157,-0.00157400355420157,-0.00157400355420157,0.00157400355420157,0.00157400355420157,0.00157400355420157,0.00256410256410256,-0.0974358974358974,0.23039803121169
"MIR200",0.00652072401568876,0.00652072401568876,0.0859785892087769,0.109154616737002,-0.0860295182400446,-0.085947348971351,-0.085947348971351,-0.085947348971351,0.085947348971351,0.085947348971351,0.085947348971351,0.0860295182400446,0.0860295182400446,-0.0949228219406857
"GRHL2",-0.193081068530984,-0.193081068530984,0.0921337408064166,-0.151662981810972,-0.193272502741007,-0.0924919303212326,-0.0924919303212326,-0.0924919303212326,0.0924919303212326,0.0924919303212326,0.0924919303212326,0.0932725027410071,0.0932725027410071,0.257624008882059
"MIR190",0.126024219804255,0.126024219804255,0.220443363539785,0.142476624943447,-0.218468720821662,-0.219831118641825,-0.219831118641825,-0.219831118641825,0.219831118641825,0.219831118641825,0.219831118641825,0.218468720821662,0.218468720821662,-0.395313655255162
"TGFB",0.126284975997215,0.126284975997215,0.220633116860468,0.0422643107183944,-0.219831118641825,-0.220443363539785,-0.220443363539785,-0.220443363539785,0.220443363539785,0.220443363539785,0.220443363539785,0.219831118641825,0.219831118641825,-0.396125563238924
"MIR34",0.126284975997215,0.126284975997215,0.220633116860468,0.0422643107183944,-0.219831118641825,-0.220443363539785,-0.220443363539785,-0.220443363539785,0.220443363539785,0.220443363539785,0.220443363539785,0.219831118641825,0.219831118641825,-0.396125563238924
