"","HA","CD44s","MIR190","MIR1199","HAS2","GRHL2","MIR200","SNAIL1","TGFB","ZEB1","MIR34","MIR340","ESRP1","CD24"
"MIR1199",0.173850248548428,0.173850248548428,0.176438483842546,0.176438483842546,0.176438483842546,0.176438483842546,0.14459598504642,0.0941586440813409,-0.00650841209522881,-0.175943211442726,-0.14459598504642,-0.176438483842546,-0.176438483842546,-0.173850248548428
"CD44s",0.173850248548428,0.173850248548428,0.176438483842546,0.176438483842546,0.176438483842546,0.176438483842546,0.14459598504642,0.0941586440813409,-0.00650841209522881,-0.175943211442726,-0.14459598504642,-0.176438483842546,-0.176438483842546,-0.173850248548428
"CD24",0.173850248548428,0.173850248548428,0.176438483842546,0.176438483842546,0.176438483842546,0.176438483842546,0.14459598504642,0.0941586440813409,-0.00650841209522881,-0.175943211442726,-0.14459598504642,-0.176438483842546,-0.176438483842546,-0.173850248548428
"SNAIL1",0.13014250326228,0.13014250326228,0.130635861896056,0.130635861896056,0.130635861896056,0.130635861896056,0.0019947403745945,-0.0618907118154159,-0.0766880218207185,-0.130791823898041,-0.0019947403745945,-0.130635861896056,-0.130635861896056,-0.13014250326228
"MIR190",0.128098350451292,0.128098350451292,0.130550666527586,0.130550666527586,0.130550666527586,0.130550666527586,0.00294720102738524,0.0378689053790731,-0.177643689191721,-0.13014250326228,-0.00294720102738524,-0.130550666527586,-0.130550666527586,-0.128098350451292
"GRHL2",0.036427676091088,0.036427676091088,0.0387693933504116,0.0387693933504116,0.0387693933504116,0.0387693933504116,0.0224575924176786,0.0718795372153815,-0.00501299526268067,-0.0376948248059635,-0.0224575924176786,-0.0387693933504116,-0.0387693933504116,-0.136427676091088
"ZEB1",-0.176438483842546,-0.176438483842546,-0.175943211442726,-0.175943211442726,-0.175943211442726,-0.175943211442726,-0.144653588733056,-0.0949361560430634,0.00692450086083214,0.0766903474214739,0.144653588733056,0.175943211442726,0.175943211442726,0.176438483842546
"TGFB",-0.130550666527586,-0.130550666527586,-0.13014250326228,-0.13014250326228,-0.13014250326228,-0.13014250326228,-0.00216493244850649,-0.0392220853520095,0.0763698038414027,0.130635861896056,0.00216493244850649,0.13014250326228,0.13014250326228,0.130550666527586
"MIR34",-0.130550666527586,-0.130550666527586,-0.13014250326228,-0.13014250326228,-0.13014250326228,-0.13014250326228,-0.00216493244850649,-0.0392220853520095,0.0763698038414027,0.130635861896056,0.00216493244850649,0.13014250326228,0.13014250326228,0.130550666527586
"MIR340",-0.173850248548428,-0.173850248548428,-0.176438483842546,-0.176438483842546,-0.176438483842546,-0.176438483842546,-0.14459598504642,-0.0941586440813409,0.00650841209522881,0.175943211442726,0.14459598504642,0.176438483842546,0.176438483842546,0.173850248548428
"HA",-0.173850248548428,-0.173850248548428,-0.176438483842546,-0.176438483842546,-0.176438483842546,-0.176438483842546,-0.14459598504642,-0.0941586440813409,0.00650841209522881,0.175943211442726,0.14459598504642,0.176438483842546,0.176438483842546,0.173850248548428
"HAS2",-0.0755004135649297,-0.17550041356493,-0.173850248548428,-0.173850248548428,-0.173850248548428,-0.173850248548428,-0.143605886036519,-0.0951978127464089,0.00650841209522881,0.176438483842546,0.143605886036519,0.173850248548428,0.173850248548428,0.17550041356493
"ESRP1",-0.17550041356493,-0.27550041356493,-0.173850248548428,-0.173850248548428,-0.173850248548428,-0.173850248548428,-0.143605886036519,-0.0951978127464089,0.00650841209522881,0.176438483842546,0.143605886036519,0.173850248548428,0.173850248548428,0.17550041356493
"MIR200",-0.185645376760013,-0.185645376760013,-0.188192624089511,-0.188192624089511,-0.188192624089511,-0.188192624089511,-0.0605184223153824,-0.112618930021046,0.200210885577047,0.187724020528124,0.0605184223153824,0.188192624089511,0.188192624089511,0.185645376760013
