"","MIR34","MIR340","HAS2","CD44s","SNAIL1","ZEB1","TGFB","HA","CD24","MIR190","MIR1199","GRHL2","ESRP1","MIR200"
"GRHL2",0.138489877590046,0.137548427496374,0.137548427496374,0.138328999916148,0.0778780385072617,-0.137515864813209,0.00732867812984018,-0.138328999916148,-0.0383289999161484,-0.137548427496374,-0.137548427496374,-0.137548427496374,-0.137548427496374,-0.165089566048589
"MIR340",0.0649417209164904,0.0608681212012604,0.0608681212012604,0.0615740035542016,0.0528845952592425,-0.0610932450193604,0.000522539635930973,-0.0615740035542016,-0.0615740035542016,-0.0608681212012604,-0.0608681212012604,-0.0608681212012604,-0.0608681212012604,-0.070346797361006
"MIR1199",0.0649417209164904,0.0608681212012604,0.0608681212012604,0.0615740035542016,0.0528845952592425,-0.0610932450193604,0.000522539635930973,-0.0615740035542016,-0.0615740035542016,-0.0608681212012604,-0.0608681212012604,-0.0608681212012604,-0.0608681212012604,-0.070346797361006
"HA",0.0649417209164904,0.0608681212012604,0.0608681212012604,0.0615740035542016,0.0528845952592425,-0.0610932450193604,0.000522539635930973,-0.0615740035542016,-0.0615740035542016,-0.0608681212012604,-0.0608681212012604,-0.0608681212012604,-0.0608681212012604,-0.070346797361006
"CD44s",0.0649417209164904,0.0608681212012604,0.0608681212012604,0.0615740035542016,0.0528845952592425,-0.0610932450193604,0.000522539635930973,-0.0615740035542016,-0.0615740035542016,-0.0608681212012604,-0.0608681212012604,-0.0608681212012604,-0.0608681212012604,-0.070346797361006
"CD24",0.0649417209164904,0.0608681212012604,0.0608681212012604,0.0615740035542016,0.0528845952592425,-0.0610932450193604,0.000522539635930973,-0.0615740035542016,-0.0615740035542016,-0.0608681212012604,-0.0608681212012604,-0.0608681212012604,-0.0608681212012604,-0.070346797361006
"MIR200",-0.0154443759538919,0.057312059867241,0.057312059867241,0.0578872447480955,0.0754754980689832,-0.0575307415292216,-0.00643196747390683,-0.0578872447480955,-0.0578872447480955,-0.057312059867241,-0.057312059867241,-0.057312059867241,-0.057312059867241,-0.163951257619227
"ZEB1",-0.0651145319763983,-0.0610932450193604,-0.0610932450193604,-0.0608681212012604,-0.0528845952592425,-0.0386245036108904,-0.000383843380729863,0.0608681212012604,0.0608681212012604,0.0610932450193604,0.0610932450193604,0.0610932450193604,0.0610932450193604,0.0704620047342779
"SNAIL1",-0.0493521318960645,0.00616314127928671,0.00616314127928671,0.00612519061515009,-0.0922701717731531,-0.00629074655363805,0.0686652904468149,-0.00612519061515009,-0.00612519061515009,-0.00616314127928671,-0.00616314127928671,-0.00616314127928671,-0.00616314127928671,-0.0571099269151071
"MIR34",-0.0492791924358166,0.00612519061515009,0.00612519061515009,0.00592110898249703,0.00752750146913315,-0.00616314127928671,0.0689835084261308,-0.00592110898249703,-0.00592110898249703,-0.00612519061515009,-0.00612519061515009,-0.00612519061515009,-0.00612519061515009,-0.0569883611480271
"MIR190",0.0499310829182155,-0.00592110898249703,-0.00592110898249703,-0.00619358854652972,-0.00725686547454587,0.00612519061515009,0.0308041773488162,0.00619358854652972,0.00619358854652972,0.00592110898249703,0.00592110898249703,0.00592110898249703,0.00592110898249703,0.0573794954374665
"TGFB",0.0492791924358166,-0.00612519061515009,-0.00612519061515009,-0.00592110898249703,-0.00752750146913315,0.00616314127928671,-0.0689835084261308,0.00592110898249703,0.00592110898249703,0.00612519061515009,0.00612519061515009,0.00612519061515009,0.00612519061515009,0.0569883611480271
"HAS2",-0.0651702053033907,-0.0615740035542016,-0.0615740035542016,-0.0625641025641026,-0.0529645313104016,0.0608681212012604,-0.000778949892341229,-0.0374358974358974,0.0625641025641026,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0710322505217067
"ESRP1",-0.0651702053033907,-0.0615740035542016,-0.0615740035542016,-0.162564102564103,-0.0529645313104016,0.0608681212012604,-0.000778949892341229,0.0625641025641026,0.0625641025641026,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0710322505217067
