"","MIR34","MIR340","ESRP1","TGFB","ZEB1","MIR200","HA","CD44s","CD24","MIR190","MIR1199","HAS2","GRHL2","SNAIL1"
"MIR340",0.144408047578672,0.112704657796096,0.112704657796096,0.0890013232674477,-0.112839732086956,-0.073242274368306,-0.112234069560802,-0.112234069560802,-0.112234069560802,-0.112704657796096,-0.112704657796096,-0.112704657796096,-0.112704657796096,-0.137243310927442
"MIR1199",0.144408047578672,0.112704657796096,0.112704657796096,0.0890013232674477,-0.112839732086956,-0.073242274368306,-0.112234069560802,-0.112234069560802,-0.112234069560802,-0.112704657796096,-0.112704657796096,-0.112704657796096,-0.112704657796096,-0.137243310927442
"HA",0.144408047578672,0.112704657796096,0.112704657796096,0.0890013232674477,-0.112839732086956,-0.073242274368306,-0.112234069560802,-0.112234069560802,-0.112234069560802,-0.112704657796096,-0.112704657796096,-0.112704657796096,-0.112704657796096,-0.137243310927442
"CD24",0.144408047578672,0.112704657796096,0.112704657796096,0.0890013232674477,-0.112839732086956,-0.073242274368306,-0.112234069560802,-0.112234069560802,-0.112234069560802,-0.112704657796096,-0.112704657796096,-0.112704657796096,-0.112704657796096,-0.137243310927442
"HAS2",0.144179563191772,0.112234069560802,0.112234069560802,0.0897705540366785,-0.112704657796096,-0.0728614670568056,-0.0125641025641026,-0.112564102564103,-0.112564102564103,-0.112234069560802,-0.112234069560802,-0.112234069560802,-0.112234069560802,-0.137003502773965
"ESRP1",0.144179563191772,0.112234069560802,0.112234069560802,0.0897705540366785,-0.112704657796096,-0.0728614670568056,-0.112564102564103,-0.212564102564103,-0.112564102564103,-0.112234069560802,-0.112234069560802,-0.112234069560802,-0.112234069560802,-0.137003502773965
"TGFB",0.151840059515007,0.110368075780115,0.110368075780115,-0.0175877809337279,-0.112075855666263,0.0394412795506697,-0.112817055371952,-0.112817055371952,-0.112817055371952,-0.110368075780115,-0.110368075780115,-0.110368075780115,-0.110368075780115,-0.0806468312631711
"MIR34",0.151840059515007,0.110368075780115,0.110368075780115,-0.0175877809337279,-0.112075855666263,0.0394412795506697,-0.112817055371952,-0.112817055371952,-0.112817055371952,-0.110368075780115,-0.110368075780115,-0.110368075780115,-0.110368075780115,-0.0806468312631711
"MIR200",0.0123276839855451,0.0862834373321885,0.0862834373321885,0.0775894389384903,-0.0871269237426852,-0.167025509634477,-0.0870229607504301,-0.0870229607504301,-0.0870229607504301,-0.0862834373321885,-0.0862834373321885,-0.0862834373321885,-0.0862834373321885,0.0109431340870437
"GRHL2",-0.0220594465775189,-0.00622438045342915,-0.00622438045342915,0.00515455556714548,0.00619181777026406,-0.0133712229481496,0.00579072910910998,0.00579072910910998,0.10579072910911,0.00622438045342915,0.00622438045342915,0.00622438045342915,0.00622438045342915,0.0927727818536042
"ZEB1",-0.14458085863858,-0.112839732086956,-0.112839732086956,-0.0894174120330511,0.0128895411522062,0.073242274368306,0.112704657796096,0.112704657796096,0.112704657796096,0.112839732086956,0.112839732086956,0.112839732086956,0.112839732086956,0.137063885090122
"MIR190",-0.148059094717093,-0.112817055371952,-0.112817055371952,-0.0751935354144674,0.110368075780115,-0.0325312404372407,0.109274821039527,0.109274821039527,0.109274821039527,0.112817055371952,0.112817055371952,0.112817055371952,0.112817055371952,0.0903897270683132
"SNAIL1",-0.149433057326823,-0.112075855666263,-0.112075855666263,0.0227588230976102,0.111012478380002,-0.034846093555046,0.110368075780115,0.110368075780115,0.110368075780115,0.112075855666263,0.112075855666263,0.112075855666263,0.112075855666263,-0.0125246406639913
"CD44s",-0.144408047578672,-0.112704657796096,-0.112704657796096,-0.0890013232674477,0.112839732086956,0.073242274368306,0.112234069560802,0.112234069560802,0.112234069560802,0.112704657796096,0.112704657796096,0.112704657796096,0.112704657796096,0.137243310927442
