"","SNAIL1","TGFB","ZEB1","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","CD44s","CD24","MIR34","MIR200"
"MIR34",-0.384319265913045,-0.029080379902193,-0.235418360286992,0.235532212279402,0.235532212279402,0.235532212279402,0.235532212279402,0.235532212279402,0.235532212279402,-0.235124049014096,-0.235124049014096,-0.235124049014096,0.113289186866815,0.113289186866815
"MIR200",-0.0817583822964585,-0.0896974344035098,-0.108857036167755,0.109138198304587,0.109138198304587,0.109138198304587,0.109138198304587,0.109138198304587,0.109138198304587,-0.110206398797603,-0.110206398797603,-0.110206398797603,-0.0100150418460481,-0.0100150418460481
"GRHL2",0.272667051266099,0.166518443882703,-0.105438725943025,0.106187667655822,0.106187667655822,0.106187667655822,0.106187667655822,0.106187667655822,0.106187667655822,-0.106621319000141,-0.106621319000141,-0.206621319000141,-0.208327711040614,-0.208327711040614
"ZEB1",-0.245962998178163,-0.0866588809835434,-0.0708378703118755,-0.0287138481008756,-0.0287138481008756,-0.0287138481008756,-0.0287138481008756,-0.0287138481008756,-0.0287138481008756,0.0292991700279355,0.0292991700279355,0.0292991700279355,0.124124122223508,0.124124122223508
"ESRP1",0.245663381412246,0.0860198113153475,-0.0292991700279355,0.0304756406161708,0.0304756406161708,0.0304756406161708,0.0304756406161708,0.0304756406161708,0.0304756406161708,-0.0288254755996691,-0.128825475599669,-0.0288254755996691,-0.125554562591189,-0.125554562591189
"HA",0.245903189565723,0.0878146831102193,-0.0287138481008756,0.0292991700279355,0.0292991700279355,0.0292991700279355,0.0292991700279355,0.0292991700279355,0.0292991700279355,-0.0304756406161708,-0.0304756406161708,-0.0304756406161708,-0.124412140656687,-0.124412140656687
"MIR340",-0.245903189565723,-0.0878146831102193,0.0287138481008756,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,0.0304756406161708,0.0304756406161708,0.0304756406161708,0.124412140656687,0.124412140656687
"MIR1199",-0.245903189565723,-0.0878146831102193,0.0287138481008756,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,0.0304756406161708,0.0304756406161708,0.0304756406161708,0.124412140656687,0.124412140656687
"CD44s",-0.245903189565723,-0.0878146831102193,0.0287138481008756,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,0.0304756406161708,0.0304756406161708,0.0304756406161708,0.124412140656687,0.124412140656687
"CD24",-0.245903189565723,-0.0878146831102193,0.0287138481008756,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,-0.0292991700279355,0.0304756406161708,0.0304756406161708,0.0304756406161708,0.124412140656687,0.124412140656687
"HAS2",-0.245663381412246,-0.0860198113153475,0.0292991700279355,-0.0304756406161708,-0.0304756406161708,-0.0304756406161708,-0.0304756406161708,-0.0304756406161708,-0.0304756406161708,-0.0711745244003309,0.0288254755996691,0.0288254755996691,0.125554562591189,0.125554562591189
"SNAIL1",0.283965194087046,0.0284439439435613,0.235063901191571,-0.235418360286992,-0.235418360286992,-0.235418360286992,-0.235418360286992,-0.235418360286992,-0.235418360286992,0.235532212279402,0.235532212279402,0.235532212279402,-0.113216247406567,-0.113216247406567
"TGFB",0.384319265913045,0.029080379902193,0.235418360286992,-0.235532212279402,-0.235532212279402,-0.235532212279402,-0.235532212279402,-0.235532212279402,-0.235532212279402,0.235124049014096,0.235124049014096,0.235124049014096,-0.113289186866815,-0.113289186866815
"MIR190",0.384725219904926,0.128655751452087,0.235532212279402,-0.235124049014096,-0.235124049014096,-0.235124049014096,-0.235124049014096,-0.235124049014096,-0.235124049014096,0.235941487706194,0.235941487706194,0.235941487706194,-0.114071455445694,-0.114071455445694
