"","CD24","MIR340","MIR190","HAS2","GRHL2","ESRP1","MIR34","SNAIL1","ZEB1","MIR1199","HA","CD44s","TGFB","MIR200"
"MIR340",0.09417463086259,0.09417463086259,0.09417463086259,0.09417463086259,0.09417463086259,0.09417463086259,0.076990672052045,0.0341523627537447,-0.0925087146086503,-0.09417463086259,-0.09417463086259,-0.09417463086259,-0.10542524295787,-0.111415668185594
"MIR1199",0.09417463086259,0.09417463086259,0.09417463086259,0.09417463086259,0.09417463086259,0.09417463086259,0.076990672052045,0.0341523627537447,-0.0925087146086503,-0.09417463086259,-0.09417463086259,-0.09417463086259,-0.10542524295787,-0.111415668185594
"HA",0.09417463086259,0.09417463086259,0.09417463086259,0.09417463086259,0.09417463086259,0.09417463086259,0.076990672052045,0.0341523627537447,-0.0925087146086503,-0.09417463086259,-0.09417463086259,-0.09417463086259,-0.10542524295787,-0.111415668185594
"CD44s",0.09417463086259,0.09417463086259,0.09417463086259,0.09417463086259,0.09417463086259,0.09417463086259,0.076990672052045,0.0341523627537447,-0.0925087146086503,-0.09417463086259,-0.09417463086259,-0.09417463086259,-0.10542524295787,-0.111415668185594
"CD24",0.09417463086259,0.09417463086259,0.09417463086259,0.09417463086259,0.09417463086259,0.09417463086259,0.076990672052045,0.0341523627537447,-0.0925087146086503,-0.09417463086259,-0.09417463086259,-0.09417463086259,-0.10542524295787,-0.111415668185594
"SNAIL1",0.0276869948706095,0.0240816817776303,0.0240816817776303,0.0240816817776303,0.0240816817776303,0.0240816817776303,0.104740186635716,-0.0179586904903279,-0.0253719128849605,-0.0240816817776303,-0.0276869948706095,-0.0276869948706095,0.0736119147617223,0.0771495162356741
"TGFB",0.0213604642583646,0.0276869948706095,0.0276869948706095,0.0276869948706095,0.0276869948706095,0.0276869948706095,0.10666092575558,0.0795628067276792,-0.0240816817776303,-0.0276869948706095,-0.0213604642583646,-0.0213604642583646,0.0803740468221837,0.0744507562064983
"MIR34",0.0213604642583646,0.0276869948706095,0.0276869948706095,0.0276869948706095,0.0276869948706095,0.0276869948706095,0.10666092575558,0.0795628067276792,-0.0240816817776303,-0.0276869948706095,-0.0213604642583646,-0.0213604642583646,0.0803740468221837,0.0744507562064983
"ZEB1",-0.09417463086259,-0.0925087146086503,-0.0925087146086503,-0.0925087146086503,-0.0925087146086503,-0.0925087146086503,-0.0783155568446717,-0.0300853771078117,-0.00571476206410413,0.0925087146086503,0.09417463086259,0.09417463086259,0.107135830105351,0.107959446987437
"GRHL2",0.103065629860991,0.00419312335622037,0.00419312335622037,0.00419312335622037,0.00419312335622037,0.00419312335622037,0.0056968866811096,-0.0453076086318398,-0.0053979426333288,-0.00419312335622037,-0.00306562986099053,-0.00306562986099053,-0.0020384267592085,-0.00110923512331603
"MIR190",-0.0292623716153128,-0.0213604642583646,-0.0213604642583646,-0.0213604642583646,-0.0213604642583646,-0.0213604642583646,-0.105617900983741,-0.0784802627493301,0.0276869948706095,0.0213604642583646,0.0292623716153128,0.0292623716153128,-0.169970649794583,-0.0814911734164071
"HAS2",-0.0898842018196857,-0.09417463086259,-0.09417463086259,-0.09417463086259,-0.09417463086259,-0.09417463086259,-0.0798086461571478,-0.0275176705075417,0.09417463086259,0.09417463086259,-0.0101157981803143,0.0898842018196857,0.103373960906588,0.108597694080491
"ESRP1",-0.0898842018196857,-0.09417463086259,-0.09417463086259,-0.09417463086259,-0.09417463086259,-0.09417463086259,-0.0798086461571478,-0.0275176705075417,0.09417463086259,0.09417463086259,0.0898842018196857,-0.0101157981803143,0.103373960906588,0.108597694080491
"MIR200",-0.101333180744861,-0.103716089536972,-0.103716089536972,-0.103716089536972,-0.103716089536972,-0.103716089536972,0.0143643634476775,0.0714615715407666,0.100623306031818,0.103716089536972,0.101333180744861,0.101333180744861,0.302982614019292,0.20683330629512
