"","MIR190","MIR1199","HAS2","GRHL2","CD44s","CD24","SNAIL1","MIR200","TGFB","ZEB1","HA","MIR340","ESRP1","MIR34"
"GRHL2",0.375850517051266,0.375850517051266,0.375850517051266,0.375850517051266,0.369519207424207,0.469519207424207,0.282024718839704,0.244558117989793,0.0442442223617945,-0.380181353912224,-0.369519207424207,-0.375850517051266,-0.375850517051266,-0.402271513705383
"HA",0.267501770115707,0.267501770115707,0.267501770115707,0.267501770115707,0.262325299527471,0.262325299527471,0.258683306682171,0.13963723918098,0.0416746938621348,-0.271508974077886,-0.262325299527471,-0.267501770115707,-0.267501770115707,-0.286344237526532
"CD44s",0.267501770115707,0.267501770115707,0.267501770115707,0.267501770115707,0.262325299527471,0.262325299527471,0.258683306682171,0.13963723918098,0.0416746938621348,-0.271508974077886,-0.262325299527471,-0.267501770115707,-0.267501770115707,-0.286344237526532
"CD24",0.267501770115707,0.267501770115707,0.267501770115707,0.267501770115707,0.262325299527471,0.262325299527471,0.258683306682171,0.13963723918098,0.0416746938621348,-0.271508974077886,-0.262325299527471,-0.267501770115707,-0.267501770115707,-0.286344237526532
"MIR200",0.263723731749452,0.263723731749452,0.263723731749452,0.263723731749452,0.258547067821761,0.258547067821761,0.394318400941215,0.00614146215335042,0.0592686482453936,-0.267753722377381,-0.258547067821761,-0.263723731749452,-0.263723731749452,-0.407022631217392
"SNAIL1",0.18749152852277,0.18749152852277,0.18749152852277,0.18749152852277,0.185100636682163,0.185100636682163,0.358499563932079,-0.158235156965624,0.203769379591505,-0.189320537455139,-0.185100636682163,-0.18749152852277,-0.18749152852277,-0.364020091589799
"ZEB1",-0.271508974077886,-0.271508974077886,-0.271508974077886,-0.271508974077886,-0.267501770115707,-0.267501770115707,-0.263049335390305,-0.139810050240888,-0.0436626735200173,0.174115648492629,0.267501770115707,0.271508974077886,0.271508974077886,0.291298154577223
"MIR190",-0.181019004029102,-0.181019004029102,-0.181019004029102,-0.181019004029102,-0.175841892312481,-0.175841892312481,-0.450999168655683,0.158422973698336,-0.100001942209,0.185100636682163,0.175841892312481,0.181019004029102,0.181019004029102,0.355929327132903
"TGFB",-0.185100636682163,-0.185100636682163,-0.185100636682163,-0.185100636682163,-0.181019004029102,-0.181019004029102,-0.455464662566373,0.158162217505376,-0.202337398684584,0.18749152852277,0.181019004029102,0.185100636682163,0.185100636682163,0.360883694799135
"MIR34",-0.185100636682163,-0.185100636682163,-0.185100636682163,-0.185100636682163,-0.181019004029102,-0.181019004029102,-0.455464662566373,0.158162217505376,-0.202337398684584,0.18749152852277,0.181019004029102,0.185100636682163,0.185100636682163,0.360883694799135
"HAS2",-0.262325299527471,-0.262325299527471,-0.262325299527471,-0.262325299527471,-0.252754342431762,-0.252754342431762,-0.252048614435968,-0.13956107771868,-0.0385977707852117,0.267501770115707,0.152754342431762,0.262325299527471,0.262325299527471,0.279718190306426
"ESRP1",-0.262325299527471,-0.262325299527471,-0.262325299527471,-0.262325299527471,-0.352754342431762,-0.252754342431762,-0.252048614435968,-0.13956107771868,-0.0385977707852117,0.267501770115707,0.252754342431762,0.262325299527471,0.262325299527471,0.279718190306426
"MIR340",-0.267501770115707,-0.267501770115707,-0.267501770115707,-0.267501770115707,-0.262325299527471,-0.262325299527471,-0.258683306682171,-0.13963723918098,-0.0416746938621348,0.271508974077886,0.262325299527471,0.267501770115707,0.267501770115707,0.286344237526532
"MIR1199",-0.267501770115707,-0.267501770115707,-0.267501770115707,-0.267501770115707,-0.262325299527471,-0.262325299527471,-0.258683306682171,-0.13963723918098,-0.0416746938621348,0.271508974077886,0.262325299527471,0.267501770115707,0.267501770115707,0.286344237526532
