"","ZEB1","MIR34","MIR200","SNAIL1","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TGFB","HA","CD44s","CD24"
"ZEB1",-0.0645918630702483,-0.0547774021089752,-0.0547774021089752,-0.0519717065317348,-0.0358564185170006,-0.0358564185170006,-0.0358564185170006,-0.0358564185170006,-0.0358564185170006,-0.0358564185170006,0.000223447757631257,0.0317591650275814,0.0317591650275814,0.0317591650275814
"HA",-0.0358564185170006,0.0516668030306342,0.0516668030306342,0.0500578309336486,0.0317591650275814,0.0317591650275814,0.0317591650275814,0.0317591650275814,0.0317591650275814,0.0317591650275814,0.00074742602877651,-0.0287003414981697,-0.0287003414981697,-0.0287003414981697
"CD24",-0.0358564185170006,0.0516668030306342,0.0516668030306342,0.0500578309336486,0.0317591650275814,0.0317591650275814,0.0317591650275814,0.0317591650275814,0.0317591650275814,0.0317591650275814,0.00074742602877651,-0.0287003414981697,-0.0287003414981697,-0.0287003414981697
"ESRP1",-0.0317591650275814,0.0480872143025306,0.0480872143025306,0.0514167438033529,0.0287003414981697,0.0287003414981697,0.0287003414981697,0.0287003414981697,0.0287003414981697,0.0287003414981697,0.00074742602877651,-0.0382712985938792,-0.138271298593879,-0.0382712985938792
"TGFB",-0.00556588519794546,0.053019268999829,0.053019268999829,-0.00367075358612465,0.00249188140287905,0.00249188140287905,0.00249188140287905,0.00249188140287905,0.00249188140287905,0.00249188140287905,-0.0665128348360312,-0.00208371813757292,-0.00208371813757292,-0.00208371813757292
"MIR190",-0.00249188140287905,0.0513243537455917,0.0513243537455917,-0.00299416359965644,0.00208371813757292,0.00208371813757292,0.00208371813757292,0.00208371813757292,0.00208371813757292,0.00208371813757292,0.0326379082637566,-0.00780578898225957,-0.00780578898225957,-0.00780578898225957
"MIR34",0.00556588519794546,-0.053019268999829,-0.053019268999829,0.00367075358612465,-0.00249188140287905,-0.00249188140287905,-0.00249188140287905,-0.00249188140287905,-0.00249188140287905,-0.00249188140287905,0.0665128348360312,0.00208371813757292,0.00208371813757292,0.00208371813757292
"SNAIL1",0.00558006356176228,-0.0552317659606848,-0.0552317659606848,-0.0970373900658733,-0.00556588519794546,-0.00556588519794546,-0.00556588519794546,-0.00556588519794546,-0.00556588519794546,-0.00556588519794546,0.0673879342791497,0.00249188140287905,0.00249188140287905,0.00249188140287905
"GRHL2",0.0237227185739813,-0.0268769579391912,-0.0268769579391912,0.0506431190728689,-0.0258392929797123,-0.0258392929797123,-0.0258392929797123,-0.0258392929797123,-0.0258392929797123,-0.0258392929797123,0.00210377468992641,0.0306094577672231,0.0306094577672231,-0.0693905422327769
"HAS2",0.0317591650275814,-0.0480872143025306,-0.0480872143025306,-0.0514167438033529,-0.0287003414981697,-0.0287003414981697,-0.0287003414981697,-0.0287003414981697,-0.0287003414981697,-0.0287003414981697,-0.00074742602877651,-0.0617287014061208,0.0382712985938792,0.0382712985938792
"MIR340",0.0358564185170006,-0.0516668030306342,-0.0516668030306342,-0.0500578309336486,-0.0317591650275814,-0.0317591650275814,-0.0317591650275814,-0.0317591650275814,-0.0317591650275814,-0.0317591650275814,-0.00074742602877651,0.0287003414981697,0.0287003414981697,0.0287003414981697
"MIR1199",0.0358564185170006,-0.0516668030306342,-0.0516668030306342,-0.0500578309336486,-0.0317591650275814,-0.0317591650275814,-0.0317591650275814,-0.0317591650275814,-0.0317591650275814,-0.0317591650275814,-0.00074742602877651,0.0287003414981697,0.0287003414981697,0.0287003414981697
"CD44s",0.0358564185170006,-0.0516668030306342,-0.0516668030306342,-0.0500578309336486,-0.0317591650275814,-0.0317591650275814,-0.0317591650275814,-0.0317591650275814,-0.0317591650275814,-0.0317591650275814,-0.00074742602877651,0.0287003414981697,0.0287003414981697,0.0287003414981697
"MIR200",0.0406299096339376,-0.148644703915412,-0.148644703915412,0.0298877627385676,-0.0376620870784862,-0.0376620870784862,-0.0376620870784862,-0.0376620870784862,-0.0376620870784862,-0.0376620870784862,-0.00937390160058526,0.0372512407350187,0.0372512407350187,0.0372512407350187
