"","MIR34","MIR200","TGFB","HA","MIR340","HAS2","GRHL2","ESRP1","ZEB1","MIR190","MIR1199","CD44s","CD24","SNAIL1"
"ESRP1",0.136198131625435,0.136198131625435,0.121166650427101,0.0990488006617039,0.0980587016518029,0.0980587016518029,0.0980587016518029,0.0980587016518029,-0.098529289887097,-0.0980587016518029,-0.0980587016518029,-0.199048800661704,-0.0990488006617039,-0.141012807645339
"MIR340",0.136426616012335,0.136426616012335,0.12065382991428,0.0980587016518029,0.098529289887097,0.098529289887097,0.098529289887097,0.098529289887097,-0.0983041660689971,-0.098529289887097,-0.098529289887097,-0.0980587016518029,-0.0980587016518029,-0.141252615798816
"MIR1199",0.136426616012335,0.136426616012335,0.12065382991428,0.0980587016518029,0.098529289887097,0.098529289887097,0.098529289887097,0.098529289887097,-0.0983041660689971,-0.098529289887097,-0.098529289887097,-0.0980587016518029,-0.0980587016518029,-0.141252615798816
"CD24",0.136426616012335,0.136426616012335,0.12065382991428,0.0980587016518029,0.098529289887097,0.098529289887097,0.098529289887097,0.098529289887097,-0.0983041660689971,-0.098529289887097,-0.098529289887097,-0.0980587016518029,-0.0980587016518029,-0.141252615798816
"TGFB",0.113030107201927,0.113030107201927,0.118783798548057,0.0282509322227226,0.026414197528845,0.026414197528845,0.026414197528845,0.026414197528845,-0.0275147667888071,-0.026414197528845,-0.026414197528845,-0.0282509322227226,-0.0282509322227226,-0.0936568559172348
"MIR34",0.113030107201927,0.113030107201927,0.118783798548057,0.0282509322227226,0.026414197528845,0.026414197528845,0.026414197528845,0.026414197528845,-0.0275147667888071,-0.026414197528845,-0.026414197528845,-0.0282509322227226,-0.0282509322227226,-0.0936568559172348
"ZEB1",-0.136369012325699,-0.136369012325699,-0.120977454509749,-0.098529289887097,-0.0983041660689971,-0.0983041660689971,-0.0983041660689971,-0.0983041660689971,-0.00157961277875323,0.0983041660689971,0.0983041660689971,0.098529289887097,0.098529289887097,0.141132998573936
"GRHL2",0.018164017109632,0.018164017109632,0.00950097490978971,-0.00102538464404491,-0.000418272761998071,-0.000418272761998071,-0.000418272761998071,-0.000418272761998071,0.000711336910483907,0.000418272761998071,0.000418272761998071,0.00102538464404491,-0.0989746153559551,-0.0947390524467221
"MIR190",-0.113290863394886,-0.113290863394886,-0.217297598972686,-0.0252536570183629,-0.0282509322227226,-0.0282509322227226,-0.0282509322227226,-0.0282509322227226,0.026414197528845,0.0282509322227226,0.0282509322227226,0.0252536570183629,0.0252536570183629,0.0950100358901712
"SNAIL1",-0.113248925582671,-0.113248925582671,-0.117908699104939,-0.026414197528845,-0.0275147667888071,-0.0275147667888071,-0.0275147667888071,-0.0275147667888071,0.0268767404170504,0.0275147667888071,0.0275147667888071,0.026414197528845,0.026414197528845,-0.00558441874133884
"HA",-0.136426616012335,-0.136426616012335,-0.12065382991428,-0.0980587016518029,-0.098529289887097,-0.098529289887097,-0.098529289887097,-0.098529289887097,0.0983041660689971,0.098529289887097,0.098529289887097,0.0980587016518029,0.0980587016518029,0.141252615798816
"CD44s",-0.136426616012335,-0.136426616012335,-0.12065382991428,-0.0980587016518029,-0.098529289887097,-0.098529289887097,-0.098529289887097,-0.098529289887097,0.0983041660689971,0.098529289887097,0.098529289887097,0.0980587016518029,0.0980587016518029,0.141252615798816
"HAS2",-0.136198131625435,-0.136198131625435,-0.121166650427101,0.000951199338296112,-0.0980587016518029,-0.0980587016518029,-0.0980587016518029,-0.0980587016518029,0.098529289887097,0.0980587016518029,0.0980587016518029,0.0990488006617039,0.0990488006617039,0.141012807645339
"MIR200",-0.0210008789718093,-0.0210008789718093,0.0865014261189124,-0.106684336411806,-0.106109151530951,-0.106109151530951,-0.106109151530951,-0.106109151530951,0.106515274617487,0.106109151530951,0.106109151530951,0.106684336411806,0.106684336411806,-0.0119843934480187
