"","MIR34","MIR200","MIR1199","GRHL2","ESRP1","HA","CD44s","ZEB1","SNAIL1","CD24","MIR340","MIR190","HAS2","TGFB"
"MIR200",0.19573574582211,0.19573574582211,0.0921573946334515,0.0921573946334515,0.0921573946334515,0.092239563902145,0.092239563902145,-0.0921886348708773,0.0518321133661062,-0.092239563902145,-0.0921573946334515,-0.0921573946334515,-0.0921573946334515,-0.296903529462133
"SNAIL1",0.101084968011172,0.101084968011172,0.0879772002362028,0.0879772002362028,0.0879772002362028,0.0879392495720662,0.0879392495720662,-0.0880197353276533,-0.0809553936439136,-0.0879392495720662,-0.0879772002362028,-0.0879772002362028,-0.0879772002362028,-0.129579991185155
"MIR340",0.0952047743711571,0.0952047743711571,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,-0.0617090778450615,-0.0253018296297221,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0850910668571913
"CD44s",0.0952047743711571,0.0952047743711571,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,-0.0617090778450615,-0.0253018296297221,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0850910668571913
"CD24",0.0952047743711571,0.0952047743711571,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,-0.0617090778450615,-0.0253018296297221,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0850910668571913
"HAS2",0.0951286129088571,0.0951286129088571,0.0615740035542016,0.0615740035542016,0.0615740035542016,-0.0374358974358974,0.0625641025641026,-0.0615740035542016,-0.025221893578563,-0.0625641025641026,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0856038873700118
"ESRP1",0.0951286129088571,0.0951286129088571,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0625641025641026,0.162564102564103,-0.0615740035542016,-0.025221893578563,-0.0625641025641026,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0856038873700118
"ZEB1",-0.0952623780577931,-0.0952623780577931,-0.0617090778450615,-0.0617090778450615,-0.0617090778450615,-0.0615740035542016,-0.0615740035542016,-0.0382411130896886,0.0254214468546024,0.0615740035542016,0.0617090778450615,0.0617090778450615,0.0617090778450615,0.0851372989422583
"GRHL2",-0.00577984324799967,-0.00577984324799967,-0.0110841308259066,-0.0110841308259066,-0.0110841308259066,-0.0113443216324981,-0.0113443216324981,0.0109864427764114,-0.0393618199427156,-0.0886556783675019,0.0110841308259066,0.0110841308259066,0.0110841308259066,0.00702773468545812
"MIR1199",-0.0952047743711571,-0.0952047743711571,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,0.0617090778450615,0.0253018296297221,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0850910668571913
"HA",-0.0952047743711571,-0.0952047743711571,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,-0.0615740035542016,0.0617090778450615,0.0253018296297221,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0615740035542016,0.0850910668571913
"MIR190",-0.101060654857756,-0.101060654857756,-0.0881433312047193,-0.0881433312047193,-0.0881433312047193,-0.088415810768752,-0.088415810768752,0.0879392495720662,-0.0190951880455148,0.088415810768752,0.0881433312047193,0.0881433312047193,0.0881433312047193,0.229871859905037
"TGFB",-0.101060654857756,-0.101060654857756,-0.0879392495720662,-0.0879392495720662,-0.0879392495720662,-0.0881433312047193,-0.0881433312047193,0.0879772002362028,-0.0190951880455148,0.0881433312047193,0.0879392495720662,0.0879392495720662,0.0879392495720662,0.129659545679984
"MIR34",-0.101060654857756,-0.101060654857756,-0.0879392495720662,-0.0879392495720662,-0.0879392495720662,-0.0881433312047193,-0.0881433312047193,0.0879772002362028,-0.0190951880455148,0.0881433312047193,0.0879392495720662,0.0879392495720662,0.0879392495720662,0.129659545679984
