"","MIR34","HA","MIR340","MIR1199","GRHL2","MIR200","TGFB","ZEB1","MIR190","HAS2","ESRP1","CD44s","CD24","SNAIL1"
"TGFB",0.0747101023164678,0.446361299590984,0.446361299590984,0.446361299590984,0.446361299590984,0.423350035838754,-0.154692608349866,-0.450725625966695,-0.446361299590984,-0.446361299590984,-0.446361299590984,-0.446361299590984,-0.446361299590984,0.213814510861005
"SNAIL1",0.0822714930288432,0.446361299590984,0.450725625966695,0.450725625966695,0.450725625966695,0.421380670412058,-0.151112656082563,-0.445663950084092,-0.450725625966695,-0.450725625966695,-0.450725625966695,-0.446361299590984,-0.446361299590984,0.107947034887307
"HAS2",0.247192233096784,0.109991728701406,0.171377867315268,0.171377867315268,0.171377867315268,0.097627744065036,0.0440190872217541,-0.193260220256444,-0.171377867315268,-0.171377867315268,-0.171377867315268,-0.209991728701406,-0.209991728701406,-0.277560169570671
"MIR340",0.266613405983303,0.171377867315268,0.193260220256444,0.193260220256444,0.193260220256444,0.106538635154145,0.0442754974781644,-0.166830684011509,-0.193260220256444,-0.193260220256444,-0.193260220256444,-0.171377867315268,-0.171377867315268,-0.272044582040695
"MIR1199",0.266613405983303,0.171377867315268,0.193260220256444,0.193260220256444,0.193260220256444,0.106538635154145,0.0442754974781644,-0.166830684011509,-0.193260220256444,-0.193260220256444,-0.193260220256444,-0.171377867315268,-0.171377867315268,-0.272044582040695
"CD24",0.266613405983303,0.171377867315268,0.193260220256444,0.193260220256444,0.193260220256444,0.106538635154145,0.0442754974781644,-0.166830684011509,-0.193260220256444,-0.193260220256444,-0.193260220256444,-0.171377867315268,-0.171377867315268,-0.272044582040695
"GRHL2",0.098596804407143,0.038197071572694,0.0644763430384355,0.0644763430384355,0.0644763430384355,0.018060247916585,0.0209279987137652,-0.0393053889518188,-0.0644763430384355,-0.0644763430384355,-0.0644763430384355,-0.038197071572694,-0.138197071572694,-0.154649577905526
"MIR200",0.267764240702769,0.0479619749526022,0.0574114408523557,0.0574114408523557,0.0574114408523557,-0.09538882921493,0.0493084005582136,-0.0390734214834085,-0.0574114408523557,-0.0574114408523557,-0.0574114408523557,-0.0479619749526022,-0.0479619749526022,-0.327793534809053
"ZEB1",-0.247719396766713,-0.193260220256444,-0.166830684011509,-0.166830684011509,-0.166830684011509,-0.0916192803154352,-0.0474655113477899,0.0811258857382235,0.166830684011509,0.166830684011509,0.166830684011509,0.193260220256444,0.193260220256444,0.277546974385192
"HA",-0.266613405983303,-0.171377867315268,-0.193260220256444,-0.193260220256444,-0.193260220256444,-0.106538635154145,-0.0442754974781644,0.166830684011509,0.193260220256444,0.193260220256444,0.193260220256444,0.171377867315268,0.171377867315268,0.272044582040695
"CD44s",-0.266613405983303,-0.171377867315268,-0.193260220256444,-0.193260220256444,-0.193260220256444,-0.106538635154145,-0.0442754974781644,0.166830684011509,0.193260220256444,0.193260220256444,0.193260220256444,0.171377867315268,0.171377867315268,0.272044582040695
"ESRP1",-0.247192233096784,-0.209991728701406,-0.171377867315268,-0.171377867315268,-0.171377867315268,-0.097627744065036,-0.0440190872217541,0.193260220256444,0.171377867315268,0.171377867315268,0.171377867315268,0.309991728701406,0.209991728701406,0.277560169570671
"MIR190",-0.0688430879748772,-0.427015250544662,-0.446361299590984,-0.446361299590984,-0.446361299590984,-0.429217050180344,0.0604250924262989,0.446361299590984,0.446361299590984,0.446361299590984,0.446361299590984,0.427015250544662,0.427015250544662,-0.227075674595782
"MIR34",-0.0747101023164678,-0.446361299590984,-0.446361299590984,-0.446361299590984,-0.446361299590984,-0.423350035838754,0.154692608349866,0.450725625966695,0.446361299590984,0.446361299590984,0.446361299590984,0.446361299590984,0.446361299590984,-0.213814510861005
