"","MIR34","CD44s","MIR340","MIR190","HAS2","GRHL2","MIR200","ZEB1","TGFB","MIR1199","ESRP1","HA","CD24","SNAIL1"
"MIR190",-0.15584493907425,0.115505757858699,0.115778237422732,0.115778237422732,0.115778237422732,0.115778237422732,0.27439398819109,-0.115574155790079,0.0763830241793596,-0.115778237422732,-0.115778237422732,-0.115505757858699,-0.115505757858699,0.336970950989938
"SNAIL1",-0.155853751403649,0.115574155790079,0.115612106454215,0.115612106454215,0.115612106454215,0.115612106454215,0.274190670634362,-0.115569571362765,0.176170709954306,-0.115612106454215,-0.115612106454215,-0.115574155790079,-0.115574155790079,0.236700314995351
"HAS2",0.144829794696609,0.0974358974358974,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.0515763149170474,-0.0971058644325971,-0.0272941014074927,-0.0971058644325971,-0.0971058644325971,-0.197435897435897,-0.0974358974358974,-0.173225944880075
"MIR340",0.14505827908351,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.0513478305301472,-0.0970608396689771,-0.027550511663903,-0.0971058644325971,-0.0971058644325971,-0.0971058644325971,-0.0971058644325971,-0.173305880931234
"MIR1199",0.14505827908351,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.0513478305301472,-0.0970608396689771,-0.027550511663903,-0.0971058644325971,-0.0971058644325971,-0.0971058644325971,-0.0971058644325971,-0.173305880931234
"CD44s",0.14505827908351,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.0513478305301472,-0.0970608396689771,-0.027550511663903,-0.0971058644325971,-0.0971058644325971,-0.0971058644325971,-0.0971058644325971,-0.173305880931234
"CD24",0.14505827908351,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.0513478305301472,-0.0970608396689771,-0.027550511663903,-0.0971058644325971,-0.0971058644325971,-0.0971058644325971,-0.0971058644325971,-0.173305880931234
"ZEB1",-0.14505827908351,-0.0971058644325971,-0.0970608396689771,-0.0970608396689771,-0.0970608396689771,-0.0970608396689771,-0.0512902268435113,-0.00292255730927293,0.0276892079191041,0.0970608396689771,0.0970608396689771,0.0971058644325971,0.0971058644325971,0.173365689543674
"GRHL2",0.0223687687825401,-0.00131561035919268,-0.00122888009032884,-0.00122888009032884,-0.00122888009032884,-0.00122888009032884,-0.023956043956044,0.00126144277349394,-0.0129564980875394,0.00122888009032884,0.00122888009032884,0.00131561035919268,-0.0986843896408073,-0.109858693206915
"HA",-0.14505827908351,-0.0971058644325971,-0.0971058644325971,-0.0971058644325971,-0.0971058644325971,-0.0971058644325971,-0.0513478305301472,0.0970608396689771,0.027550511663903,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.0971058644325971,0.173305880931234
"ESRP1",-0.144829794696609,-0.197435897435897,-0.0971058644325971,-0.0971058644325971,-0.0971058644325971,-0.0971058644325971,-0.0515763149170474,0.0971058644325971,0.0272941014074927,0.0971058644325971,0.0971058644325971,0.0974358974358974,0.0974358974358974,0.173225944880075
"TGFB",0.155975317170729,-0.115778237422732,-0.115574155790079,-0.115574155790079,-0.115574155790079,-0.115574155790079,-0.27426361009461,0.115612106454215,-0.176170709954306,0.115574155790079,0.115574155790079,0.115778237422732,0.115778237422732,-0.336700314995351
"MIR34",0.155975317170729,-0.115778237422732,-0.115574155790079,-0.115574155790079,-0.115574155790079,-0.115574155790079,-0.27426361009461,0.115612106454215,-0.176170709954306,0.115574155790079,0.115574155790079,0.115778237422732,0.115778237422732,-0.336700314995351
"MIR200",-0.0107851525009138,-0.122064125305654,-0.122146294574347,-0.122146294574347,-0.122146294574347,-0.122146294574347,-0.220909068095055,0.12205257386207,-0.00362404076555312,0.122146294574347,0.122146294574347,0.122064125305654,0.122064125305654,-0.107886070794172
